_total_score,name,slug,is_featured,archetype,title,company,location,specialties,persona_fit,origin_country,associated_countries,description,experience,experience_tiles,website,contact,image,is_active,is_anonymous,location_id,_source_row
23.0,Robert Gallup,robert-gallup,True,International Founder,Founder,Oz2US Ventures,"Melbourne, Victoria, Australia",International Founder; Fundraising / Investment,international_entrant,usa,usa; australia,"Oz2US Ventures Founder, 25-year US & AU CxO, Int’l Growth Agency Lead, Serial Founder, and VC Advisor · 20 years of international corporate and agency growth marketing leadership, strategy, and execution delivering exceptional revenue and profitability to dozens of Australian and U.S. startups and national brands.GALLUP’S CAREER VALUE AND EXPERTISE Multimillion-Dollar Growth Architect Transformative Marketing, Sales, and Brand Strategist Digital Marketing Rainmaker Exceeder of Founder and Board Targets and Expectations Industry Innovator and Disruptor Customer Service and Sales Development E",Senior operator with extensive ANZ market experience.,"[{""name"": ""Oz2US Ventures""}, {""name"": ""BootstrapLabs, an Ares company""}]",https://linkedin.com/in/exceptionalgrowthprofitability,,,True,False,,Robert Gallup
23.0,Zach Zocher,zach-zocher,True,Active Advisor,Head of Community,Techvisa,"Sydney, New South Wales, Australia",Active Advisor; Events / Community; Cross-border,international_entrant,,australia,Head of Community @ Techvisa | Helping Tech Startups Successfully Scale by Unlocking Global Talent Pools,Senior operator with extensive ANZ market experience.,"[{""name"": ""Techvisa""}, {""name"": ""The Community Collective""}]",https://linkedin.com/in/zach-zocher,,,True,False,,Zach Zocher
23.0,Sachi Wickramage,sachi-wickramage,True,International Founder,Co-Founder & Board Member,i4T Global,"Sydney, New South Wales, Australia",International Founder; Technology / Product; Cross-border; Recognised Industry Leader,international_entrant,uk,uk; australia,"CoFounder & Board Member at i4T Global | Board Director & Grand Jury Member at UN WSA (SDGs & WSIS) | Social Impact, Sustainability & ESG Advocate | PropTech, FSM, Retail & eCommerce Innovator | SaaS, AI, HCI Connoisseur · “𝘿𝙚𝙙𝙞𝙘𝙖𝙩𝙚𝙙 𝙩𝙤 𝘾𝙤𝙣𝙩𝙞𝙣𝙪𝙤𝙪𝙨 𝙄𝙢𝙥𝙧𝙤𝙫𝙚𝙢𝙚𝙣𝙩 𝙖𝙣𝙙 𝘾𝙧𝙚𝙖𝙩𝙞𝙣𝙜 𝙄𝙣𝙨𝙥𝙞𝙧𝙞𝙣𝙜 𝘾𝙪𝙨𝙩𝙤𝙢𝙚𝙧 𝙀𝙭𝙥𝙚𝙧𝙞𝙚𝙣𝙘𝙚𝙨” - 𝘚𝘢𝘤𝘩𝘪 𝘞𝘪𝘤𝘬𝘳𝘢𝘮𝘢𝘨𝘦With an extensive 20+ year career at the intersection of technology & innovation, I've cultivated a profound expertise in leading high-performance teams to deliver award-winning mobile apps, web apps, & scalable cloud SaaS platforms. My visionary & collaborative leadership style has enabled me to build Product, Engineering & Design teams that consistently produce disruptive innovations, setting ne",Senior operator with extensive ANZ market experience.,"[{""name"": ""i4T Global""}, {""name"": ""The digiDirect Group""}]",https://linkedin.com/in/sachiwickramage,,,True,False,,Sachi Wickramage
22.5,Carol Friel,carol-friel,True,Trade & Government,"Associate Director, Precinct Development, Investment NSW",Investment NSW,"Sydney, New South Wales, Australia",Trade & Government,international_entrant,ireland,ireland; australia,"Associate Director, Precinct Development, Investment NSW · A passionate leader and entrepreneurship advocate with a demonstrated history of working in the innovation and media sectors. Skilled in communications, relationship management, program management, administration, writing, and cross-sector collaboration. A strong presenter and relationship manager with a Master's degree in Multimedia from Dublin City University.",Senior operator with extensive ANZ market experience.,"[{""name"": ""Investment NSW""}, {""name"": ""NSW Treasury""}]",https://linkedin.com/in/carol-friel,,,True,False,,Carol Friel
22.5,Jerome Fournand,jerome-fournand,True,Trade & Government,General Manager,FACCI - French-Australian Chamber of Commerce & Industry,"Sydney, New South Wales, Australia",Trade & Government,international_entrant,,australia,"General Manager at FACCI - French-Australian Chamber of Commerce & Industry · Experienced General Manager with over 15 years of leadership across marketing, logistics, and international trade. I began my career in the marketing and digital industry, where embracing innovation and new technologies quickly became essential. This early exposure shaped my conviction that creativity and forward-thinking are key drivers of business transformation.I then gained extensive experience in the logistics sector, managing large-scale projects and thousands of contractors. By focusing o",15+ years operating experience in ANZ and international markets.,"[{""name"": ""FACCI - French-Australian Chamber of Commerce & Industry""}, {""name"": ""GDR Media Group""}]",https://linkedin.com/in/jeromefournand,,,True,False,,Jerome Fournand
22.5,Daniel Spencer,daniel-spencer,True,Active Advisor,Head of Partnerships,Sleek,"Darlinghurst, New South Wales, Australia",Active Advisor; Sales / GTM,international_entrant,france,france; australia,"Sales & Partnerships Leader | APAC Go to Market Expert · Dynamic sales leader with 15+ years of experience driving growth for tech and professional services firms across Australia, Asia, and Europe. Proven record of scaling sales revenue, building and leading high-performing teams, and developing new markets. Fluent in English and French and expert in B2B sales strategy, CRM optimisation, and partnership-driven revenue. Recognised for consistently exceeding targets, fostering client loyalty, and developing scalable sales operations from the ground up.",15+ years operating experience in ANZ and international markets.,"[{""name"": ""Sleek""}, {""name"": ""Professionals in International Trade (PIT)""}]",https://linkedin.com/in/danielrayspencer,,,True,False,,Daniel Spencer
22.5,Claire Marriott,claire-marriott,True,Scaled Founder,APAC CEO,Newfound,Greater Melbourne Area,Scaled Founder; Trade & Government; Cross-border,international_entrant,,australia,"APAC CEO at Newfound | Co-Founder #TechDiversity Australia · I lead global headhunting projects for high growth technology companies, and have successfully delivered projects for clients across Asia Pacific, Europe and North America.I co-founded the Australia's #Tech Diversity awards, leading 13 industry groups and businesses to drive a culture of inclusion in the Australian technology industries.",Senior operator with extensive ANZ market experience.,"[{""name"": ""Newfound""}, {""name"": ""Startupbootcamp""}]",https://linkedin.com/in/clairemarriott,,,True,False,,Claire Marriott
22.5,Sam Kothari,sam-kothari,True,International Founder,"Cofounder, COO",Everlab,Australia,International Founder; Trade & Government,both,uk,uk; australia,"Cofounder at Everlab · I enjoy working on challenging business problems with great people. I helped grow and scale Airwallex in Australia as employee number 3 in the commercial team. I'm now building Everlab to help detect and manage chronic disease. I'm always keen to connect with business owners, founders, startups and entreprenuers. Please let me know how I can help!",Senior operator with extensive ANZ market experience.,"[{""name"": ""Everlab""}, {""name"": ""Airwallex""}]",https://linkedin.com/in/kotharisam,,,True,False,,Sam Kothari
22.5,Lawrence Christoffelsz,lawrence-christoffelsz,True,Active Advisor,Founder and Host of the Global Trade Show (expert interviewer & MC for industry events),Import Export TV,"Melbourne, Victoria, Australia",Active Advisor; Marketing / PR / Comms; Cross-border,international_entrant,,australia,"Global Trade, Logistics & Supply Chain Entrepreneur. Founder of ATLC, Import Export TV, Ethical Trade Alliance, Co-Founder Global Hub Advisory Partners · With over 25 years of experience in global trade and supply chains, I’ve worked across diverse industries to deliver innovative logistics solutions and drive strategic growth. As the founder and CEO of the Australian Trade & Logistics Corporation (ATLC), I’m passionate about empowering SMEs with the tools, insights, and connections needed to thrive in global markets. Regularly engaged as a speaker and advisor to trade agencies, consulates, and industry bodies, I’m committed to advancing ethical,",25+ years operating experience in ANZ and international markets.,"[{""name"": ""Import Export TV""}, {""name"": ""Australian Trade & Logistics Corporation""}]",https://linkedin.com/in/lawrence-christoffelsz-global-trade,,,True,False,,Lawrence Christoffelsz
22.5,Sinead Connolly,sinead-connolly,True,International Founder,Founder/ Board Member,Lotus People,Greater Sydney Area,International Founder; HR / Talent; Recognised Industry Leader,international_entrant,ireland,ireland; australia,"Founder | SEEK Recruitment Leader of the Year | Australia's top recruitment agency; delivering exceptional HR, talent and business support recruitment · Would you like to attract and retain the best talent, knowing the process will be smooth, straightforward, and impactful? Do you crave external market knowledge and intel to help navigate today’s changing world of work? Does your ability to deliver rely on a strong people and culture strategy?If you answered yes to any of these, read on.I launched Lotus People in 2015 to fill a gap in the market — for an agency that genuinely cared. One that combined deep expertise with heart, passion, and p",Senior operator with extensive ANZ market experience.,"[{""name"": ""Lotus People""}, {""name"": ""Cox Purtell Staffing Services""}]",https://linkedin.com/in/sineadconnolly,,,True,False,,Sinead Connolly
22.5,Suzanne M.,suzanne-m,True,Trade & Government,Senior Business Development Manager Trade & Investment,Enterprise Singapore,Greater Sydney Area,Trade & Government; Cross-border,international_entrant,uk,uk; australia,"Trade & Investment Strategist | Asia–EU Market Growth | Digital & AI Fluent | Helping Organisations Expand Globally · With a strong track record across Australia, the UK, and Asia-Pacific, I specialise in trade and investment promotion, stakeholder engagement, and market expansion, particularly in high-growth sectors like digital health, precision medicine, and agrifood.Recent highlights include: • Securing inbound investment and export deals in healthtech and agribusiness • Leading trade missions and B2B engagement across Europe and Asia • Supporting startups and scaling companies with market entry and growth",Senior operator with extensive ANZ market experience.,"[{""name"": ""Enterprise Singapore""}, {""name"": ""Invest Northern Ireland""}]",https://linkedin.com/in/suzanne-m-bb81578,,,True,False,,Suzanne M.
22.0,David Smith,david-smith,False,Trade & Government,Associate Director - Program Operations,Investment NSW,"Sydney, New South Wales, Australia",Trade & Government,international_entrant,uk,uk; australia,"Associate Director at Investment NSW. 3x founder. Ex WeWork, INCUBATE, Coventured. Angel investor (Airtree Explorer Cohort 6). · Startup Co-Founder, Accelerator Manager, Angel investor, MBA.I am a passionate startup professional and angel investor who has extensive experience in accelerator and startup programs, and as a founder. In 2015 ,I followed my passion for entrepreneurship and created Knokal a marketplace startup that won several awards (including Westpac Businesses of Tomorrow 2017) and raised multiple funding rounds and Atmin, a bootstrapped startup in 2018. I then worked in the accelerator space (launching WeWo",Senior operator with extensive ANZ market experience.,"[{""name"": ""Investment NSW""}, {""name"": ""Academy of Entrepreneurs""}]",https://linkedin.com/in/davidsmithknokal,,,True,False,,David Smith (MBA)
22.0,Diane Belliveau,diane-belliveau,False,Trade & Government,"Chief Representative, Australia & New Zealand",Export Development Canada | Exportation et développement Canada,Australia,Trade & Government,international_entrant,canada,canada; australia,"Chief Representative, Australia & NZ at Export Development Canada / Exportation et développement Canada",Senior operator with extensive ANZ market experience.,"[{""name"": ""Export Development Canada | Exportation et d\u00e9veloppement Canada""}]",https://linkedin.com/in/diane-belliveau-ba924256,,,True,False,,Diane Belliveau
22.0,Charlie Hamer,charlie-hamer,False,International Founder,Chief Strategy Officer & Co-Founder,Future Government Institute,"Sydney, New South Wales, Australia",International Founder; Market Research / Strategy,both,uk,uk; australia,"Chief Strategy Officer | Co-Founder | Connector | GovTech | Public Sector · Building the future of government through connection, capability, and community.I’m driven by a simple idea: government can, and must, work better. For the people it serves. For the people who serve in it. And for the future we’re all building together.As Co-Founder of Public Sector Network (PSN), I’ve spent the last 10 years growing a global platform that brings together government leaders, innovators, and change makers across Australia, New Zealand, Canada, the US, and the UK. Through PSN’s tr",Senior operator with extensive ANZ market experience.,"[{""name"": ""Future Government Institute""}, {""name"": ""Public Sector Network""}]",https://linkedin.com/in/charliehamer,,,True,False,,Charlie Hamer
22.0,Emma Stevens,emma-stevens,False,Trade & Government,Country Director - Australia & New Zealand,Basque Trade & Investment / Agencia Vasca de Internacionalización,"Sydney, New South Wales, Australia",Trade & Government; Cross-border,international_entrant,usa,usa; australia,"Trade & Investment | Marketer | Customer focused | Forever curious · I am a strategic & commercially minded professional who has worked across both the public and private sectors. I have worked across a number of sectors including financial services, technology, media & entertainment, with both multinational companies and startups & scale ups. I have held a number of regionally and locally focused roles, including across Australia, the United Kingdom and Europe. I believe we should all be working towards creating a sustainable future for the world. A fulfilling c",Senior operator with extensive ANZ market experience.,"[{""name"": ""Basque Trade & Investment / Agencia Vasca de Internacionalizaci\u00f3n""}, {""name"": ""Investment NSW""}]",https://linkedin.com/in/emmastevens,,,True,False,,Emma Stevens
22.0,Jason Marsham,jason-marsham,False,International Founder,Founder,WeBridge Partners,Greater Sydney Area,International Founder; Market Research / Strategy,international_entrant,uk,uk; australia,"Founder/CEO - WeBridge Partners | Technology Consultancy Providing Innovation and Design Services to Distributors, LPs, GPs and Fund Administration in the Multi Asset Space. Portals, AI, Data, Integration and CX",Senior operator with extensive ANZ market experience.,"[{""name"": ""WeBridge Partners""}, {""name"": ""LAB Group""}]",https://linkedin.com/in/jason-marsham-57ba44128,,,True,False,,Jason Marsham
22.0,Alan Tsen,alan-tsen,False,Trade & Government,General Manager,Cremorne Digital Hub,"Melbourne, Victoria, Australia",Trade & Government; Market Entry Specialist; Cross-border,international_entrant,,australia,"Operator | Revenue Strategy | International Expansion | Commercial Strategy | Fintech · Alan is an accomplished commercial strategy leader with extensive experience in driving revenue growth and strategic innovation within the fintech and insurance sectors. He excels in developing market expansion strategies, driving revenue growth, and leading cross-functional teams in highly regulated environments.Alan has held key roles across various functions in the financial services sector. He served as the Director of Revenue Strategy at Chipper Cash, led a corporate accelerator program for",Senior operator with extensive ANZ market experience.,"[{""name"": ""Cremorne Digital Hub""}, {""name"": ""Fintech Radar""}]",https://linkedin.com/in/alan-tsen-22742716,,,True,False,,Alan Tsen
22.0,Dickie Currer,dickie-currer,False,Scaled Founder,Founder,Hype Man Media,"Melbourne, Victoria, Australia",Scaled Founder; Technology / Product; Cross-border; Recognised Industry Leader,both,,australia,"Victorian Startup Ecosystem Hero of the Year 2025 I connect Global Startup Ecosystems through Storytelling, Community building and cross border initiatives Founder | Investor | Emcee | Mentor · When I was 18, I left the safety blanket of my very Northern English upbringing behind and spent six eye opening months backpacking through the wilds of South America- in a time before social media (bar myspace) was really even a thing.Throughout this life changing adventure I questioned what I was doing approximately 5,000 times. Dealing with sickness thousands of miles from home, abstract loneliness, language barriers and unstable political regions provided a constant challenge, though I never",Senior operator with extensive ANZ market experience.,"[{""name"": ""Hype Man Media""}, {""name"": ""Hyped:Global""}]",https://linkedin.com/in/dickiecurrer,,,True,False,,Dickie Currer
21.5,Chris O'Connell,chris-oconnell,False,Scaled Founder,Chief Business Officer,Tech Council of Australia,"Sydney, New South Wales, Australia",Scaled Founder; Trade & Government,international_entrant,ireland,ireland; australia,"Growing the Tech Council of Australia · Strategy and Growth leader with over a decade of experience spanning roles in Ireland, Germany, USA, New Zealand and Australia, and a strong blend of high level executive advisory and execution.As Chief Business Officer at the Tech Council of Australia I'm helping to build a diverse ecosystem of tech creators, adopters and advisors to strengthen Australia's tech landscape through policy, advocacy and research. Please reach out you'd like to be a part of this effort!",Senior operator with extensive ANZ market experience.,"[{""name"": ""Tech Council of Australia""}, {""name"": ""Growth & Product Strategy""}]",https://linkedin.com/in/oconnech,,,True,False,,Chris O'Connell
21.5,Richard Ennis,richard-ennis,False,Trade & Government,"Regional Director, Australia and New Zealand",Invest Northern Ireland,Greater Sydney Area,Trade & Government; Cross-border,international_entrant,,australia,"Invest Northern Ireland, Regional Director - Australia & New Zealand · As Regional Director I have the overall responsibility for delivering Invest Northern Ireland's trade and FDI strategy across Australia and New Zealand. Invest Northern Ireland is the region’s economic development agency. It assists Northern Irish companies with accessing new markets and business opportunities to grow their exports; and attracts new foreign direct investment to Northern Ireland. Invest Northern Ireland has presence in 4 regions in Asia Pacific: China, Northeast Asia, Southeast A",Senior operator with extensive ANZ market experience.,"[{""name"": ""Invest Northern Ireland""}, {""name"": ""Digital Irish""}]",https://linkedin.com/in/richard-ennis,,,True,False,,Richard Ennis
21.5,Aik Kanhalykham,aik-kanhalykham,False,Trade & Government,Senior Business Development Manager,Enterprise Singapore,Greater Sydney Area,Trade & Government; Cross-border,international_entrant,,australia,"Senior Business Development Manager at Enterprise Singapore · Career experience in Australian State and Foreign Governments, with a focus on business development, foreign direct investment, trade promotion, economic development, and international engagement. Key strengths in providing strategic advice, establishing global connections and project management. Qualifications in International Business, University of South Australia, Australia.",Senior operator with extensive ANZ market experience.,"[{""name"": ""Enterprise Singapore""}, {""name"": ""Department of State Development""}]",https://linkedin.com/in/aik-kan,,,True,False,,Aik Kanhalykham
21.5,Tom Ward,tom-ward,False,Trade & Government,Senior Export Advisor,Investment NSW,"Sydney, New South Wales, Australia",Trade & Government; Cross-border,international_entrant,uk,uk; australia,"International Trade and Development | International Relations and Policy | Professionals in International Trade · I am passionate about international business. I am fascinated by the contemporary trends and interplay of factors which influence the success and prosperity of multinational organisations and their decision to expand overseas. I have built a strong understanding of the UK, European and Israeli business and cultural landscapes, which enables me to building meaningful relationships and act as a public sector expert for these markets. I also have an advanced understanding of operating in Asia, havi",Senior operator with extensive ANZ market experience.,"[{""name"": ""Investment NSW""}, {""name"": ""Australian Trade and Investment Commission (Austrade)""}]",https://linkedin.com/in/tom-ward-19b397215,,,True,False,,Tom Ward
21.5,Conor Keenan,conor-keenan,False,International Founder,CEO,NIOSMO Group,"Randwick, New South Wales, Australia",International Founder; Fintech Founder,both,ireland,ireland; australia,"Founder, CEO, CFHO at NIOSMO Group Pty Ltd | MyMoneyMedic | Financial Health Expert · NIOSMO Group (MyMoneyMedic) is redefining financial health & wellness under my leadership as CEO & Founder. With over twenty years of leadership experience in financial strategy and consulting, I empower individuals & businesses with innovative tools like PulseCheck™ to align their finances & overall wellbeing with their personal and professional goals. My mission is to transform financial wellness into an accessible, actionable movement. By focusing on strategic financial planning, operational",Senior operator with extensive ANZ market experience.,"[{""name"": ""NIOSMO Group""}, {""name"": ""SimplifySME""}]",https://linkedin.com/in/conor-keenan-sydney,,,True,False,,Conor Keenan
21.5,Daniel Grindrod,daniel-grindrod,False,Scaled Founder,Co-Founder,LaunchPad,Greater Sydney Area,Scaled Founder,international_entrant,,australia,"Co-Founder & Director | Building APAC's leading GTM Community ️ · Hello, I'm Dan! Originally from Devon, UK, I proudly call Sydney (Bondi) home. My passion for Technology and Connecting great people led me to Co-Found Launchpad Academy, 4Twenty Consulting & Tech Talks Australia. In my downtime, I'm either planning my next trip (️️️), enjoying good foods, or doing anything outdoors and sports-related (️)Over the last decade, I've partnered with numerous leaders of Global and Local Technology Businesses to advise and build their GTM teams across ANZ and APA",Senior operator with extensive ANZ market experience.,"[{""name"": ""LaunchPad""}, {""name"": ""4Twenty Consulting""}]",https://linkedin.com/in/dangrindrod,,,True,False,,Daniel Grindrod
21.5,Liz van Zyl,liz-van-zyl,False,Active Advisor,Head of Partnerships,Tractor Ventures,"Prahran, Victoria, Australia",Active Advisor; Sales / GTM; Recognised Industry Leader,international_entrant,uk,uk; australia,"Board member. Advisor. Head of Partnerships @ Tractor Ventures. Community builder. Founding team. Partner @ Aussie Founders Club. Nominated as Female Startup Leader of the Year ‘24 (Aus) · I operate at the junction of founders, funding, and the networks that surround them: connecting capital, grassroots communities, industry partners, and policymakers to ensure high‑potential startups have the resources and relationships they need to grow.As Head of Partnerships at Tractor Ventures, I work to expand access to non‑dilutive funding across Australia and New Zealand. Tractor has provided more than A$100 million in revenue‑aligned capital to 250+ companies and is targeting A$1 billion",Senior operator with extensive ANZ market experience.,"[{""name"": ""Tractor Ventures""}, {""name"": ""Aussie Founders Club""}]",https://linkedin.com/in/liz-van-zyl,,,True,False,,Liz van Zyl
21.0,Bonnie Shek,bonnie-shek,False,Trade & Government,"Director, Australia & New Zealand",Hong Kong Trade Development Council,Greater Sydney Area,Trade & Government,international_entrant,,australia,"Director, AU & NZ, Hong Kong Trade Development Council · Bonnie is a seasoned professional with marketing, business development and management experience in Asia/Pacific. Before joining the HKTDC, she spent over ten years in the telecommunications industry, being responsible for developing marketing strategy and leading the Asia/Pacific consumer team.Having grown up in Hong Kong, then living in Australia and travelling back & forth to New Zealand for over 30 years, Bonnie understands the business dynamics among the three economies. With an extensive n",30+ years operating experience in ANZ and international markets.,"[{""name"": ""Hong Kong Trade Development Council""}, {""name"": ""AT&T""}]",https://linkedin.com/in/bonnie-shek-a728a934,,,True,False,,Bonnie Shek
21.0,Madeline Ferguson,madeline-ferguson,False,Trade & Government,Landing Pads - Program Director,Australian Trade and Investment Commission (Austrade),"Sydney, New South Wales, Australia",Trade & Government,international_entrant,,australia,Landing Pads Program Director Australian Trade and Investment Commission (Austrade),Senior operator with extensive ANZ market experience.,"[{""name"": ""Australian Trade and Investment Commission (Austrade)""}, {""name"": ""The Fred Hollows Foundation""}]",https://linkedin.com/in/madeline-ferguson-530a39a7,,,True,False,,Madeline Ferguson
21.0,William Johnson,william-johnson,False,Trade & Government,Senior Adviser,Australian Trade and Investment Commission (Austrade),Greater Melbourne Area,Trade & Government,international_entrant,,australia,Senior Trade Adviser | Australian Trade and Investment Commission (Austrade),Senior operator with extensive ANZ market experience.,"[{""name"": ""Australian Trade and Investment Commission (Austrade)""}, {""name"": ""Department of Jobs, Skills, Industry and Regions""}]",https://linkedin.com/in/william-johnson-0bb20596,,,True,False,,William Johnson
