surface,raw_value,row_count,merged_value,linkedin_code,linkedin_description,confidence,note
investors.sector_focus,IT,2,Technology,96,Information Technology and Services,medium,
investors.sector_focus,Life sciences,2,Life Sciences,12,Biotechnology,medium,Casing variant
investors.sector_focus,logistics,2,Logistics,116,Logistics and Supply Chain,high,Casing variant
investors.sector_focus,Manufacturing,2,Manufacturing,135,Mechanical or Industrial Engineering,low,FLAG: no generic Manufacturing entry
investors.sector_focus,Marketing,2,Marketing,80,Marketing and Advertising,high,
investors.sector_focus,Media,2,Media,113,Online Media,medium,126 secondary
investors.sector_focus,Medical Equipment Manufacturing,2,MedTech,17,Medical Devices,high,Post-migration V2 group value
investors.sector_focus,Observability,2,Software,4,Computer Software,high,
investors.sector_focus,Online Marketplaces,2,Marketplace,6,Internet,medium,
investors.sector_focus,Productivity,2,Software,4,Computer Software,medium,
investors.sector_focus,Productivity SaaS,2,SaaS,4,Computer Software,high,
investors.sector_focus,Property Tech,2,PropTech,44,Real Estate,high,Spacing variant
investors.sector_focus,Quantum,2,Deep Tech,96,Information Technology and Services,low,
investors.sector_focus,Real Estate,2,Real Estate,44,Real Estate,high,
investors.sector_focus,Recruitment,2,HR & Recruiting,104,Staffing and Recruiting,high,
investors.sector_focus,Research Commercialisation,2,Research,70,Research,medium,
investors.sector_focus,Rural Industries,2,Agriculture,63,Farming,medium,
investors.sector_focus,Semiconductor,2,Semiconductors,7,Semiconductors,high,
investors.sector_focus,Services,2,Services,,,low,UNMAPPABLE:other — too generic
investors.sector_focus,Social Innovation,2,Impact,,,high,UNMAPPABLE:investment-thesis
investors.sector_focus,SportTech,2,SportTech,33,Sports,medium,Casing variant
investors.sector_focus,Streaming,2,Media,113,Online Media,medium,
investors.sector_focus,Technology (global scale),2,Technology,96,Information Technology and Services,low,Part thesis
investors.sector_focus,Wearables,2,Consumer Electronics,24,Consumer Electronics,medium,
investors.sector_focus,Wine/FoodTech,2,Wine & Food,142,Wine and Spirits,medium,23 secondary
investors.sector_focus,Women-led,2,Founder Audience,,,high,UNMAPPABLE:audience — casing variant
investors.sector_focus,Workforce Tech,2,HR Tech,137,Human Resources,medium,
investors.sector_focus,4th Industrial Revolution,1,Deep Tech,96,Information Technology and Services,low,UNMAPPABLE-adjacent thesis label
investors.sector_focus,Accessibility,1,Accessibility,,,medium,UNMAPPABLE:theme
investors.sector_focus,Accounting Integrations,1,Accounting,47,Accounting,medium,4 secondary
investors.sector_focus,Advanced Compute,1,Deep Tech,96,Information Technology and Services,low,3 secondary
investors.sector_focus,Advanced Computing,1,Deep Tech,96,Information Technology and Services,low,
investors.sector_focus,Advanced manufacturing,1,Advanced Manufacturing,135,Mechanical or Industrial Engineering,low,Casing variant
investors.sector_focus,Advanced Materials,1,Advanced Materials,54,Chemicals,low,114 secondary
investors.sector_focus,Aerospace/Autonomy,1,Aerospace,52,Aviation & Aerospace,medium,
investors.sector_focus,Aged Care Tech,1,Aged Care,14,Hospital & Health Care,medium,
investors.sector_focus,Agile/PM Tools,1,Software,4,Computer Software,high,
investors.sector_focus,Agnostic,1,Sector Agnostic,,,high,UNMAPPABLE:agnostic
investors.sector_focus,Agnostic (bias to big markets),1,Sector Agnostic,,,high,UNMAPPABLE:agnostic
investors.sector_focus,Agnostic (healthcare,1,Sector Agnostic,,,high,UNMAPPABLE:corrupted-fragment — comma-split of 'Agnostic (healthcare, ...)'
investors.sector_focus,Agnostic (Sustainable Tech,1,Sector Agnostic,,,high,UNMAPPABLE:corrupted-fragment
investors.sector_focus,Agnostic (women founders,1,Sector Agnostic,,,high,UNMAPPABLE:corrupted-fragment
investors.sector_focus,Agri,1,Agriculture,63,Farming,high,
investors.sector_focus,Agri-Food,1,AgTech,63,Farming,medium,
investors.sector_focus,Agricultural technology,1,AgTech,63,Farming,high,
investors.sector_focus,agriculture,1,Agriculture,63,Farming,high,Casing variant
investors.sector_focus,agrifood,1,AgTech,63,Farming,medium,Casing variant
investors.sector_focus,agtech,1,AgTech,63,Farming,high,Casing variant
investors.sector_focus,Agtech,1,AgTech,63,Farming,high,Casing variant
investors.sector_focus,AI Coding Agents,1,AI & Data,4,Computer Software,high,
investors.sector_focus,AI Services,1,AI & Data,4,Computer Software,high,
investors.sector_focus,AI-enabled B2B software,1,AI & Data,4,Computer Software,high,
investors.sector_focus,AI-first software,1,AI & Data,4,Computer Software,high,
investors.sector_focus,AI-first technology (operator-led,1,AI & Data,4,Computer Software,medium,UNMAPPABLE-adjacent corrupted-fragment; mapped on prefix
investors.sector_focus,AI),1,AI & Data,4,Computer Software,medium,UNMAPPABLE:corrupted-fragment — trailing fragment of comma-split list; likely '(... AI)'
investors.sector_focus,AI/Robotics,1,AI & Data,4,Computer Software,medium,147 secondary
investors.sector_focus,All especially Fintech,1,FinTech,43,Financial Services,low,Agnostic-with-tilt
investors.sector_focus,Alt Proteins,1,FoodTech,23,Food Production,high,
investors.sector_focus,Analytics,1,AI & Data,4,Computer Software,medium,
investors.sector_focus,ANU Spinoffs,1,University Spinouts,,,high,UNMAPPABLE:investment-thesis
investors.sector_focus,Artificial Intelligence (ANZ),1,AI & Data,4,Computer Software,medium,Part geography
investors.sector_focus,Atlassian Marketplace,1,Software,4,Computer Software,medium,
investors.sector_focus,Audio/Podcast,1,Media,113,Online Media,medium,
investors.sector_focus,Authentication,1,Cybersecurity,118,Computer & Network Security,high,
investors.sector_focus,Auto Finance,1,FinTech,43,Financial Services,medium,
investors.sector_focus,Automotive,1,Automotive,53,Automotive,high,
investors.sector_focus,Autonomous Vehicles,1,Automotive,53,Automotive,medium,
investors.sector_focus,B2B Marketplaces,1,Marketplace,6,Internet,medium,
investors.sector_focus,B2B SAAS,1,SaaS,4,Computer Software,high,Casing variant
investors.sector_focus,B2B SaaS (mission-critical,1,SaaS,4,Computer Software,medium,UNMAPPABLE-adjacent corrupted-fragment; mapped on prefix
investors.sector_focus,B2B SaaS (via Black Nova VC),1,SaaS,4,Computer Software,high,
investors.sector_focus,B2B Software,1,Software,4,Computer Software,high,
investors.sector_focus,B2B Technology (SE Asia),1,Technology,96,Information Technology and Services,low,Part geography
investors.sector_focus,B2B2C SaaS,1,SaaS,4,Computer Software,high,
investors.sector_focus,Banking Tech,1,FinTech,43,Financial Services,high,41 secondary
investors.sector_focus,Batteries,1,CleanTech,144,Renewables & Environment,medium,
investors.sector_focus,Beauty Tech,1,Cosmetics,18,Cosmetics,medium,
investors.sector_focus,Beverages,1,Food & Beverage,34,Food & Beverages,medium,
investors.sector_focus,Bio,1,Biotechnology,12,Biotechnology,medium,
investors.sector_focus,Bioplastics,1,CleanTech,144,Renewables & Environment,medium,117 secondary
investors.sector_focus,BIPOC Founders,1,Founder Audience,,,high,UNMAPPABLE:audience
investors.sector_focus,Bitcoin Financial Services,1,Web3,43,Financial Services,low,
investors.sector_focus,Bitcoin Mining,1,Web3,43,Financial Services,low,Not mineral mining
investors.sector_focus,Branding,1,Marketing,80,Marketing and Advertising,medium,
investors.sector_focus,Brands,1,Consumer Goods,25,Consumer Goods,low,
investors.sector_focus,built environment,1,Construction,48,Construction,medium,44 secondary
investors.sector_focus,Business Services,1,Professional Services,11,Management Consulting,low,FLAG: umbrella
investors.sector_focus,carbon markets,1,CleanTech,144,Renewables & Environment,medium,
investors.sector_focus,Career Tech,1,HR & Recruiting,104,Staffing and Recruiting,medium,
investors.sector_focus,carve-outs,1,Deal Type,,,high,UNMAPPABLE:funding-stage
investors.sector_focus,Charity Tech,1,Non-Profit,100,Non-Profit Organization Management,medium,
investors.sector_focus,Childcare,1,Childcare,88,Individual & Family Services,medium,
investors.sector_focus,circular economy,1,CleanTech,144,Renewables & Environment,medium,Casing variant
investors.sector_focus,Clean Economy,1,CleanTech,144,Renewables & Environment,medium,
investors.sector_focus,clean energy,1,CleanTech,144,Renewables & Environment,high,Casing variant
investors.sector_focus,Clean Tech,1,CleanTech,144,Renewables & Environment,high,Spacing variant
investors.sector_focus,Clean technology,1,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,CleanEnergy,1,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,cleantech),1,CleanTech,144,Renewables & Environment,medium,UNMAPPABLE:corrupted-fragment — trailing fragment
investors.sector_focus,climate,1,CleanTech,144,Renewables & Environment,high,Casing variant
investors.sector_focus,climate tech,1,CleanTech,144,Renewables & Environment,high,Casing variant
investors.sector_focus,Climate tech — energy,1,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Climate tech (clean energy,1,CleanTech,144,Renewables & Environment,medium,UNMAPPABLE-adjacent corrupted-fragment; mapped on prefix
investors.sector_focus,climate.,1,CleanTech,144,Renewables & Environment,medium,Punctuation variant
investors.sector_focus,Climate/Energy/Health/Society,1,CleanTech,144,Renewables & Environment,low,Composite; 14 secondary
investors.sector_focus,Clinical AI,1,HealthTech,14,Hospital & Health Care,high,
investors.sector_focus,Clinical Trials,1,Life Sciences,12,Biotechnology,medium,
investors.sector_focus,Cloud,1,Software,4,Computer Software,high,
investors.sector_focus,Cloud Infrastructure,1,Software,4,Computer Software,high,
investors.sector_focus,Cloud Security,1,Cybersecurity,118,Computer & Network Security,high,
investors.sector_focus,Cloud Storage,1,Software,4,Computer Software,high,
investors.sector_focus,Co-working / PropTech,1,PropTech,44,Real Estate,high,
investors.sector_focus,Commerce APIs,1,Software,4,Computer Software,high,
investors.sector_focus,CommunicationsAPI,1,Software,4,Computer Software,high,
investors.sector_focus,Comparison Tech,1,Internet,6,Internet,medium,
investors.sector_focus,Complex Systems,1,Deep Tech,96,Information Technology and Services,low,
investors.sector_focus,Computer Vision,1,AI & Data,4,Computer Software,medium,
investors.sector_focus,Connectivity,1,Telecommunications,8,Telecommunications,medium,
investors.sector_focus,Construction Tech,1,ConstructionTech,48,Construction,medium,
investors.sector_focus,Consulting Tech,1,Professional Services,11,Management Consulting,low,
investors.sector_focus,Consumer Electronics,1,Consumer Electronics,24,Consumer Electronics,high,
investors.sector_focus,Consumer Experience,1,Consumer,25,Consumer Goods,low,
investors.sector_focus,Consumer Fintech,1,FinTech,43,Financial Services,high,
investors.sector_focus,Consumer Hardware,1,Consumer Electronics,24,Consumer Electronics,medium,
investors.sector_focus,Consumer Health,1,Healthcare,14,Hospital & Health Care,medium,
investors.sector_focus,Consumer Products,1,Consumer Goods,25,Consumer Goods,high,
investors.sector_focus,Consumer Software,1,Software,4,Computer Software,high,
investors.sector_focus,consumer tech),1,Consumer,25,Consumer Goods,low,UNMAPPABLE:corrupted-fragment — trailing fragment
investors.sector_focus,Consumer Technology,1,Consumer,25,Consumer Goods,low,
investors.sector_focus,consumer),1,Consumer,25,Consumer Goods,low,UNMAPPABLE:corrupted-fragment — trailing fragment
investors.sector_focus,Content,1,Media,113,Online Media,low,
investors.sector_focus,Contingent Labour tech,1,HR & Recruiting,104,Staffing and Recruiting,medium,
investors.sector_focus,Corporate Finance,1,Financial Services,43,Financial Services,medium,
investors.sector_focus,Creative Tech,1,Creative Industries,99,Design,low,
investors.sector_focus,Critical tech,1,Deep Tech,96,Information Technology and Services,low,1 secondary
investors.sector_focus,Crowdfunding,1,FinTech,43,Financial Services,medium,
investors.sector_focus,Cryptography,1,Cybersecurity,118,Computer & Network Security,medium,
investors.sector_focus,CX/Feedback Analytics,1,Software,4,Computer Software,medium,
investors.sector_focus,Cyber Security,1,Cybersecurity,118,Computer & Network Security,high,Spacing variant
investors.sector_focus,cybersecurity,1,Cybersecurity,118,Computer & Network Security,high,Casing variant
investors.sector_focus,D2C Health,1,Healthcare,14,Hospital & Health Care,medium,
investors.sector_focus,Data,1,AI & Data,4,Computer Software,medium,
investors.sector_focus,Data Infrastructure,1,AI & Data,4,Computer Software,medium,
investors.sector_focus,Data Privacy,1,Cybersecurity,118,Computer & Network Security,medium,
investors.sector_focus,Data Science,1,AI & Data,4,Computer Software,medium,
investors.sector_focus,decarbonisation,1,CleanTech,144,Renewables & Environment,high,Casing variant
investors.sector_focus,defence,1,Defence,1,Defense & Space,high,Casing variant
investors.sector_focus,Defence Tech,1,Defence,1,Defense & Space,high,
investors.sector_focus,DefenceTech),1,Defence,1,Defense & Space,medium,UNMAPPABLE:corrupted-fragment — trailing fragment
investors.sector_focus,Design Tech,1,Design,99,Design,medium,
investors.sector_focus,Developer Infrastructure,1,Software,4,Computer Software,high,
investors.sector_focus,DevSecOps,1,Software,4,Computer Software,high,118 secondary
investors.sector_focus,Diagnostics,1,Life Sciences,12,Biotechnology,medium,17 secondary
investors.sector_focus,Digital health,1,HealthTech,14,Hospital & Health Care,high,Casing variant
investors.sector_focus,Digital Media,1,Media,113,Online Media,high,
investors.sector_focus,Digital Signage,1,Media,113,Online Media,low,80 secondary
investors.sector_focus,Digital Technologies,1,Technology,96,Information Technology and Services,medium,
investors.sector_focus,Disability Tech,1,Disability Tech,88,Individual & Family Services,medium,
investors.sector_focus,Disruptive Tech,1,Technology,96,Information Technology and Services,low,Thesis-flavoured
investors.sector_focus,Diversified (global),1,Sector Agnostic,,,high,UNMAPPABLE:agnostic
investors.sector_focus,Diversified investment,1,Sector Agnostic,,,high,UNMAPPABLE:agnostic
investors.sector_focus,diversified investments,1,Sector Agnostic,,,high,UNMAPPABLE:agnostic
investors.sector_focus,Diversified private expansion capital,1,Sector Agnostic,,,high,UNMAPPABLE:agnostic + funding-stage
investors.sector_focus,Diversity-led,1,Founder Audience,,,high,UNMAPPABLE:audience
investors.sector_focus,Document Management,1,Software,4,Computer Software,high,
investors.sector_focus,Document SaaS,1,SaaS,4,Computer Software,high,
investors.sector_focus,Document Tech,1,Software,4,Computer Software,high,
investors.sector_focus,Drone,1,Drones,52,Aviation & Aerospace,medium,
investors.sector_focus,Drone/Mapping,1,Drones,52,Aviation & Aerospace,medium,84 secondary
investors.sector_focus,DTC Brands,1,DTC,27,Retail,medium,Part business-model
investors.sector_focus,DTC Health,1,Healthcare,14,Hospital & Health Care,medium,
investors.sector_focus,E-Gaming,1,Gaming,109,Computer Games,high,
investors.sector_focus,Early Education,1,Education,67,Primary/Secondary Education,medium,
investors.sector_focus,early stage,1,Funding Stage,,,high,UNMAPPABLE:funding-stage
investors.sector_focus,early stage),1,Funding Stage,,,high,UNMAPPABLE:corrupted-fragment + funding-stage
investors.sector_focus,Early-stage Tech,1,Technology,96,Information Technology and Services,low,Part funding-stage
investors.sector_focus,eCommerce/DTC,1,E-commerce,27,Retail,medium,
investors.sector_focus,EcoTech,1,CleanTech,144,Renewables & Environment,medium,
investors.sector_focus,edtech,1,EdTech,132,E-Learning,high,Casing variant
investors.sector_focus,education,1,Education,69,Education Management,medium,Casing variant
