surface,raw_value,row_count,merged_value,linkedin_code,linkedin_description,confidence,note
sector_tags slug (V2 sector),farming-ranching-forestry,,"Farming, Ranching, Forestry",63,Farming,high,64 Ranching / 66 Fishery secondary
sector_tags slug (V2 sector),financial-services,,Financial Services,43,Financial Services,high,
sector_tags slug (V2 sector),government-administration,,Government Administration,75,Government Administration,high,
sector_tags slug (V2 sector),holding-companies,,Holding Companies,46,Investment Management,low,No 147 equivalent — flag
sector_tags slug (V2 sector),hospitals-and-health-care,,Hospitals and Health Care,14,Hospital & Health Care,high,
sector_tags slug (V2 sector),manufacturing,,Manufacturing,135,Mechanical or Industrial Engineering,low,No generic Manufacturing entry in 147 — needs group-level split
sector_tags slug (V2 sector),oil-gas-and-mining,,"Oil, Gas, and Mining",57,Oil & Energy,medium,56 Mining & Metals secondary
sector_tags slug (V2 sector),professional-services,,Professional Services,11,Management Consulting,low,Heterogeneous V2 umbrella; no 147 equivalent — needs group-level split
sector_tags slug (V2 sector),real-estate-and-equipment-rental-services,,Real Estate and Equipment Rental Services,44,Real Estate,high,
sector_tags slug (V2 sector),retail,,Retail,27,Retail,high,
sector_tags slug (V2 sector),technology-information-and-media,,"Technology, Information and Media",96,Information Technology and Services,low,Heterogeneous V2 umbrella (software/internet/media/telecom); no 147 equivalent — needs group-level split
sector_tags slug (V2 sector),transportation-logistics-supply-chain-and-storage,,"Transportation, Logistics, Supply Chain and Storage",116,Logistics and Supply Chain,medium,92 Transportation/Trucking/Railroad secondary
sector_tags slug (V2 sector),utilities,,Utilities,59,Utilities,high,
sector_tags slug (V2 sector),wholesale,,Wholesale,133,Wholesale,high,
