id,name,current_labels,proposed_sector_tags,proposed_sector_agnostic,confidence,rationale
3a6d047c-3af8-4ac5-92f7-3e0e6c5c5b32,Tech & Business Networking in Sydney,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
3c97b3cf-5615-40a8-b882-9ec3e10aed65,"Master the Art of Buying, Selling & Scaling Star",Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
3d391d91-c2b0-4f9e-8373-669a4e2de6e1,Startup Pitch & Networking Sydney,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
4372142c-27a6-4af0-a139-280f7c0c2354,"AI For Senior Leaders: Future, Impact & Opportun",AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
46327a8e-8dd5-4f34-beba-fac8a152d7bf,Networking Event and AI for Businesses Workshop,Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
472d7ed2-3633-43f0-b11d-edd3bdf0aa1c,Free Startup Fundraising Video Office Hours Q&A ,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
4804a3cb-cfe1-4f10-b3cb-79c63c54be7e,BGN Bundoora – Melbourne's Business Networking &,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
48ce632c-7751-47e3-be97-bcc68b10b4cc,How Local Businesses Win Customers with ChatGPT ,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
50e2542d-c4e5-41b4-8caf-db2a0e9492c3,Impact Pitch Night,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
517023e2-cf59-44df-a052-e218538c7c13,Australian Digital Dollar Grant Showcase,FinTech,financial-services|technology-information-and-media,false,high,FinTech (vocabulary: fintech)
53102c37-05cf-45c0-b1d3-a6f198a6e341,AUNZ Roadshow with Barbara Cox-Lovesy / Melbourn,Professional Services,professional-services,false,high,Professional Services (vocabulary: professional services)
58672850-8fb9-45f1-9958-4edc69f7373a,Founders Pitch & Networking Night in Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
587be116-6c51-4a86-a1df-8a592c967fd4,Startups Demos & Networking Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
5b5a5eec-96b1-473e-a524-e0510377d376,From IT Leader to AI Practitioner: The Upskillin,Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
5f4b8064-ed36-441b-adf7-9ed18055f0ac,StartupHaus Melbourne · July 2026: Where Founder,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
609a982b-56d8-45a1-8eab-f0c73d729589,Startups Demos & Networking in Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
61310b3d-7d3b-4518-a04f-9230659ffeb9,"Go From Idea to Working App with AI, Featuring A",Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
625cacc0-a06d-4dab-b92d-9b60a1b5692b,EOFY TBG Converge - Business Owners Networking,Professional Services,professional-services,false,high,Professional Services (vocabulary: professional services)
64294455-793e-49d9-9530-5402e1c1da45,AI-Powered Business Growth. Stop Playing With AI,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
66a5485c-08a0-4275-b7d9-c3ba3bc4168e,"Startup Networking Melbourne: Founders, Investor",Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
677acec6-0f8d-4d7a-a8ff-f1412e73bcc6,Startup Pitch & Networking Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
69bd17da-1507-484a-be42-d7d73eeafc51,"Startup Networking Sydney: Founders, Investors &",Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
6aa7254b-2ea5-40e0-a2e5-02a0f073ef41,Startups Demos & Networking Sydney,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
6d369364-7bb8-4d1a-beb0-2957cbb5dc6e,BGN Caulfield – Melbourne's Business Networking ,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
7025395d-eab1-49d4-a0b9-ba59a2d06e34,Entrepreneur Exclusive Power Hour w/Global Busin,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
70d157c6-2cc2-4b0c-b574-ed25db7283eb,National AI & Cybersecurity Leadership Summit 20,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
74074eea-38b6-4866-9408-083b58de87e3,Entrepreneurs Meetup by We Founders Collab Sydne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
7629dcd3-dc5c-4642-8fde-3b5a9dee4774,Impact Pitch Night,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
7716e2c7-9c50-4021-ba34-defaffc6e663,"Leading a Future Workforce. Human Adaptability, ",Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
7a95e785-99b2-4ae9-8ffc-03745a2a6fa6,Manufacturing Growth Workshop,Manufacturing,manufacturing,false,high,Manufacturing (vocabulary: manufacturing)
7bcebf4f-f840-42fb-b226-52aa68fb0dde,Women's Circle: Cancer Moon,Professional Services,professional-services,false,high,Professional Services (vocabulary: professional services)
7c31b20c-84a4-422c-8756-dde2c262617a,Free Startup Fundraising Office Hours Expert AMA,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
7d545f5b-7c33-4b3c-a7b8-eeeffeaf0b91,BNI Eltham Networking Event,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
7f56c78a-1f93-4445-b4db-df6bb88ea4d8,Free Startup Fundraising Office Hours Expert AMA,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
8068b1f4-1c10-4ae9-bd41-1f63bdc73140,Find a Cofounder / Help or Join a Tech Startup,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
81ab286c-05fb-45e5-b75f-6f3d77cea34c,Tech & Business Networking in Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
8811982b-7c60-410a-913d-ce3c59287ea5,BNI Business Awards,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
89b1524c-4f70-4573-ba5e-04a42ad83419,How to Think Like a Founder and Take Action,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
8ba35c1f-cd1c-412c-8930-698f46e93f90,The AI-Native Founder Revolution: Build Your Com,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
8e1f89b7-19a1-4717-a80a-5b85da7059cb,Masterclass for Executives: Agentic AI in Regula,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
95e3ef58-c916-4185-b4fa-c328584f8fd9,AI & Tech Networking Event in Sydney by Ascent V,Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
97637738-60b9-44d2-ba02-216467d8fa4a,"Master the Art of Buying, Selling & Scaling Star",Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
99800416-5ce1-4f0a-9bb0-b255e0c99be2,Startup Networking & Fireside Chat w/ Kunal Kalr,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
9e526ca7-087f-44db-a45b-9a500c504ef2,CBCC Public Speaking & Business Pitch Event,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
a1aef113-feff-4d7e-8680-9c893f865bed,Investor Connect: Pitch & Deal Flow Night / Melb,Venture Capital,financial-services,false,high,Venture Capital (capital markets group sits under Financial Services)
a35815a2-a624-46a5-bc17-8966e3f981de,Startup Pitch Event Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
a84210aa-3e9c-4807-ae8f-14a8d8e8c7ff,AI & Tech Networking Event in Melbourne by Ascen,Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
a9c7cfa2-b234-49ed-a87e-8f95eb8c63b1,Prompt to Profit — Learn Generative AI for Busin,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
a9d746a8-ab7a-4bf5-bffc-2265dffdd951,Startup Pitch & Themed Networking Melbourne / Un,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
aac93e6e-f821-47ee-b7cd-dd2f705a74b3,Velocity AI Summit: Raising Capital & Automating,AI & Data;Technology,technology-information-and-media,false,high,Technology (vocabulary: technology); AI & Data (vocabulary: ai)
ac777f0e-d24d-4d5d-b197-0b79295517f0,BGN Jells Park – Melbourne's Premier Business Ne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
ad31153c-7a82-461d-9b93-06f253b89cb1,Executive to Entrepreneur: Business Masterclass ,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
ae01e49b-108b-4761-9bf6-9a34f1484e87,AI Implementation in Business / Sydney,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
af1073c5-3144-449c-be02-804a63e0e55f,CBD Business Owners Network – Connect & Grow,Professional Services,professional-services,false,high,Professional Services (vocabulary: professional services)
b0db0ea3-891c-4c87-87c5-7f62d61fd795,AI Foundations for Founders: Architecting Your D,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
b16da01f-984b-4f4c-8028-e98cf6691b79,"Business Networking In-Person Event - Connect, E",Professional Services,professional-services,false,high,Professional Services (vocabulary: professional services)
b5485ae2-4087-4355-9844-77639552fd4d,"AI Tech Founders, Investors & Pitch Night by Ast",AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
ba60f440-e141-4ea6-9612-cca7e53fc02d,Trade & Supply Chain Connect (NSW),Logistics,transportation-logistics-supply-chain-and-storage,false,high,Logistics (vocabulary: transport)
bb3dc0fd-4fb8-4a08-b98e-00effacc23fd,Venture Trailblazers featuring Tim Draper,Venture Capital,financial-services,false,high,Venture Capital (capital markets group sits under Financial Services)
bed15654-3d17-4d6c-9a52-4327341b1e52,Venture & Capital 2026 – Private Market Investme,Venture Capital,financial-services,false,high,Venture Capital (capital markets group sits under Financial Services)
c02bd2f7-af37-4984-b0bc-0e19f128fc0f,Sydney Tech Mixer and Social (Tech / AI / Data /,Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
c63641a6-bcef-434d-acc4-0db2e70ecfb0,Startups & Investors Pitch Night Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
c986fc06-88da-4ed5-952a-29e8068bc6af,Harnessing AI for Marketing Innovation / Sydney,Marketing,professional-services,false,high,Marketing (advertising services group sits under Professional Services)
cbe36f5a-c96f-47aa-b1fb-cc981892c524,Founders Pitch & Networking Night Sydney,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
cf7bafd0-0263-4816-adf1-303c0ef35782,Find a Cofounder / Help or Join a Tech Startup,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
d14507dd-6f35-4e9a-996d-11a3c712dcec,Startup Networking⚡Fireside Chat w/ Prosper Taru,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
d6d10547-8b4f-4527-a89e-637970b61183,NSW FBC Business Networking Event,Professional Services,professional-services,false,high,Professional Services (vocabulary: professional services)
d8794c33-5f42-4a2e-b8ac-977e8a4931ef,Practical Claude AI for Finance Professionals,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
e11f6964-505d-4f16-93db-51b3734b49d4,MBA Pitch Exchange Business Networking Night,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
e164a48e-26ed-4153-a266-3865d012afb3,Friday Melbourne CBD Casual Business Networking ,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
e1c65a00-42ae-410f-ae69-d8f90189a6f2,Startups Demos & Networking Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
e2448e43-449c-4918-bdc9-52545c50585a,Investor Connect: Pitch & Deal Flow Night / Melb,Venture Capital,financial-services,false,high,Venture Capital (capital markets group sits under Financial Services)
e25aa25d-a5db-4825-a17d-79f63ba8c1cf,Startups Demos & Networking in Sydney,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
e5597720-b2c4-4449-a057-71bb7ce12205,Dinner with Entrepreneurs: Melbourne / Giving Ba,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
e600ace8-a621-4bd5-8ff8-442a410acb47,Global Startup Networking Sydney Australia 2026,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
e68b037f-acc8-4bb3-b591-4cd1d7530d8a,TechHaus Sydney · June 2026: Where Leading AI & ,Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
e76d5d10-7577-4f55-9a7b-ab36417b51a7,Build Your Startup Pitch & Raise Angel Funds,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
e8697349-2af4-4a81-b116-92a5a2709f6d,Raise Ready / Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
ebe80a24-dc97-490d-8d1c-8d86ddebf398,ProfitTime Growth Accelerator / Build The Plan T,Professional Services,professional-services,false,high,Professional Services (vocabulary: professional services)
ee382dd6-0bad-43bb-b50f-1d46bdcadab1,Startup Pitch & Networking Melbourne,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
f3335a0d-476d-40bf-acdb-7adb32240c0e,Founders Table: Elevator Pitch Mastermind,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
f4a4652b-9695-45b6-a354-9f2f68947323,DISRUPT AI COMMUNITY CONNECT,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
f76cef33-f45d-4e4d-8e2d-8c7b74b527ac,The Future of Product Management & UX/UI Design ,Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
f8492c29-eec4-4f8b-92d8-3009147be8a2,LaunchPad Lift Off Pitch Night,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
fdbe3273-9209-4ffb-9420-2eb9165b06b6,AI Agents for Business Professionals / Melbourne,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
fe18b708-5c28-42a5-ab14-2c3dbd4c5c7e,AI Tech & Startup Night — Sydney,Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
ffcadfb9-4738-4d7f-80de-6e4b6d944728,Business Growth Lunch,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
