table,id,name,final_sector_tags,final_sector_agnostic,migration_action,tag_source,rationale
events,18d3e547-d9a8-4864-8c16-1fea88cf7727,Networking & Pitch in Sydney,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,1d465834-fc0c-4563-81bb-dace6c931937,Free Startup Fundraising Video Office Hours Q&A ,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,2543c3ec-5cfd-4e8e-b430-fc94070d145d,Investor Connect: Pitch & Deal Flow Night / Sydn,,true,leave-location-gated,operator_review,founder/general-business audience — agnostic (not an industry event)
events,27407b96-d4fa-48dd-a469-61ba16f2c9f7,Startup Pitch & Themed Networking Sydney / Unloc,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,29734d01-1629-4542-ad4e-7dc2b57063d9,Dinner with Entrepreneurs / Melbourne (Gold Tier,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,29bbadbc-a705-4e8a-8e60-cc5433fe843e,Harnessing AI for Marketing Innovation / Melbour,,true,leave-location-gated,operator_review,founder/general-business audience — agnostic (not an industry event)
events,33c6461a-4086-4318-835b-433fff91e7e0,AI Is Here: What Small Businesses Must Do Now,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,36406e2a-6754-4ceb-bf7e-c25ac0ace0e1,"StartupHaus Sydney · June 2026: Where Founders, ",,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,374d2e68-4dac-4caf-9179-34e2b1766a26,Trade & Supply Chain Connect (VIC),transportation-logistics-supply-chain-and-storage,false,tag,stored_label,Logistics (vocabulary: transport) — derived from the stored label only; verify against the name/title before applying
events,3a6d047c-3af8-4ac5-92f7-3e0e6c5c5b32,Tech & Business Networking in Sydney,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,3c97b3cf-5615-40a8-b882-9ec3e10aed65,"Master the Art of Buying, Selling & Scaling Star",,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,3d391d91-c2b0-4f9e-8373-669a4e2de6e1,Startup Pitch & Networking Sydney,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,4372142c-27a6-4af0-a139-280f7c0c2354,"AI For Senior Leaders: Future, Impact & Opportun",technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,46327a8e-8dd5-4f34-beba-fac8a152d7bf,Networking Event and AI for Businesses Workshop,technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,472d7ed2-3633-43f0-b11d-edd3bdf0aa1c,Free Startup Fundraising Video Office Hours Q&A ,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,4804a3cb-cfe1-4f10-b3cb-79c63c54be7e,BGN Bundoora – Melbourne's Business Networking &,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,48ce632c-7751-47e3-be97-bcc68b10b4cc,How Local Businesses Win Customers with ChatGPT ,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,50e2542d-c4e5-41b4-8caf-db2a0e9492c3,Impact Pitch Night,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,517023e2-cf59-44df-a052-e218538c7c13,Australian Digital Dollar Grant Showcase,financial-services|technology-information-and-media,false,tag,stored_label,FinTech (vocabulary: fintech) — derived from the stored label only; verify against the name/title before applying
events,53102c37-05cf-45c0-b1d3-a6f198a6e341,AUNZ Roadshow with Barbara Cox-Lovesy / Melbourn,professional-services,false,tag,stored_label,Professional Services (vocabulary: professional services) — derived from the stored label only; verify against the name/
events,58672850-8fb9-45f1-9958-4edc69f7373a,Founders Pitch & Networking Night in Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,587be116-6c51-4a86-a1df-8a592c967fd4,Startups Demos & Networking Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,5b5a5eec-96b1-473e-a524-e0510377d376,From IT Leader to AI Practitioner: The Upskillin,technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,5f4b8064-ed36-441b-adf7-9ed18055f0ac,StartupHaus Melbourne · July 2026: Where Founder,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,609a982b-56d8-45a1-8eab-f0c73d729589,Startups Demos & Networking in Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,61310b3d-7d3b-4518-a04f-9230659ffeb9,"Go From Idea to Working App with AI, Featuring A",,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,625cacc0-a06d-4dab-b92d-9b60a1b5692b,EOFY TBG Converge - Business Owners Networking,professional-services,false,tag,stored_label,Professional Services (vocabulary: professional services) — derived from the stored label only; verify against the name/
events,64294455-793e-49d9-9530-5402e1c1da45,AI-Powered Business Growth. Stop Playing With AI,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,66a5485c-08a0-4275-b7d9-c3ba3bc4168e,"Startup Networking Melbourne: Founders, Investor",,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,677acec6-0f8d-4d7a-a8ff-f1412e73bcc6,Startup Pitch & Networking Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,69bd17da-1507-484a-be42-d7d73eeafc51,"Startup Networking Sydney: Founders, Investors &",,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,6aa7254b-2ea5-40e0-a2e5-02a0f073ef41,Startups Demos & Networking Sydney,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,6d369364-7bb8-4d1a-beb0-2957cbb5dc6e,BGN Caulfield – Melbourne's Business Networking ,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,7025395d-eab1-49d4-a0b9-ba59a2d06e34,Entrepreneur Exclusive Power Hour w/Global Busin,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,70d157c6-2cc2-4b0c-b574-ed25db7283eb,National AI & Cybersecurity Leadership Summit 20,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,74074eea-38b6-4866-9408-083b58de87e3,Entrepreneurs Meetup by We Founders Collab Sydne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,7629dcd3-dc5c-4642-8fde-3b5a9dee4774,Impact Pitch Night,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,7716e2c7-9c50-4021-ba34-defaffc6e663,"Leading a Future Workforce. Human Adaptability, ",technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,7a95e785-99b2-4ae9-8ffc-03745a2a6fa6,Manufacturing Growth Workshop,manufacturing,false,tag,stored_label,Manufacturing (vocabulary: manufacturing) — derived from the stored label only; verify against the name/title before app
events,7bcebf4f-f840-42fb-b226-52aa68fb0dde,Women's Circle: Cancer Moon,professional-services,false,tag,stored_label,Professional Services (vocabulary: professional services) — derived from the stored label only; verify against the name/
events,7c31b20c-84a4-422c-8756-dde2c262617a,Free Startup Fundraising Office Hours Expert AMA,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,7d545f5b-7c33-4b3c-a7b8-eeeffeaf0b91,BNI Eltham Networking Event,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,7f56c78a-1f93-4445-b4db-df6bb88ea4d8,Free Startup Fundraising Office Hours Expert AMA,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,8068b1f4-1c10-4ae9-bd41-1f63bdc73140,Find a Cofounder / Help or Join a Tech Startup,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,81ab286c-05fb-45e5-b75f-6f3d77cea34c,Tech & Business Networking in Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,8811982b-7c60-410a-913d-ce3c59287ea5,BNI Business Awards,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,89b1524c-4f70-4573-ba5e-04a42ad83419,How to Think Like a Founder and Take Action,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,8ba35c1f-cd1c-412c-8930-698f46e93f90,The AI-Native Founder Revolution: Build Your Com,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,8e1f89b7-19a1-4717-a80a-5b85da7059cb,Masterclass for Executives: Agentic AI in Regula,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,95e3ef58-c916-4185-b4fa-c328584f8fd9,AI & Tech Networking Event in Sydney by Ascent V,technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,97637738-60b9-44d2-ba02-216467d8fa4a,"Master the Art of Buying, Selling & Scaling Star",,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,99800416-5ce1-4f0a-9bb0-b255e0c99be2,Startup Networking & Fireside Chat w/ Kunal Kalr,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,9e526ca7-087f-44db-a45b-9a500c504ef2,CBCC Public Speaking & Business Pitch Event,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,a1aef113-feff-4d7e-8680-9c893f865bed,Investor Connect: Pitch & Deal Flow Night / Melb,,true,leave-location-gated,operator_review,founder/general-business audience — agnostic (not an industry event)
events,a35815a2-a624-46a5-bc17-8966e3f981de,Startup Pitch Event Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,a84210aa-3e9c-4807-ae8f-14a8d8e8c7ff,AI & Tech Networking Event in Melbourne by Ascen,technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,a9c7cfa2-b234-49ed-a87e-8f95eb8c63b1,Prompt to Profit — Learn Generative AI for Busin,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,a9d746a8-ab7a-4bf5-bffc-2265dffdd951,Startup Pitch & Themed Networking Melbourne / Un,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,aac93e6e-f821-47ee-b7cd-dd2f705a74b3,Velocity AI Summit: Raising Capital & Automating,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai); Technology (vocabulary: technology) — derived from the stored label only; verify against the
events,ac777f0e-d24d-4d5d-b197-0b79295517f0,BGN Jells Park – Melbourne's Premier Business Ne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,ad31153c-7a82-461d-9b93-06f253b89cb1,Executive to Entrepreneur: Business Masterclass ,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,ae01e49b-108b-4761-9bf6-9a34f1484e87,AI Implementation in Business / Sydney,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,af1073c5-3144-449c-be02-804a63e0e55f,CBD Business Owners Network – Connect & Grow,professional-services,false,tag,stored_label,Professional Services (vocabulary: professional services) — derived from the stored label only; verify against the name/
events,b0db0ea3-891c-4c87-87c5-7f62d61fd795,AI Foundations for Founders: Architecting Your D,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,b16da01f-984b-4f4c-8028-e98cf6691b79,"Business Networking In-Person Event - Connect, E",professional-services,false,tag,stored_label,Professional Services (vocabulary: professional services) — derived from the stored label only; verify against the name/
events,b5485ae2-4087-4355-9844-77639552fd4d,"AI Tech Founders, Investors & Pitch Night by Ast",technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,ba60f440-e141-4ea6-9612-cca7e53fc02d,Trade & Supply Chain Connect (NSW),transportation-logistics-supply-chain-and-storage,false,tag,stored_label,Logistics (vocabulary: transport) — derived from the stored label only; verify against the name/title before applying
events,bb3dc0fd-4fb8-4a08-b98e-00effacc23fd,Venture Trailblazers featuring Tim Draper,,true,leave-location-gated,operator_review,founder/general-business audience — agnostic (not an industry event)
events,bed15654-3d17-4d6c-9a52-4327341b1e52,Venture & Capital 2026 – Private Market Investme,financial-services,false,tag,stored_label,Venture Capital (capital markets group sits under Financial Services) — derived from the stored label only; verify again
events,c02bd2f7-af37-4984-b0bc-0e19f128fc0f,Sydney Tech Mixer and Social (Tech / AI / Data /,technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,c63641a6-bcef-434d-acc4-0db2e70ecfb0,Startups & Investors Pitch Night Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,c986fc06-88da-4ed5-952a-29e8068bc6af,Harnessing AI for Marketing Innovation / Sydney,,true,leave-location-gated,operator_review,founder/general-business audience — agnostic (not an industry event)
events,cbe36f5a-c96f-47aa-b1fb-cc981892c524,Founders Pitch & Networking Night Sydney,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,cf7bafd0-0263-4816-adf1-303c0ef35782,Find a Cofounder / Help or Join a Tech Startup,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,d14507dd-6f35-4e9a-996d-11a3c712dcec,Startup Networking⚡Fireside Chat w/ Prosper Taru,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,d6d10547-8b4f-4527-a89e-637970b61183,NSW FBC Business Networking Event,professional-services,false,tag,stored_label,Professional Services (vocabulary: professional services) — derived from the stored label only; verify against the name/
events,d8794c33-5f42-4a2e-b8ac-977e8a4931ef,Practical Claude AI for Finance Professionals,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,e11f6964-505d-4f16-93db-51b3734b49d4,MBA Pitch Exchange Business Networking Night,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,e164a48e-26ed-4153-a266-3865d012afb3,Friday Melbourne CBD Casual Business Networking ,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,e1c65a00-42ae-410f-ae69-d8f90189a6f2,Startups Demos & Networking Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,e2448e43-449c-4918-bdc9-52545c50585a,Investor Connect: Pitch & Deal Flow Night / Melb,,true,leave-location-gated,operator_review,founder/general-business audience — agnostic (not an industry event)
events,e25aa25d-a5db-4825-a17d-79f63ba8c1cf,Startups Demos & Networking in Sydney,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,e5597720-b2c4-4449-a057-71bb7ce12205,Dinner with Entrepreneurs: Melbourne / Giving Ba,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,e600ace8-a621-4bd5-8ff8-442a410acb47,Global Startup Networking Sydney Australia 2026,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,e68b037f-acc8-4bb3-b591-4cd1d7530d8a,TechHaus Sydney · June 2026: Where Leading AI & ,technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,e76d5d10-7577-4f55-9a7b-ab36417b51a7,Build Your Startup Pitch & Raise Angel Funds,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,e8697349-2af4-4a81-b116-92a5a2709f6d,Raise Ready / Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,ebe80a24-dc97-490d-8d1c-8d86ddebf398,ProfitTime Growth Accelerator / Build The Plan T,professional-services,false,tag,stored_label,Professional Services (vocabulary: professional services) — derived from the stored label only; verify against the name/
events,ee382dd6-0bad-43bb-b50f-1d46bdcadab1,Startup Pitch & Networking Melbourne,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,f3335a0d-476d-40bf-acdb-7adb32240c0e,Founders Table: Elevator Pitch Mastermind,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,f4a4652b-9695-45b6-a354-9f2f68947323,DISRUPT AI COMMUNITY CONNECT,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,f76cef33-f45d-4e4d-8e2d-8c7b74b527ac,The Future of Product Management & UX/UI Design ,technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,f8492c29-eec4-4f8b-92d8-3009147be8a2,LaunchPad Lift Off Pitch Night,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,fdbe3273-9209-4ffb-9420-2eb9165b06b6,AI Agents for Business Professionals / Melbourne,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,fe18b708-5c28-42a5-ab14-2c3dbd4c5c7e,AI Tech & Startup Night — Sydney,technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,ffcadfb9-4738-4d7f-80de-6e4b6d944728,Business Growth Lunch,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
innovation_ecosystem,08e9b69a-abf3-4065-ba31-819350cf4924,Western Sydney Start up Hub,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,134aaa02-792e-4464-abbd-be5c518f83a1,Curago Coworking,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,188bfdb3-14e1-44ea-b1d9-49d6fc6bf424,Launch Lab / Outset Ventures,technology-information-and-media|professional-services|manufacturing,false,tag,stored_label,Deep Tech (vocabulary: deep tech) — derived from the stored label only; verify against the name/title before applying
innovation_ecosystem,1a118575-435f-4876-8c3d-f19bc909706f,StartSpace (State Library Victoria),,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,1ac27f4d-e2ea-48c0-a04b-98305c1b5f96,Mill House Social Enterprise Accelerator,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,1b998fc2-4ce0-404c-8f46-48dbe584f4be,Aeona,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,3276af0f-4174-402e-a931-b1d82b644a81,Founders Climate 10x,utilities|manufacturing|professional-services,false,tag,stored_label,CleanTech (vocabulary: cleantech) — derived from the stored label only; verify against the name/title before applying
innovation_ecosystem,3d2a02ca-a9c4-4bf3-8289-cab56b09cda4,Commons - Surry Hills,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,44ec2a34-c432-4200-904d-f9dbbd5f9dfb,Works By Scentre Group,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,5413c39a-b921-4635-aa13-ccbd2391eeba,cirque South Brisbane,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,5810ade5-ae0d-43a3-8982-4100fedd642e,CreativeCubes.Co,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,5b1f62ca-b39c-4715-aa67-71671ac7e22a,Australian Clinical Entrepreneur Program,hospitals-and-health-care,false,tag,stored_label,Healthcare (alias: healthcare) — derived from the stored label only; verify against the name/title before applying
innovation_ecosystem,5fc93ee5-69a4-4733-b21a-bc8b55553aab,New Wave,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,62a5d233-cca5-40f3-9e0c-82301bbed3fc,UTS Startups,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,66545b8a-e626-4e1d-92c7-07f0caec46ff,Ocean Impact Organisation,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,69b5776b-51ed-456c-940b-5ba77abbb31e,WorkLife,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,7abf5c61-c3ce-4d26-8959-d6fd8c85f3bf,Tank Stream Labs,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,800576bf-d691-4158-8df3-78d636e3d7f3,Farmers2Founders,farming-ranching-forestry|technology-information-and-media,false,tag,stored_label,AgTech (vocabulary: agritech) — derived from the stored label only; verify against the name/title before applying
innovation_ecosystem,80e28efc-1e44-4e5b-83fa-c6a39b1fb1b7,"The Hub, Bentley Tech Park, powered by S",,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,81a3dcb2-b8cb-4eff-a72c-5d39338d61d5,The Precinct,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,9c85c47a-1169-48fd-8ec1-f0e474044168,Greenhouse,utilities,false,tag,web_verified,Greenhouse — dedicated climate-tech hub (generator agnostic default corrected)
innovation_ecosystem,b0573410-db1a-4b74-aa58-d8396436fff4,Boab,technology-information-and-media,false,tag,stored_label,AI (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
innovation_ecosystem,b3f864db-8648-4b6d-b383-6dc052f22899,Anyone Can,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,b613bd2e-0096-4b71-aa99-5df35ea5aedb,Founders Bio 10x,hospitals-and-health-care|manufacturing,false,tag,stored_label,Biotechnology (alias: biotech) — derived from the stored label only; verify against the name/title before applying
innovation_ecosystem,c070fe03-7b67-43d9-b7ec-60c2938f4e40,CICALab,hospitals-and-health-care,false,tag,web_verified,CICALab — clinician-founder health incubator (corrected)
innovation_ecosystem,c1ab9efe-105b-4332-908e-76c01df2f800,Grid Auckland / John Lysaght Coworking,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,c32cc3da-107f-422c-ad6e-35650f2e74ad,WOTSO,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,ca3b0fb6-e1dd-49e0-b141-5e32a9ff080d,Urban Collective,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
innovation_ecosystem,cd9c566f-67e0-4840-986f-37a9ba6c0e8a,WeWork,,true,leave-location-gated,stored_label,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertic
