decision_bucket,your_decision (import/drop/edit),your_notes,recommendation,target_table,name,sova_category,sova_type,state,proposed_type_or_investor_type,proposed_website,description,validation_flags
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,Croc Pitch,Funding,Competition,NT,grant,https://crocpitch.com.au/,"Northern Australia's largest startup pitch competition, run by the Darwin Innovation Hub. Winner receives up to $1M in Paspalis venture capital. Annual event each September.","competition mapped to investor_type=grant — prize money, review fit"
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,InnovationAus Awards for Excellence,Funding,Competition,National,grant,https://www.innovationaus.com/awards/,"National awards recognising Australian technology innovation across 20+ categories including startups, cleantech, medtech, and AI.","national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit"
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,LIFTWOMEN,Funding,Competition,National,grant,https://www.liftwomen.com/,Grant program for women entrepreneurs. $40K in grants annually plus crowdfunding campaign support.,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit"
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,One Roof Unstoppable Founder Competition,Funding,Competition,National,grant,https://www.oneroof.com.au/,"Annual pitch competition spotlighting women founders. Winners receive cash, coaching, and community access from One Roof's network.","national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit"
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,Smart50 Awards,Funding,Competition,National,grant,https://smart50awards.com.au/,SmartCompany's annual awards for Australia's fastest-growing SMEs. Categories include innovation and emerging entrepreneur.,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit"
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,Startup World Cup - Australia,Funding,Competition,National,grant,https://www.startupandangels.com/startup-world-cup-australia/,Regional qualifiers feeding into the US$1M global pitch final in San Francisco. Australian rounds in Melbourne and Sydney.,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit"
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,TiE Women Global Pitch Competition,Funding,Competition,National,grant,https://tieglobal.org/,Global pitch competition for women founders. USD $50K grand prize with regional finals feeding global final.,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit"
C_tools_media,,,REFINE services tag or keep,service_providers,Appomate,Advice,Expert,National,Advisory,https://www.appomate.com.au/,"App development agency specialising in mobile apps, UI/UX design, and MVP builds for startups and enterprises. Offices in Melbourne and Sydney.",national org — no matching locations row | generic 'Advisory' services tag — refine in review
C_tools_media,,,TOOL/DIRECTORY — decide: keep or drop,service_providers,Australian Startup VC Directory,Advice,Tool,National,Advisory,https://getsova.com.au/directory.html,"Curated database of 150 venture capital firms active in Australia and New Zealand, with details on cheque size, sector focus, investment stage, and how to apply.",Advice/Tool — may not belong in a directory at all | no canonical website — Source URL points back to the Sova directory | national org — no matching locations row | generic 'Advisory' services tag — refine in review
C_tools_media,,,TOOL/DIRECTORY — decide: keep or drop,service_providers,Business Victoria Grants Finder,Advice,Tool,VIC,Advisory,https://business.vic.gov.au/grants-and-programs/,"Find and apply for Victorian Government grants, funding and financial assistance for businesses, including eligibility criteria and application dates.",Advice/Tool — may not belong in a directory at all | generic 'Advisory' services tag — refine in review
C_tools_media,,,MEDIA outlet — decide: keep or drop,service_providers,Equity Mates Media,Advice,Expert,National,Media & Content,https://equitymates.com/,Financial media company making investing accessible for young Australians. Podcasts include Equity Mates Investing and Get Started Investing.,national org — no matching locations row | sector inferred from description (Sova Industries was blank) | startup media outlet — review directory fit
C_tools_media,,,MEDIA outlet — decide: keep or drop,service_providers,Foundr,Advice,Expert,National,Media & Content,https://foundr.com/,"Melbourne-founded global media and education company for entrepreneurs. Magazine, podcasts, and courses from founders like Richard Branson interviews to startup playbooks.",national org — no matching locations row | sector inferred from description (Sova Industries was blank) | startup media outlet — review directory fit
C_tools_media,,,TOOL/DIRECTORY — decide: keep or drop,service_providers,NSW Grants and Funding Finder,Advice,Tool,NSW,Advisory,https://www.nsw.gov.au/grants-and-funding,"NSW Government's searchable directory of grants, rebates, and funding programs for businesses and individuals.",Advice/Tool — may not belong in a directory at all | generic 'Advisory' services tag — refine in review
C_tools_media,,,TOOL/DIRECTORY — decide: keep or drop,service_providers,NSW Innovation Ecosystem Navigator,Advice,Tool,NSW,Advisory,https://nswinnovation.notion.site/innovationecosystem-navigator,"Interactive directory mapping NSW's innovation ecosystem: accelerators, investors, hubs, and support programs.",Advice/Tool — may not belong in a directory at all | generic 'Advisory' services tag — refine in review
C_tools_media,,,MEDIA outlet — decide: keep or drop,service_providers,Overnight Success,Advice,Expert,National,Media & Content,https://www.overnightsuccess.vc/,Startup media and podcast platform sharing Australian founder stories and practical startup lessons.,national org — no matching locations row | sector inferred from description (Sova Industries was blank) | startup media outlet — review directory fit
C_tools_media,,,TOOL/DIRECTORY — decide: keep or drop,service_providers,Pitchberry,Advice,Tool,National,Advisory,https://pitchberry.ai/,Platform connecting startups with investors through structured pitch materials and warm introductions.,Advice/Tool — may not belong in a directory at all | national org — no matching locations row | generic 'Advisory' services tag — refine in review
C_tools_media,,,TOOL/DIRECTORY — decide: keep or drop,service_providers,Queensland Government Grants Finder,Advice,Tool,QLD,Advisory,https://www.business.qld.gov.au/,"Searchable directory of Queensland Government grants and programs for business, community, and individuals.",Advice/Tool — may not belong in a directory at all | generic 'Advisory' services tag — refine in review
C_tools_media,,,REFINE services tag or keep,service_providers,RSL DefenceCare,Advice,Expert,National,Advisory,https://www.rsldefencecare.org.au/,Supports veterans and families including employment and small business transition assistance.,national org — no matching locations row | generic 'Advisory' services tag — refine in review
C_tools_media,,,TOOL/DIRECTORY — decide: keep or drop,service_providers,Service Tasmania Business Grants Finder,Advice,Tool,TAS,Advisory,https://www.service.tas.gov.au/,Tasmanian Government's directory of grants and support programs for Tasmanian businesses.,Advice/Tool — may not belong in a directory at all | no Tasmania row in locations table | generic 'Advisory' services tag — refine in review
C_tools_media,,,DROP — Sova directory itself (self-referential),service_providers,Sova,Advice,Tool,National,Advisory,https://getsova.com.au/,"This directory. Curated database of 470+ Australian founder programs, funding sources, and startup resources, updated regularly.",Advice/Tool — may not belong in a directory at all | no canonical website — Source URL points back to the Sova directory | national org — no matching locations row | generic 'Advisory' services tag — refine in review
C_tools_media,,,REFINE services tag or keep,service_providers,Spruson & Ferguson,Advice,Expert,National,Advisory,https://www.spruson.com/,"Leading IP firm across Asia-Pacific. Patents, trademarks, and IP strategy for startups through to multinationals.",national org — no matching locations row | generic 'Advisory' services tag — refine in review
C_tools_media,,,MEDIA outlet — decide: keep or drop,service_providers,Startup Daily,Advice,Expert,National,Media & Content,https://www.startupdaily.net/,"Australia's leading startup news publication covering funding rounds, ecosystem news, and founder stories daily.",national org — no matching locations row | sector inferred from description (Sova Industries was blank) | startup media outlet — review directory fit
C_tools_media,,,TOOL/DIRECTORY — decide: keep or drop,service_providers,Startup Muster,Advice,Tool,National,Advisory,https://www.startupmuster.com/,"Australia's largest startup ecosystem survey providing annual data on founders, funding, and challenges.",Advice/Tool — may not belong in a directory at all | national org — no matching locations row | generic 'Advisory' services tag — refine in review
C_tools_media,,,MEDIA outlet — decide: keep or drop,service_providers,Startup News,Advice,Expert,WA,Media & Content,https://startupnews.com.au/,"WA's startup ecosystem publication covering Perth startup news, events, and founder profiles.",sector inferred from description (Sova Industries was blank) | startup media outlet — review directory fit
C_tools_media,,,REFINE services tag or keep,service_providers,The Ethics Centre,Advice,Expert,National,Advisory,https://ethics.org.au/,Not-for-profit promoting ethical decision-making in business including ethics advisory for startups and leaders.,national org — no matching locations row | generic 'Advisory' services tag — refine in review
C_tools_media,,,REFINE services tag or keep,service_providers,The Growth Drivers,Advice,Expert,National,Advisory,https://tgd.global/,Growth advisory and content platform for scaling Australian businesses.,national org — no matching locations row | generic 'Advisory' services tag — refine in review
D_possible_duplicate,,,DROP — dupe of existing LUNA Startup Studio,service_providers,Luna Legal,Advice,Expert,National,Legal Services,https://lunalegal.com.au/,"Boutique law firm for startups and scaleups. Capital raising, ESOPs, and commercial contracts with fixed-fee options.",national org — no matching locations row | likely duplicate of existing MES 'LUNA Startup Studio' (weareluna.co) — verify before import
