Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Notion page URL,proposed_name,proposed_slug,proposed_description,proposed_website,proposed_location,proposed_location_id,proposed_sector_tags,proposed_sector_agnostic,proposed_investor_type,proposed_country,confidence,validation_flags,proposed_action,source
LiftWomen,Funding,Grant,National,"AU$5,000",Rolling (grant rounds annual),Open / Rolling,Tech,Women,"Crowdfunding platform for women-led ventures with annual grant rounds. AU$5,000 grants plus campaign support for female founders.",https://www.liftwomen.com/,https://app.notion.com/p/LiftWomen-3985de22266781b88d23edb9630607d9,LiftWomen,liftwomen-2,"Crowdfunding platform for women-led ventures with annual grant rounds. AU$5,000 grants plus campaign support for female founders.",https://www.liftwomen.com/,Australia,,technology-information-and-media,false,grant,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Medical Research Future Fund (MRFF),Funding,Grant,National,Varies,Rolling,Open / Rolling,HealthTech,,$22B federal fund supporting health and medical research commercialisation. Grant opportunities across research translation and medtech.,https://www.health.gov.au/our-work/mrff,https://app.notion.com/p/Medical-Research-Future-Fund-MRFF-3985de22266781d3b800e4a9a15e6f4c,Medical Research Future Fund (MRFF),medical-research-future-fund-mrff,$22B federal fund supporting health and medical research commercialisation. Grant opportunities across research translation and medtech.,https://www.health.gov.au/our-work/mrff,Australia,,hospitals-and-health-care; technology-information-and-media,false,grant,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
NSW Agriculture Innovation and Growth Program,Funding,Grant,NSW,Varies,Closed (last round closed 23 Jan 2026),Scheduled / Dated,AgTech,,"NSW Government funding for agricultural innovation, agtech adoption, and farm productivity improvements.",https://www.nsw.gov.au/,https://app.notion.com/p/NSW-Agriculture-Innovation-and-Growth-Program-3985de22266781ad930bca26bfc80f71,NSW Agriculture Innovation and Growth Program,nsw-agriculture-innovation-and-growth-program,"NSW Government funding for agricultural innovation, agtech adoption, and farm productivity improvements.",https://www.nsw.gov.au/,"Sydney, NSW",862f8ee1-db85-420d-a6bd-fab368f5ab22,farming-ranching-forestry; technology-information-and-media,false,grant,Australia,high,,import,sova_directory_2026-07
NSW Clean Technology Innovation Grants,Funding,Grant,NSW,Varies,Open - closes 8 Sep 2026,Open / Rolling,CleanTech,,NSW Government grants supporting clean technology R&D and commercialisation to reduce emissions.,https://www.nsw.gov.au/,https://app.notion.com/p/NSW-Clean-Technology-Innovation-Grants-3985de2226678144bc6fca4b60eb2a79,NSW Clean Technology Innovation Grants,nsw-clean-technology-innovation-grants,NSW Government grants supporting clean technology R&D and commercialisation to reduce emissions.,https://www.nsw.gov.au/,"Sydney, NSW",862f8ee1-db85-420d-a6bd-fab368f5ab22,utilities; manufacturing; professional-services,false,grant,Australia,high,,import,sova_directory_2026-07
NSW MVP Ventures Program,Funding,Grant,NSW,"25,000 - 75,000",Round 3 closed 10 Apr 2026; check for Round 4 opening,Inactive,Tech; AgTech; HealthTech; CleanTech,Women; Regional; Indigenous,"Matched grants $25K-$75K for NSW startups commercialising minimum viable products. Priority for women, regional, and Indigenous founders.",https://www.nsw.gov.au/business-and-economy/innovation/grants-and-programs/mvp-ventures-program,https://app.notion.com/p/NSW-MVP-Ventures-Program-3985de222667815ca09bfd894b7a7f28,NSW MVP Ventures Program,nsw-mvp-ventures-program,"Matched grants $25K-$75K for NSW startups commercialising minimum viable products. Priority for women, regional, and Indigenous founders.",https://www.nsw.gov.au/business-and-economy/innovation/grants-and-programs/mvp-ventures-program,"Sydney, NSW",862f8ee1-db85-420d-a6bd-fab368f5ab22,technology-information-and-media; farming-ranching-forestry; hospitals-and-health-care; utilities; manufacturing; professional-services,false,grant,Australia,high,,import,sova_directory_2026-07
NT Business Innovation Support,Funding,Grant,NT,,,Unspecified,,,NT Government innovation support including vouchers and advisory for Territory businesses developing new products.,https://business.nt.gov.au/,https://app.notion.com/p/NT-Business-Innovation-Support-3985de22266781dd9c25f77cfa7d4649,NT Business Innovation Support,nt-business-innovation-support,NT Government innovation support including vouchers and advisory for Territory businesses developing new products.,https://business.nt.gov.au/,"Darwin, NT",30b2ae5d-6320-4c9a-abc9-6a2f52021332,,true,grant,Australia,high,,import,sova_directory_2026-07
OnMarket,Funding,Investor,National,"50,000 - 5 million",Apply anytime,Open / Rolling,Tech,,Equity crowdfunding and IPO platform. Retail investors access early-stage deals from $50 minimum investment.,https://www.onmarket.com.au/,https://app.notion.com/p/OnMarket-3985de22266781bcb5e0f9f4a3c7196d,OnMarket,onmarket,Equity crowdfunding and IPO platform. Retail investors access early-stage deals from $50 minimum investment.,https://www.onmarket.com.au/,Australia,,technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Pacific Channel,Funding,Investor,National,"1,000,000 - 10,000,000",,Unspecified,DeepTech; HealthTech; CleanTech,,"NZ-based deep tech VC investing NZ$1m–$10m in science-backed ventures: health, climate, and advanced materials. Active across Australasia.",https://www.pacificchannel.com/,https://app.notion.com/p/Pacific-Channel-3985de22266781049885d8b57ad6118d,Pacific Channel,pacific-channel,"NZ-based deep tech VC investing NZ$1m–$10m in science-backed ventures: health, climate, and advanced materials. Active across Australasia.",https://www.pacificchannel.com/,Australia,,technology-information-and-media; professional-services; manufacturing; hospitals-and-health-care; utilities,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Pozible,Funding,Investor,National,"1,000 - 500,000",Apply anytime,Open / Rolling,Tech,,Australian crowdfunding platform for creative projects and community ventures. Rewards-based campaigns.,https://www.pozible.com/,https://app.notion.com/p/Pozible-3985de222667813abeddf691c7f0b94a,Pozible,pozible,Australian crowdfunding platform for creative projects and community ventures. Rewards-based campaigns.,https://www.pozible.com/,Australia,,technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Queensland Accelerating Female Founders Program,Funding,Grant,QLD,"50,000 - 200,000",Open,Open / Rolling,,Women,Queensland Government grants $50K-$200K for women-led startups plus capability programs. Part of Advance Queensland.,https://www.business.qld.gov.au/,https://app.notion.com/p/Queensland-Accelerating-Female-Founders-Program-3985de2226678175a385f379c9d98a5e,Queensland Accelerating Female Founders Program,queensland-accelerating-female-founders-program,Queensland Government grants $50K-$200K for women-led startups plus capability programs. Part of Advance Queensland.,https://www.business.qld.gov.au/,"Brisbane, QLD",ec57c034-85c3-48f0-b4c3-8a983a66151e,,true,grant,Australia,high,,import,sova_directory_2026-07
Queensland Female Founders Co-Investment Fund,Funding,Grant,QLD,"50,000 - 200,000",Open until allocated,Open / Rolling,,Women,Co-investment matching private investment $50K-$200K into Queensland women-founded startups.,https://www.business.qld.gov.au/,https://app.notion.com/p/Queensland-Female-Founders-Co-Investment-Fund-3985de22266781ad81a3cdbda926385d,Queensland Female Founders Co-Investment Fund,queensland-female-founders-co-investment-fund,Co-investment matching private investment $50K-$200K into Queensland women-founded startups.,https://www.business.qld.gov.au/,"Brisbane, QLD",ec57c034-85c3-48f0-b4c3-8a983a66151e,,true,grant,Australia,high,,import,sova_directory_2026-07
REACH Australia and New Zealand,Funding,Investor,QLD,,,Unspecified,Tech,,Global proptech growth program (Second Century Ventures / NAR) supporting real estate technology companies scaling in ANZ.,https://www.reach.vc/,https://app.notion.com/p/REACH-Australia-and-New-Zealand-3985de2226678144a2fbd01d9f562d2a,REACH Australia and New Zealand,reach-australia-and-new-zealand,Global proptech growth program (Second Century Ventures / NAR) supporting real estate technology companies scaling in ANZ.,https://www.reach.vc/,"Brisbane, QLD",ec57c034-85c3-48f0-b4c3-8a983a66151e,technology-information-and-media,false,vc,Australia,high,,import,sova_directory_2026-07
ScotPac,Funding,Investor,National,,Apply anytime,Open / Rolling,FinTech,,"SME lender providing invoice finance, trade finance, and asset finance. Australia's largest non-bank SME lender.",https://www.scotpac.com.au/,https://app.notion.com/p/ScotPac-3985de22266781a0bfb1c70773d015c3,ScotPac,scotpac,"SME lender providing invoice finance, trade finance, and asset finance. Australia's largest non-bank SME lender.",https://www.scotpac.com.au/,Australia,,financial-services; technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Startup & Angels,Funding,Investor,National,,,Unspecified,Tech,,Networking event series connecting startups and angel investors across Australia and Asia-Pacific.,https://www.startupandangels.com/,https://app.notion.com/p/Startup-Angels-3985de2226678153bec5f6dcc19f1928,Startup & Angels,startup-angels,Networking event series connecting startups and angel investors across Australia and Asia-Pacific.,https://www.startupandangels.com/,Australia,,technology-information-and-media,false,angel,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Tasmania Business Growth Loan Scheme,Funding,Grant,TAS,"100,000 - 5 million",Open until Dec 2026,Open / Rolling,,,Tasmanian Government low-interest loans $100K-$5M for business growth projects creating Tasmanian jobs.,https://www.business.tas.gov.au/,https://app.notion.com/p/Tasmania-Business-Growth-Loan-Scheme-3985de2226678159bae5cfc25d48f4f3,Tasmania Business Growth Loan Scheme,tasmania-business-growth-loan-scheme,Tasmanian Government low-interest loans $100K-$5M for business growth projects creating Tasmanian jobs.,https://www.business.tas.gov.au/,"Hobart, TAS",,,true,grant,Australia,high,no Tasmania row in locations table,import,sova_directory_2026-07
Tasmania Business Growth Programs,Funding,Grant,TAS,,,Unspecified,,,"Suite of Tasmanian Government programs supporting business growth: advisory, digital capability, and market expansion.",https://www.business.tas.gov.au/,https://app.notion.com/p/Tasmania-Business-Growth-Programs-3985de22266781a09143ee495400fc16,Tasmania Business Growth Programs,tasmania-business-growth-programs,"Suite of Tasmanian Government programs supporting business growth: advisory, digital capability, and market expansion.",https://www.business.tas.gov.au/,"Hobart, TAS",,,true,grant,Australia,high,no Tasmania row in locations table,import,sova_directory_2026-07
Transition Level Investments,Funding,Investor,National,,Always open,Open / Rolling,Tech,,Private investor backing early-stage Australian technology companies. Patient capital approach.,https://www.transitionlevel.com/,https://app.notion.com/p/Transition-Level-Investments-3985de22266781578e47dc3f74c4891b,Transition Level Investments,transition-level-investments,Private investor backing early-stage Australian technology companies. Patient capital approach.,https://www.transitionlevel.com/,Australia,,technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Vitality APAC Climate-Tech Fund I,Funding,Investor,National,,,Unspecified,CleanTech,,Climate-focused fund with limited public information. Unverified entity — verify mandate and legitimacy before engaging.,https://www.vitalitycapitalpartners.com.au/,https://app.notion.com/p/Vitality-APAC-Climate-Tech-Fund-I-3985de22266781df88b5ecb823b7f044,Vitality APAC Climate-Tech Fund I,vitality-apac-climate-tech-fund-i,Climate-focused fund with limited public information. Unverified entity — verify mandate and legitimacy before engaging.,https://www.vitalitycapitalpartners.com.au/,Australia,,utilities; manufacturing; professional-services,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Wedgetail,Funding,Investor,National,,Always open,Open / Rolling,CleanTech,,Nature-focused VC investing in biodiversity and natural capital ventures. Backs founders protecting and restoring nature.,https://www.wedgetail.vc/,https://app.notion.com/p/Wedgetail-3985de22266781be8ecae8d92bb65f10,Wedgetail,wedgetail,Nature-focused VC investing in biodiversity and natural capital ventures. Backs founders protecting and restoring nature.,https://www.wedgetail.vc/,Australia,,utilities; manufacturing; professional-services,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Westpac Businesses of Tomorrow,Funding,Grant,National,"50,000 + mentoring",2026 dates TBA,Scheduled / Dated,,Women,"Westpac's program recognising promising Australian businesses with grants, mentoring, and promotion.",https://www.westpac.com.au/business-banking/,https://app.notion.com/p/Westpac-Businesses-of-Tomorrow-3985de22266781838713e32a41531db7,Westpac Businesses of Tomorrow,westpac-businesses-of-tomorrow,"Westpac's program recognising promising Australian businesses with grants, mentoring, and promotion.",https://www.westpac.com.au/business-banking/,Australia,,,true,grant,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
AWS Activate,Funding,Corporate,National,"Up to 100,000 credits",Apply anytime,Open / Rolling,Tech,,"Up to $100K AWS credits for startups backed by accelerators or VCs. Cloud infrastructure, technical support.",https://aws.amazon.com/activate/,https://app.notion.com/p/AWS-Activate-3985de22266781c1beb6e690cd82e124,AWS Activate,aws-activate,"Up to $100K AWS credits for startups backed by accelerators or VCs. Cloud infrastructure, technical support.",https://aws.amazon.com/activate/,Australia,,technology-information-and-media,false,vc,Australia,medium,national org — no matching locations row | corporate investor mapped to vc (no cvc value exists),import,sova_directory_2026-07
Australian Business Awards (ABA100),Funding,Competition,National,Recognition award (no cash prize),July 2026,Scheduled / Dated,Tech,,"Categories include Business Innovation, Product Innovation, Start-Up of the Year, AI Innovation, Digital Innovation.",https://www.australianbusinessawards.com.au/,https://app.notion.com/p/Australian-Business-Awards-ABA100-3985de22266781bab026ca1081a69f3c,Australian Business Awards (ABA100),australian-business-awards-aba100,"Categories include Business Innovation, Product Innovation, Start-Up of the Year, AI Innovation, Digital Innovation.",https://www.australianbusinessawards.com.au/,Australia,,technology-information-and-media,false,grant,Australia,medium,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit",review,sova_directory_2026-07
Australian Technologies Competition,Funding,Competition,National,"100,000","Applications open Mar 2026, Finals Sep 2026",Scheduled / Dated,Tech,,"$100,000 investment package from Scalare Partners. Free entry for tech scale-ups across 12+ sectors. Launch event 10 Mar at Tank Stream Labs Sydney.",https://www.austechcomp.com/,https://app.notion.com/p/Australian-Technologies-Competition-3985de2226678148b221c714282a0914,Australian Technologies Competition,australian-technologies-competition,"$100,000 investment package from Scalare Partners. Free entry for tech scale-ups across 12+ sectors. Launch event 10 Mar at Tank Stream Labs Sydney.",https://www.austechcomp.com/,Australia,,technology-information-and-media,false,grant,Australia,medium,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit",review,sova_directory_2026-07
BHP Xplor,Funding,Corporate,National,"Up to US$500,000",Sep-Oct applications,Scheduled / Dated,DeepTech,,9-month accelerator for critical minerals exploration. Up to US$500K equity-free funding per company. 21 alumni companies since 2023.,https://www.bhp.com/what-we-do/xplor,https://app.notion.com/p/BHP-Xplor-3985de22266781a29afdc2ef4cbbccfb,BHP Xplor,bhp-xplor,9-month accelerator for critical minerals exploration. Up to US$500K equity-free funding per company. 21 alumni companies since 2023.,https://www.bhp.com/what-we-do/xplor,Australia,,technology-information-and-media; professional-services; manufacturing,false,vc,Australia,medium,national org — no matching locations row | corporate investor mapped to vc (no cvc value exists),import,sova_directory_2026-07
Cartier Women's Initiative,Funding,Competition,National,"USD $100,000",Closes 16 Jun 2026,Scheduled / Dated,,Women,"International award programme backing women-founded, for-profit businesses with social or environmental impact. Fellows receive USD $30,000 to $100,000 equity-free, plus mentoring, global visibility, and a year-long fellowship. Nine regional awards (including Oceania for Australian founders) plus a Science and Technology Pioneer Award. Requires annual revenue USD $50,000–$5 million, team of 5–250 (including contractors), and no more than USD $2 million dilutive funding raised. Science and Tech track excludes AI applications built on third-party models.",https://www.cartierwomensinitiative.com/,https://app.notion.com/p/Cartier-Women-s-Initiative-3985de2226678145a30bc4e9f5535718,Cartier Women's Initiative,cartier-women-s-initiative,"International award programme backing women-founded, for-profit businesses with social or environmental impact. Fellows receive USD $30,000 to $100,000 equity-free, plus mentoring, global visibility, and a year-long fellowship. Nine regional awards (including Oceania for Australian founders) plus a Science and Technology Pioneer Award. Requires annual revenue USD $50,000–$5 million, team of 5–250 (including contractors), and no more than USD $2 million dilutive funding raised. Science and Tech track excludes AI applications built on third-party models.",https://www.cartierwomensinitiative.com/,Australia,,,true,grant,Australia,medium,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit",review,sova_directory_2026-07
Croc Pitch,Funding,Competition,NT,Up to 1 million,September annually,Scheduled / Dated,Tech,,"Northern Australia's largest startup pitch competition, run by the Darwin Innovation Hub. Winner receives up to $1M in Paspalis venture capital. Annual event each September.",https://crocpitch.com.au/,https://app.notion.com/p/Croc-Pitch-3985de22266781f9817ef1efa83242aa,Croc Pitch,croc-pitch,"Northern Australia's largest startup pitch competition, run by the Darwin Innovation Hub. Winner receives up to $1M in Paspalis venture capital. Annual event each September.",https://crocpitch.com.au/,"Darwin, NT",30b2ae5d-6320-4c9a-abc9-6a2f52021332,technology-information-and-media,false,grant,Australia,medium,"competition mapped to investor_type=grant — prize money, review fit",review,sova_directory_2026-07
Google Cloud for Startups,Funding,Corporate,National,"Up to 200,000 credits",Apply anytime,Open / Rolling,Tech,,"Cloud credits up to US$200K (US$350K for AI startups) over 2 years, technical training, and startup support for eligible companies.",https://cloud.google.com/startup,https://app.notion.com/p/Google-Cloud-for-Startups-3985de222667819ba830d34ac09dee2a,Google Cloud for Startups,google-cloud-for-startups,"Cloud credits up to US$200K (US$350K for AI startups) over 2 years, technical training, and startup support for eligible companies.",https://cloud.google.com/startup,Australia,,technology-information-and-media,false,vc,Australia,medium,national org — no matching locations row | corporate investor mapped to vc (no cvc value exists),import,sova_directory_2026-07
HCF Catalyst,Funding,Corporate,National,"$50,000 initial investment (past cohorts)",Mar-Apr,Scheduled / Dated,HealthTech,,Australia's largest health insurer's accelerator for healthtech startups. Pilot opportunities with HCF's 1.9M members.,https://www.hcf.com.au/,https://app.notion.com/p/HCF-Catalyst-3985de2226678109a722c1cac0c0a564,HCF Catalyst,hcf-catalyst,Australia's largest health insurer's accelerator for healthtech startups. Pilot opportunities with HCF's 1.9M members.,https://www.hcf.com.au/,Australia,,hospitals-and-health-care; technology-information-and-media,false,vc,Australia,medium,national org — no matching locations row | corporate investor mapped to vc (no cvc value exists),import,sova_directory_2026-07
InnovationAus Awards for Excellence,Funding,Competition,National,Recognition award (no cash prize),2026 dates TBA,Scheduled / Dated,Tech; CleanTech; HealthTech,,"National awards recognising Australian technology innovation across 20+ categories including startups, cleantech, medtech, and AI.",https://www.innovationaus.com/awards/,https://app.notion.com/p/InnovationAus-Awards-for-Excellence-3985de22266781f2b878dc9911fd7a8f,InnovationAus Awards for Excellence,innovationaus-awards-for-excellence,"National awards recognising Australian technology innovation across 20+ categories including startups, cleantech, medtech, and AI.",https://www.innovationaus.com/awards/,Australia,,technology-information-and-media; utilities; manufacturing; professional-services; hospitals-and-health-care,false,grant,Australia,medium,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit",review,sova_directory_2026-07
LIFTWOMEN,Funding,Competition,National,40000,Annual (April),Scheduled / Dated,Tech,Women,Grant program for women entrepreneurs. $40K in grants annually plus crowdfunding campaign support.,https://www.liftwomen.com/,https://app.notion.com/p/LIFTWOMEN-3985de222667815a9374fca1b0f1df38,LIFTWOMEN,liftwomen,Grant program for women entrepreneurs. $40K in grants annually plus crowdfunding campaign support.,https://www.liftwomen.com/,Australia,,technology-information-and-media,false,grant,Australia,medium,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit",review,sova_directory_2026-07
One Roof Unstoppable Founder Competition,Funding,Competition,National,5000,Annual (March),Scheduled / Dated,,Women,"Annual pitch competition spotlighting women founders. Winners receive cash, coaching, and community access from One Roof's network.",https://www.oneroof.com.au/,https://app.notion.com/p/One-Roof-Unstoppable-Founder-Competition-3985de222667810496fada76c262f3a4,One Roof Unstoppable Founder Competition,one-roof-unstoppable-founder-competition,"Annual pitch competition spotlighting women founders. Winners receive cash, coaching, and community access from One Roof's network.",https://www.oneroof.com.au/,Australia,,,true,grant,Australia,medium,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit",review,sova_directory_2026-07
SXSW Sydney Pitch,Funding,Competition,NSW,,SXSW Sydney 2026 not proceeding; next edition TBC,Inactive,Tech,,DISCONTINUED. Startup pitch competition at SXSW Sydney. Ended with the event's cancellation.,https://sxswsydney.com/pitch,https://app.notion.com/p/SXSW-Sydney-Pitch-3985de22266781b3928dfe703cc81312,SXSW Sydney Pitch,sxsw-sydney-pitch,DISCONTINUED. Startup pitch competition at SXSW Sydney. Ended with the event's cancellation.,https://sxswsydney.com/pitch,"Sydney, NSW",862f8ee1-db85-420d-a6bd-fab368f5ab22,technology-information-and-media,false,grant,Australia,medium,"competition mapped to investor_type=grant — prize money, review fit",review,sova_directory_2026-07
Smart50 Awards,Funding,Competition,National,"15,000",2026 entries open now; close ~Sep 2026; awards Nov 2026,Scheduled / Dated,Tech,,SmartCompany's annual awards for Australia's fastest-growing SMEs. Categories include innovation and emerging entrepreneur.,https://smart50awards.com.au/,https://app.notion.com/p/Smart50-Awards-3985de2226678139883fc07ef8d4b655,Smart50 Awards,smart50-awards,SmartCompany's annual awards for Australia's fastest-growing SMEs. Categories include innovation and emerging entrepreneur.,https://smart50awards.com.au/,Australia,,technology-information-and-media,false,grant,Australia,medium,"national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit",review,sova_directory_2026-07
