id,title,proposed_outcome,confidence,rationale
c05f1270-7334-4bd3-bb7b-83197fcdf86f,"How Contino Entered the ANZ Market",acquired,high,"Entered Jan 2017, acquired Nebulr 2018, sold to Cognizant 2019 (~2 years); ANZ client base framed as the exit catalyst."
748543e7-9bfc-43f5-ab95-7bde9bcdb6c8,"How Daon Entered the ANZ Market: Winning Government Trust with Biometrics — From Border Crossings to Banking",successful,medium,"Established, trusted ANZ position across NZ government (passports, RealMe, MSD) extending into banking; durable, not high-growth narrative."
39c1b251-9516-4242-8fa2-c9e6721605eb,"How Darktrace Entered the ANZ Market",acquired,low,"Strong ANZ growth (60%+ YoY); globally IPO'd 2021 then taken private by Thoma Bravo 2024 — end-state acquired, though IPO also a candidate."
e69bd86a-2303-4403-8f47-50982615fa84,"How DaXtra Technologies Entered the ANZ Market",successful,medium,"15+ years of continuous, durable ANZ presence anchored by Peoplebank; explicitly a patient platform play, not a rocket ship."
e40ccfa2-8567-4b2d-8738-84e35d19481b,"How Debenhams Struggled in the Australian Market",unsuccessful,high,"Opened only one Melbourne store then quietly closed it; no physical retail operation remains."
8c1f44c4-78e2-4716-9cf1-ca3ffe26a250,"How Deliveroo Entered the ANZ Market",unsuccessful,high,"ANZ operation exited Nov 2022 into voluntary administration despite peak scale; framed as an exit to study."
2dc8d3c9-8cf2-4d85-bb43-f470fddaf5f3,"How Dext Entered the ANZ Market",successful,medium,"Became the default pre-accounting tool via deep Xero integration; established ANZ distribution and 1M+ global users."
5874b24b-920d-48f4-8e40-f8574142262c,"How Esprit Struggled in the Australian Market",unsuccessful,high,"Closed all 67 ANZ stores by end-2018 with 350 job losses after years of losses; redirected to Asia."
217911a9-cf5f-4fe7-9c8d-03140d12969d,"How Featurespace Entered the ANZ Market",acquired,medium,"Successful eftpos-anchored ANZ entry; corporate outcome was acquisition by HSBC (2023)."
5dbdda6d-fb45-43e7-9d05-44e1a4b2ac79,"How Fenergo Entered the ANZ Market: Regulatory Urgency as a Wedge — How Fenergo Won Four of Australia's Biggest Banks",successful,medium,"Established category position — selected by four of Australia's top-five banks by 2017 off a 2014 Sydney entry."
70a06a24-2c04-4ebd-949d-deffc7dc93e4,"How Fexco Entered the ANZ Market",scaling,medium,"15-year NZ Pacific base (400+ staff) now actively expanding into Australian retail (2024, 20+ outlet / 80+ job plan)."
a040e965-46f1-4674-8ff9-77eb52f9e513,"How FINEOS Entered the ANZ Market: Category Dominance Through Vertical Focus — How FINEOS Became the Standard for ANZ Insurance",successful,medium,"Category-dominant, established: >70% of Australian life premiums on FINEOS Claims, anchor ACC NZ contract."
b70a050d-90d5-433b-97b4-5b1592c1bfc5,"How Foodora Exited the Australian Market",unsuccessful,high,"Announced Australian exit and entered voluntary administration in 2018 amid Fair Work sham-contracting proceedings."
50be39a5-b110-43ab-a7dd-e4b3ce36009f,"How Gap Struggled in the Australian Market",unsuccessful,high,"Franchise discontinued; all six Australian stores closed by Jan 2018, leaving no physical presence."
eaffa000-dc6a-4c26-a7af-f986ec08cb55,"How Groupon Struggled in the Australian Market",unsuccessful,medium,"Never achieved a viable position; the Australian group-buying operation became marginal and declined."
b58fecee-c86d-4eb2-b7de-2926d27a0c9d,"How Kaufland Cancelled Its Australian Launch",unsuccessful,high,"Cancelled the launch entirely in Jan 2020 after ~A$523M spent, without opening a single store."
db377804-eec4-48c8-85bb-0e3124cd8e5d,"How Kyckr Entered the ANZ Market",ipo,medium,"Used an ASX listing itself as the market-entry mechanism (public listing as trust signal); revenue grew post-listing."
fc19b651-da7d-432e-9101-6062d1eaad09,"How Laybuy Struggled in the Australian Market",unsuccessful,high,"Entered receivership Jun 2024; ASX-delisted 2023 and assets sold to Klarna — failed entry."
5e89b465-6c83-401b-b263-606a9a060d92,"How LearnUpon Entered the ANZ Market",scaling,high,"Actively growing: 100+ APAC enterprise customers, 80% headcount growth in two years, larger Sydney HQ."
354b7852-c42b-4379-9848-ad5bb7bf50e0,"How Menulog Struggled in the Australian Market",unsuccessful,high,"Ceased operations 26 Nov 2025 after ~20 years, stuck at 5-10% share against a dominant Uber Eats."
94b0d63f-f872-451f-a402-ab3e0002b03d,"How MilkRun Collapsed in the Australian Market",unsuccessful,high,"Ceased trading Apr 2023 (400+ redundancies); brand later sold to Woolworths at salvage value."
8e246b4c-f11e-4555-a7e6-cafd40f1d160,"How Mimecast Entered the ANZ Market",acquired,medium,"Successful channel-led ANZ entry (1,200+ customers); corporate outcome was acquisition by Permira for $5.8bn (2022)."
a58cd7e6-4c89-4732-bbe7-3d0e12f94247,"How NCC Group Entered the ANZ Market",successful,medium,"Established government/critical-infrastructure ANZ presence from 2017 with ongoing policy engagement; steady, not high-growth."
1130caf9-905e-4343-b4c7-9b17e1adf3f7,"How Nium Entered the ANZ Market",scaling,medium,"Australia as revenue engine, deepening via NZ FSPR registration (2024) and expanding real-time payout capability."
224ab881-e71d-4967-8e9b-9bb06593c4cb,"How nPlan Entered the ANZ Market",scaling,medium,"Early-stage entrant landing Australia's biggest road project (2025) alongside an Oct 2025 Series B; actively expanding."
c3125575-3074-494f-8dc7-7d34b10e1e8e,"How Onfido Entered the ANZ Market",acquired,medium,"Pull-through ANZ entry via clients like Revolut; corporate outcome was acquisition by Entrust (2024)."
1c29a8ca-7d54-44c2-a4b3-0b74c92856b5,"How Peloton Struggled in the Australian Market",,medium,"Still operating in Australia but persistently struggling (paused apparel, ACL issues); no clear failure/exit and no establishment — indeterminate."
92e85f0b-8317-4831-a38e-d9839b9c0715,"How Pizza Hut Australia Faced a Franchisee Class Action",,medium,"About a franchise-pricing class action (which the franchisor won) and franchisee insolvencies; Pizza Hut itself keeps operating — no company-level outcome."
3a7a1915-8e06-4e6f-9ccc-e940b12d3972,"How PropertyGuru Entered the ANZ Market",acquired,low,"Nuanced strategic-link case (REA 18% stake); PropertyGuru was taken private in 2024 as REA divested — end-state acquired."
322aa69d-a362-431e-9a58-ec5b08bf53d5,"How Quantexa Entered the ANZ Market",scaling,medium,"High-growth unicorn (108% FY2020 revenue growth, $1.8bn valuation) expanding across ANZ banks from Sydney/Melbourne."
1931a8d7-80b0-466d-ad74-3ff78acc0683,"How Revolut Entered the ANZ Market",scaling,high,"Actively expanding: from 3 staff/travel card to 1M Australian customers by 2026, layering products (crypto, stocks, lending)."
0a654e25-ef57-48b2-949a-4e510b926684,"How Sensat Entered the ANZ Market",successful,low,"Recent (2023) government-backed Sydney entry described as becoming Australia's infrastructure visualisation platform; early and thin evidence."
9279ff9a-cc58-44ca-92c9-2fe398e3fb3b,"How Sezzle Struggled in the Australian Market",unsuccessful,medium,"Scaled back to a minimal Australian presence and ASX-delisted after the Zip merger collapsed — effective withdrawal from the market."
dde192d8-dc38-45d0-883c-be8cce94642b,"How Spectrum.Life Entered the ANZ Market",scaling,medium,"Entered by acquiring three businesses in one day and planning 100+ new AU roles in 12 months; explicit expansion commitment."
6d35415a-b59f-4462-bcb0-effac672d8a7,"How T-Pro Entered the ANZ Market",scaling,medium,"Serial-acquisition expansion across ANZ (2022, 2023, 2025), PE-backed; actively building regional footprint."
7b6e0de9-2d8a-415d-9183-f1ca15235c1b,"How Thought Machine Entered the ANZ Market",successful,medium,"Established key challenger-bank clients (Judo, Kiwibank) with fast migrations; solid entry, $2.7bn valuation."
d38ea698-9814-48ec-b6d6-393c6fbd26d5,"How Tines Entered the ANZ Market: From Security Automation to AI Workflows — Tines' APAC Beachhead Strategy",scaling,high,"Unicorn (2025) doubling Australian headcount and launching an APAC hub (2026) on marquee customers (Canva, REA, ANU)."
2411a19e-cfb7-4695-b616-28670894798a,"How Tractable Entered the ANZ Market",successful,medium,"Established with the dominant player — IAG (~70% of the market) as anchor — delivering quantified outcomes; unicorn."
0e417c16-34b3-4413-8d60-1eeca7b3b614,"How Uber Carshare Struggled in the Australian Market",unsuccessful,high,"Exited the Australian market in late 2025, leaving thousands of users without a platform."
45e2beb6-4c95-4730-97e4-0d6d51bf0a4b,"How Valve / Steam Was Penalised by the ACCC in Australia",,medium,"A$3M ACL penalty case; Steam continues to operate in Australia, so this is a regulatory penalty, not a market failure or establishment outcome."
22d7d55f-92af-4e9a-8e04-1ef3579aa074,"How Viagogo Was Penalised by the ACCC in the Australian Market",,medium,"A$7M ACL penalty for misleading pricing; Viagogo continues operating in Australia — regulatory penalty, not a company outcome."
142ef77a-d78a-4210-a829-6183b7e77eb5,"How Volt Bank Collapsed in the Australian Market",unsuccessful,high,"Surrendered its banking licence and returned deposits in 2022 — the first Australian neobank to fail."
b6a1c7be-1174-432f-aebc-bf67eba9b585,"How Wayflyer Entered the ANZ Market: Funding Growth at the Speed of E-Commerce — Wayflyer's Australian Playbook",scaling,medium,"Treated Australia as a core growth market from 2021, deploying A$60M+ to 150+ brands; unicorn actively expanding."
dacca85e-a553-4ec6-9561-f846ce256779,"How WeWork Collapsed in the Australian Market",,medium,"Content explicitly rates the outcome 'Mixed' — the Australian network was durable and largely worked even as the global parent imploded; neither clean success nor failure."
d83917da-d186-4c58-8789-cb29aa9d57b3,"How Wise Entered the ANZ Market",successful,medium,"Established, large-scale ANZ position: 1M+ Australian customers, first fintech direct to the NPP, A$1bn+ balances held."
