event_name,event_date_start,event_date_end,next_edition_expected,venue,city,state,organiser,organiser_website,website_url,registration_url,description,target_audience,event_type,frequency,recurring,ticket_price_range_aud,expected_attendance,exhibitor_count,sector_tags,notes,source_url,notion_page_url
"ADX Sydney (Australian Dental Exhibition)",,,"March 2028 (expected; biennial - ADX26 was 26-28 Mar 2026 at ICC Sydney)","ICC Sydney","Sydney","NSW","Australian Dental Industry Association (ADIA)","https://www.adia.org.au","https://www.adx.sydney",,"Australia's premier dental event, held biennially at ICC Sydney with over 13,500 m² of exhibition space showcasing products and technology from across the dental industry. Suppliers exhibit directly to dentists and practice owners attending for the trade floor and CPD programme. The flagship route to market for dental equipment and technology companies entering Australia.","Dentists, dental practice owners, dental technicians and dental industry buyers","trade_exhibition","biennial",true,,,,"MedTech","ADX26 (26-28 Mar 2026) has passed; next Sydney edition expected March 2028 (date not yet published). Companion events: ADX Brisbane 8 Oct 2026 (BCEC) and Adelaide Dental Symposium 21 Aug 2026 (Adelaide CC, 41 exhibitors).","https://www.adia.org.au/the-story-so-far.html","https://app.notion.com/p/522c00c597104cdc803256d4a4d84dbf"
"AFA Grow. Promote. Protect. Forum","2026-02-24",,,"RMIT, Melbourne","Melbourne","VIC","Australian Furniture Association (AFA)","https://australianfurniture.org.au","https://australianfurniture.org.au/grow-promote-protect-forum-2026-shaping-the-future-of-australias-furniture-industry/","https://events.humanitix.com/grow-promote-protect-forum-2026","The Australian Furniture Association's industry forum on the future of the Australian furniture industry, including a Circular Economy Activator session, VIP dinner and networking events, focused on moving the sector from interest in circularity to informed action.","Furniture designers, manufacturers, suppliers, retailers and industry partners","industry_summit",,false,,,,"Manufacturing","2026 edition has run (24 February 2026, RMIT Melbourne). Ticketing tiers vary by AFA membership type. Frequency of the series not formally published.","https://australianfurniture.org.au/grow-promote-protect-forum-2026-shaping-the-future-of-australias-furniture-industry/","https://app.notion.com/p/399e3a7ad93b48588e56d63528c8ce74"
"AFAC Conference & Exhibition (powered by INTERSCHUTZ)","2026-08-18","2026-08-21",,"Melbourne Convention & Exhibition Centre","Melbourne","VIC","AFAC & Deutsche Messe (Hannover Fairs Pty Ltd)","https://www.afac.com.au","https://www.afacconference.com.au",,"Australasia's largest emergency management conference and exhibition, run by AFAC with Deutsche Messe, featuring a free-to-attend expo, 100+ speakers and concurrent streams including the Australian Disaster Resilience Conference; rotates jurisdictions annually.",,"conference_with_expo","annual",false,,,,"Government","Australasia's largest emergency management conference and exhibition - free-to-attend expo runs 18-20 Aug 2026, conference through 21 Aug (100+ speakers; concurrent streams incl. Australian Disaster Resilience Conference, WAFA and IFE National Conference). Rotates jurisdictions annually (2025 Perth, 2026 Melbourne). Named Best Trade Show and Best Event 2024 at the Australian Business Event Awards. Buyers: fire agencies, SES, government emergency management.","https://www.afacconference.com.au/","https://app.notion.com/p/c01e51be521d4100b09d1e0266d59194"
"AFR Banking Summit",,,"March 2027 (expected; 2026 edition was 16 Mar at Hilton Sydney)","Hilton Sydney","Sydney","NSW","The Australian Financial Review (Nine) - AFR Live","https://live.afr.com","https://live.afr.com/bankingsummit/",,"The Australian Financial Review's premium annual banking summit, convening the nation's most influential banking leaders, regulators and investors in Sydney. Access is via delegate tickets and sponsorship rather than an exhibition floor. High-value visibility and relationship-building for fintechs selling into the big four and regional banks.","Bank CEOs and senior executives, investors, regulators and financial services advisers","industry_summit","annual",true,,,,"FinTech","2026 edition has passed; AFR Live already has a Banking Summit 2027 page live without dates. APRA's event listing corroborates the 16 Mar 2026 edition.","https://live.afr.com/bankingsummit/","https://app.notion.com/p/dcf5777957b142668f8b97e83f7fc334"
"Ageing Australia National Conference","2026-11-24","2026-11-26",,"ICC Sydney","Sydney","NSW","Ageing Australia (formerly ACCPA)","https://ageingaustralia.asn.au","https://conference.ageingaustralia.asn.au",,"The leading annual event for Australia's aged care, retirement living and seniors housing sectors, run by the industry's peak body. A multi-day trade exhibition runs alongside the plenary and concurrent programme, putting care technology, equipment and service vendors directly in front of provider organisations. A strong buying audience for healthtech and assistive technology companies targeting the aged care market.","Aged care, retirement living and seniors housing providers, executives and procurement decision-makers","conference_with_expo","annual",true,,,,"MedTech","Trade exhibition confirmed in the published programme (bump-in 23 Nov, bump-out 26 Nov). Ageing Australia also runs state conferences (e.g. WA 3-5 Jun 2026, NSW/ACT 12-14 Aug 2026).","https://conference.ageingaustralia.asn.au","https://app.notion.com/p/a68a6963a4d941a4b417cf3b8221f8ed"
"AGHA Melbourne Gift Fair","2026-08-08","2026-08-12",,"Melbourne Convention & Exhibition Centre","Melbourne","VIC","Australian Gift & Homewares Association (AGHA)","https://agha.com.au","https://agha.com.au/",,"The peak industry body's flagship Melbourne trade fair, where hundreds of gift and homewares brands present to retail buyers ahead of the Christmas trading cycle. For consumer product vendors, it is one of the two core sourcing windows in the Australian retail calendar.","Gift, homewares and lifestyle retailers, wholesalers, corporate and hospitality buyers","trade_exhibition","annual",true,,,,"Retail, Wholesale","Runs 8-12 August 2026 at MCEC, concurrently with the competing Reed Gift Fairs Melbourne. AGHA also runs the Sydney Gift Fair and launched the boutique 'Gifted: Melbourne' showcase (31 Jan - 2 Feb 2026).","https://agha.com.au/","https://app.notion.com/p/c81f623e18254a5697e0db762c42786f"
"AGHA Sydney Gift Fair","2026-09-19","2026-09-21",,"Sydney Showground, Sydney Olympic Park","Sydney","NSW","Australian Gift & Homewares Association (AGHA)","https://agha.com.au","https://agha.com.au/sydney-gift-fair/","https://agha.eventsair.com/agha-sydney-gift-fair-2026/registration","AGHA's Sydney sourcing fair, repositioned to September 2026 to sit ahead of the Christmas trading period and better match retail buying cycles. Three days of boutique and emerging-brand sourcing at Sydney Showground for retailers across NSW.","Gift and homewares retailers, boutique buyers, stylists, designers and event planners","trade_exhibition","annual",true,,,,"Retail, Wholesale","AGHA cancelled its February 2026 Sydney fair and consolidated into the 19-21 September 2026 edition, citing the clash of two concurrent Sydney fairs (per Australian Giftguide, Oct 2025).","https://agha.com.au/sydney-gift-fair/","https://app.notion.com/p/a42efe1816f1458da653c891fbaed64e"
"AGIC Australia (Australian Grain Industry Conference)","2026-07-29","2026-07-30",,"Crown Promenade","Melbourne","VIC","Grain Trade Australia","https://graintrade.org.au","https://agic.org.au/agic-australia-2026/","https://agic.org.au/agic-australia-registration/","Australia's flagship grain industry conference, hosted by Grain Trade Australia. 2026 theme: 'Thriving Today, Resilient Tomorrow'. Includes welcome drinks and gala dinner networking.","Grain market participants, traders, exporters, logistics and service providers across the grain supply chain","industry_summit","annual",true,"$970-$1,445 incl GST (2026 rates)",,,"Agriculture","Official site and Grain Trade Australia both confirm 29-30 July 2026, Crown Promenade Melbourne.","https://agic.org.au/agic-australia-2026/","https://app.notion.com/p/81c04c938e1642eb98ce927b76343b4a"
"AgQuip Field Days","2026-08-18","2026-08-20",,"AgQuip Field Days site, 134 Black Jack Road","Gunnedah","NSW","ACM Rural Events (Australian Community Media)","https://acmruralevents.com.au","https://acmruralevents.com.au/agquip/home","https://acmruralevents.com.au/agquip/home","Australia's largest premier primary industry field days, held over three days at Gunnedah in northern NSW. With hundreds of exhibitor sites covering machinery, agtech and rural services, it is the highest-volume direct-selling environment in Australian agriculture.","Farmers, primary producers, agribusiness owners and rural contractors","trade_exhibition","annual",true,,,,"Agriculture","Exhibitor applications for 2026 open via the official site; returning exhibitors get first option on sites.","https://acmruralevents.com.au/agquip/home","https://app.notion.com/p/d2bb9cdd98094059b9c02ba572722dbd"
"AgriFutures evokeAG.","2027-02-16","2027-02-17",,"Adelaide Convention Centre","Adelaide","SA","AgriFutures Australia","https://agrifutures.com.au","https://www.evokeag.com/","https://www.evokeag.com/2027-event/","Asia Pacific's premier agrifood innovation event, bringing the global agtech ecosystem - producers, startups, scaleups, investors and policymakers - to Adelaide for two days. The natural landing pad for agtech vendors entering the Australian market and for ANZ agrifood founders raising their profile.","Agrifood tech startups, producers, researchers, investors and corporate agribusiness","conference_with_expo","annual",true,,,,"Agritech, Agriculture","2027 edition confirmed for 16-17 February at Adelaide Convention Centre (Adelaide previously hosted in 2023); Welcome Event 15 February at the National Wine Centre.","https://www.evokeag.com/","https://app.notion.com/p/a6e38b35fff440a29bfa9a913995f4a9"
"AHICE Asia Pacific - Hotel Industry Conference & Exhibition",,,"May 2027, Adelaide (expected; annual - the 2026 edition, its 17th, ran 5-7 May at Adelaide Oval with 1,800+ attendees per the official site)",,"Adelaide","SA","Travel Business Media (HM & Wayfarer magazines)","https://ahiceconference.com","https://ahiceconference.com/asiapacific/","https://ahiceconference.com/asiapacific/","The Asia-Pacific's largest and most influential hotel industry conference, co-located with the Design Inn Symposium and INN Tech Hotel Technology Summit. The premier route to hotel owner and investor decision makers in the region.","Hotel owners, operators, investors, developers and suppliers across the Asia-Pacific","conference_with_expo","annual",true,,1800,,"Hospitality, Tourism","2027 dates not yet announced - dates left null. Part of an 11-event global AHICE series including a Sydney Hotel Summit (31 July 2026, Hilton Sydney) and AHICE Aotearoa.","https://ahiceconference.com/asiapacific/","https://app.notion.com/p/8c12c56755d2416aba7d750ca7530602"
"AHRI National Convention & Exhibition","2026-08-04","2026-08-06",,"Brisbane Convention & Exhibition Centre","Brisbane","QLD","Australian HR Institute (AHRI)","https://www.ahri.com.au","https://www.ahri.com.au/events-and-networking/nce","https://www.ahri.com.au/events-and-networking/nce","The peak HR body's flagship national convention and exhibition - Australia's largest annual gathering of HR professionals, pairing a multi-stream conference with a sponsor and vendor expo floor.","HR professionals, people leaders and HR technology and services buyers","conference_with_expo","annual",true,,,,"Human Resources","2026 theme: ""I am HR, Hear me""; AI features heavily in the programme.","https://www.ahri.com.au/events-and-networking/nce","https://app.notion.com/p/65d73e99ffd4405ba36bcf6bc23368a0"
"AIME (Asia Pacific Incentives and Meetings Event)","2027-02-15","2027-02-17","14-16 February 2028, MCEC","Melbourne Convention and Exhibition Centre (MCEC)","Melbourne","VIC","Talk2 Media & Events (owned by Melbourne Convention Bureau)","https://talk2.media","https://aime.com.au",,"Asia Pacific's largest and longest-running business events trade show - hosted buyers, trade exhibition and Knowledge Program connecting the meetings & incentives industry.","Business events buyers, incentive planners, venues, destinations and event suppliers","trade_exhibition","annual",true,,5000,800,"Tourism, Hospitality","Attendance ~4,500 and ~750 exhibiting companies per third-party listing (10times); organiser figures not published. Knowledge Monday 15 Feb, trade show 16-17 Feb.","https://aime.com.au","https://app.notion.com/p/bc497e10e2f74e5380c6338e92a95f74"
"AIMEX - Asia-Pacific's International Mining Exhibition","2026-09-28","2026-09-30",,"Adelaide Showground","Adelaide","SA","Reed Exhibitions (RX Global)",,"https://www.aimex.com.au/","https://www.aimex.com.au/","Australia's longest-running mining show, now based in South Australia for the next decade following a state government bid. Free-to-attend conference stages and feature pavilions across mining, energy and R&D give suppliers direct access to Asia-Pacific's largest mining community.","Mining companies, contractors, suppliers and buyers across the Asia-Pacific mining supply chain","trade_exhibition","annual",true,,,,"Mining","2026 dates (28-30 September, Adelaide Showground) from the official site. Relocated from Sydney to SA for 10 years from 2025.","https://www.aimex.com.au/","https://app.notion.com/p/0446bee5f9f644a887750e28e352eb1c"
"AISA CyberConnect Canberra",,,"May 2027 (expected; inaugural edition ran 27-28 May 2026 at Hotel Realm, Canberra, and AISA states it will be held annually)",,"Canberra","ACT","Australian Information Security Association (AISA)","https://www.aisa.org.au","https://www.cyberconnect.org.au/",,"AISA's Canberra event focused on Australia's cyber security priorities for government agencies, academia and industry. For vendors targeting federal government cyber spend, it offers sponsorship and engagement opportunities in the national capital, effectively succeeding AISA's former CyberCon Canberra.","Federal government cyber leaders, agency security teams, policy makers and government-focused vendors","industry_summit","annual",true,,,,"Cybersecurity, Government","Replaces AISA's CyberCon Canberra (last held March 2025). 2026 inaugural edition (27-28 May) has passed; 2027 dates not yet announced.","https://www.cyberconnect.org.au/","https://app.notion.com/p/1d26fc93a2a149d6b7e6f134d0670c50"
"AITD National Conference","2027-04-28","2027-04-30","28-30 April 2027, Canberra","TBC (Canberra)","Canberra","ACT","Australian Institute of Training and Development (AITD)","https://www.aitd.com.au","https://www.aitd.com.au/about-aitd-conference",,"The annual national conference of the Australian Institute of Training and Development - Australia's flagship L&D event, with a 2.5-day program of Australian and international thought leaders, practical capability-building sessions and the AITD Excellence Awards.","Learning & development professionals, training managers, instructional designers, HR capability leads and L&D vendors","industry_summit","annual",true,"$1,695 member / $1,995 non-member (2026 standard rate; 2027 pricing TBC)",350,,"Education, Human Resources","2026 edition ran 13-15 May 2026 at Sofitel Brisbane with 300+ attendees. Next edition confirmed for Canberra, 28-30 April 2027.","https://www.aitd.com.au/about-aitd-conference","https://app.notion.com/p/4ef3506be35c48e4bd00fde31f00cc22"
"ALIA National Conference","2026-05-11","2026-05-14","2028 expected (biennial)","Rosehill Gardens","Sydney","NSW","Australian Library and Information Association (ALIA)","https://www.alia.org.au","https://alianational.alia.org.au",,"ALIA's biennial flagship conference - the national meeting point for the Australian library and information sector, with keynotes, exhibition and corporate partners. 2026 keynotes included Stan Grant and Larissa Behrendt.","Library & information professionals across public, academic, school and special libraries","conference_with_expo","biennial",true,,,,"Education","Ran 11-14 May 2026. No overarching theme for 2026 by design.","https://alianational.alia.org.au","https://app.notion.com/p/99fbfbc9f8d14e95b956e55343bd5cf5"
"All-Energy Australia","2026-10-28","2026-10-29",,"Melbourne Convention & Exhibition Centre","Melbourne","VIC","RX Global (in partnership with the Clean Energy Council)","https://rxglobal.com","https://www.all-energy.com.au/","https://www.all-energy.com.au/en-gb/visit.html","The largest clean energy exhibition and conference in APAC, spanning solar, wind, storage, hydrogen, EV infrastructure and grid solutions with 500+ speakers across 100+ sessions. Free-to-attend for trade visitors, it is the single biggest shop window for energy vendors entering the Australian market.","Clean energy professionals - developers, installers, utilities, investors, policymakers and government","conference_with_expo","annual",true,,16500,490,"Energy, Cleantech","Attendance figure is the AMAA-audited 16,012 unique visitors in 2025 (the official visit page also cites '16,500+'). Held in partnership with the Clean Energy Council.","https://www.all-energy.com.au/","https://app.notion.com/p/6d641bd0754b4b1287237f01737033ef"
"ALPMA Summit + ALTACON (Business of Law Summit)","2026-09-09","2026-09-11",,"Nyaal Banyul Geelong Convention and Event Centre","Geelong","VIC","ALPMA (Australasian Legal Practice Management Association) with ALTA (Australasian Legal Technology Alliance)","https://www.alpma.com.au","https://www.alpmasummit.com.au/","https://www.alpmasummit.com.au/registration","Australasia's leading legal practice management and legaltech conference - the largest law firm management event in Australia - combining a three-day programme with the ALTACON legaltech exhibition. The primary buying floor for legal software vendors entering the ANZ market.","Managing partners, law firm C-suite, practice managers, legal technology directors and in-house counsel","conference_with_expo","annual",true,,,,"Legal, Technology","2026 theme: ""Rewind to Recharge"". LEAP Legal Software signed as Principal Partner for 2026 and 2027; ALPMA's network exceeds 3,000 law firm management professionals.","https://www.alpmasummit.com.au/","https://app.notion.com/p/5dad283a891c4a8e800e17000589c2d9"
"AMaGA National Conference","2026-11-03","2026-11-05",,"Museum of Australian Democracy, Old Parliament House (conference hub)","Canberra","ACT","Australian Museums and Galleries Association (AMaGA)","https://www.amaga.org.au","https://amaga.org.au/Web/Web/National-Conference/National-Conference.aspx",,"National conference of Australia's peak museums and galleries body, themed 'Together: people, power and politics', spread across cultural institutions in Canberra's National Triangle.","Museum and gallery directors, curators, collection managers and suppliers (exhibit design, AV, collection tech, conservation)","industry_summit","annual",true,,,,"Creative Industries","Conference was paused in 2025 due to sector financial pressures; returning in 2026. AMaGA Victoria's separate state conference (2-4 Oct 2026, Monash University Clayton) excluded as state-level.","https://amaga.org.au/Web/Web/National-Conference/National-Conference.aspx","https://app.notion.com/p/7e45c64268ba47cf9c409cd179ee0b8e"
"ANZ Cyber Summit (co-hosted with OTsec ANZ)","2026-09-15","2026-09-16",,"W Sydney","Sydney","NSW","QG Media (an ISMG company)","https://www.cs4ca.com","https://anz.cyberseries.io/","https://anz.cyberseries.io/register/","The Sydney launch of QG Media's global cyber summit series, co-hosted with OTsec ANZ to deliver twin IT and OT security agendas over two days at W Sydney. Its sponsor model and 100+ senior end-user delegates give vendors targeted access to critical infrastructure security buyers.","Senior IT and OT security leaders from ANZ critical infrastructure, manufacturing, mining, healthcare and energy","industry_summit","annual",true,,100,,"Cybersecurity","Inaugural ANZ edition (2026 theme: 'The Maturity Shift: Moving from Compliance to Resilience'), part of QG Media/ISMG's established global series with intended annual cadence. Co-hosted with OTsec ANZ (theme: 'The Secure Ecosystem').","https://anz.cyberseries.io/","https://app.notion.com/p/046f07f74b6f4c3fbb5f4a1bac85def4"
"APAM (Australian Performing Arts Market)","2026-02-23","2026-02-27","2028, Perth (also 2030)",,"Perth","WA","PAC Australia (initiative of Creative Australia)","https://paca.org.au","https://apam.org.au",,"Australia's leading internationally focused performing arts industry event - pitches, showcases and brokering connecting Australian & NZ contemporary work with global touring opportunities.","International & national presenters, producers, touring agents, cultural leaders","industry_summit","biennial",true,,,,"Creative Industries","Ran 23-27 Feb 2026, aligned with Perth Festival's closing week. Perth hosts 2026/2028/2030 under a six-year contract; historically grew to 1,200+ participants under earlier models.","https://apam.org.au","https://app.notion.com/p/e20d5e92a4344477ba1bf5a2ef9c5226"
"APAX (Australian Performing Arts Exchange)","2026-09-07","2026-09-11",,,"Brisbane","QLD","PAC Australia (Performing Arts Connections Australia)","https://paca.org.au","https://apax.org.au","https://apax.org.au/event-info/registration/","The national market and professional development gathering of 450+ performing arts workers - pitching, showcasing and networking to develop tours and presentation deals. First time in Brisbane in 22 years.","Performing arts presenters, producers, venue programmers and artists","industry_summit","annual",true,,450,,"Creative Industries","Runs alongside Brisbane Festival. Travel bursaries offered for QLD/WA/SA/TAS delegates.","https://apax.org.au","https://app.notion.com/p/aea51265eafe47359db25840a3c0951b"
"APGA Convention & Exhibition","2026-09-05","2026-09-08",,"Darwin Convention Centre","Darwin","NT","Australian Pipelines and Gas Association (APGA)","https://apga.org.au","https://apga.org.au/2026-apga-convention-exhibition","https://apga.org.au/2026-apga-convention-exhibition","The defining annual event for Australia's pipeline, gas and energy infrastructure sector, combining a curated technical programme with a high-impact exhibition floor over four days. A focused route to infrastructure operators and EPC buyers for specialist suppliers.","Pipeline and gas infrastructure owners, operators, engineers and service providers","conference_with_expo","annual",true,,,,"Energy","2026 edition confirmed for 5-8 September at Darwin Convention Centre; tickets on sale from 1 May 2026. Location rotates between Australian cities each year.","https://apga.org.au/2026-apga-convention-exhibition","https://app.notion.com/p/04e866c31b444c24a6dcb7fcc83658cf"
"APPEX - Australasian Processing & Packaging Expo","2027-03-16","2027-03-19",,"Melbourne Convention & Exhibition Centre","Melbourne","VIC","APPMA (Australian Packaging and Processing Machinery Association)","https://appma.com.au","https://www.appex.com.au/","https://www.appex.com.au/","Australia's largest processing and packaging exhibition, run by industry for industry, with 400+ exhibitors across machinery, materials, food processing and logistics over four days. A premium platform for equipment vendors selling into Australian manufacturing.","Manufacturers and brand owners buying processing, packaging, materials handling and logistics equipment","trade_exhibition",,true,,,400,"Manufacturing, Food & Beverage","Official site describes it as a 'triannual' (triennial) event - outside the frequency enum; flagged for validation. Exhibitor figure (400+) from the official site.","https://www.appex.com.au/","https://app.notion.com/p/355f39faf5cd49d9a59d074434b26142"
"ARC Leaders Forum (ARA x NRA)",,,"February 2027 (expected; 2026 edition ran 25-26 February at ICC Sydney)",,"Sydney","NSW","Australian Retail Council (ARA x NRA)","https://www.retail.org.au","https://www.retail.org.au/arc-events/arc-leaders-forum-26",,"The peak retail body's flagship leadership forum, uniting senior leaders, policymakers and innovators from across Australian retail for two days at ICC Sydney. Sponsorship gives vendors association-endorsed access to the country's largest retail membership base.","Senior retail leaders, policymakers and innovators across Australia's $420bn retail sector","industry_summit","annual",true,,,,"Retail","Run by the Australian Retail Council, formed from the ARA x NRA merger. 2026 edition (25-26 February, ICC Sydney) has passed; 2027 dates not yet announced.","https://www.retail.org.au/arc-events/arc-leaders-forum-26","https://app.notion.com/p/dc6b4a658fb4488fabd4278704ba4981"
