Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL,mes_table,mes_id,mes_name,mes_website,match_score,match_candidate_count,chosen_match_reason
ALIAVIA Ventures,Funding,Investor,National,USD $250k - $750k,,Unspecified,HealthTech; FinTech; EdTech,Female Founders,"California-based VC investing in Pre-Seed and Seed-stage female-founded tech startups in the US and Australia. At least one female founder required. Sectors: HealthTech, FinTech, EdTech, HR tech, and media and entertainment. Fund I closed at AUD $13.5m. Cheque size USD $250k–$750k with follow-on available. B2B and B2C both considered.",https://www.aliavia.vc/,2026-07-09,https://app.notion.com/p/ALIAVIA-Ventures-3985de22266781afad51f876560c0ff6,investors_public,4225f476-48fe-40c4-848b-3cc48a07d37f,ALIAVIA Ventures,https://www.aliavia.vc,1.000,12,exact normalised name + domain match
Altered Capital,Funding,Investor,National,$2m - $10m,,Unspecified,AI; CleanTech; AgTech; HealthTech,,"NZ-based global venture capital and growth equity firm managing NZ$280m+. Backs companies that have already proven product-market fit and are ready to scale across seven themes: Data and Digitisation, AI and Automation, Energy Transition, Alternative Proteins, Circular Economy, Future Health and Wellbeing, and Environment and Sustainability. Series A and beyond — not early-stage.",https://www.alteredcapital.com/,2026-07-09,https://app.notion.com/p/Altered-Capital-3985de222667810c8194ff5b96d334c3,investors_public,1d8bafb3-db3f-4e0b-adfc-8ab615fccfdc,Altered Capital,https://www.alteredcapital.com,1.000,6,exact normalised name + domain match
ANDHealth ACTIVATE,Programs,Accelerator,VIC,Free (equity-free; LaunchVic-funded),Closes 22 Mar 2026,Scheduled / Dated,HealthTech,,"6-month intensive accelerator for Victorian digital health and medtech startups ready to scale. 45+ companies supported since 2023, raising $35.7M collectively. Hybrid format with on-site sessions at Melbourne's CHICC.",https://www.andhealth.com.au/activate,2026-07-09,https://app.notion.com/p/ANDHealth-ACTIVATE-3985de222667815ca6bec2f8c8bcb596,innovation_ecosystem,c01a9935-ad0b-4d14-9ba1-e5cd2c0933c7,ANDHealth+,http://www.andhealth.com.au/,0.800,1,full-host match + name similarity 0.80
Antler Australia,Programs,Accelerator,National,"$260,000 for 12% equity",Multiple cohorts/year,Scheduled / Dated,AI; Tech,,"Global startup generator with residencies in Sydney, Melbourne, and Brisbane. 10-week program for pre-idea to early-stage founders. $77M Fund II backing 100+ pre-seed startups.",https://www.antler.co/location/australia,2026-07-09,https://app.notion.com/p/Antler-Australia-3985de222667816ab118de84ab5b57d3,innovation_ecosystem,5da7a8a7-79a8-4b43-b5f6-9be831572f26,Antler Australia,https://www.antler.co/locations/sydney,1.000,1,exact normalised name + domain match
Arbor Capital,Funding,Investor,National,$500k - $5m,,Unspecified,Tech; SaaS; FinTech; CleanTech,,"Australian patient capital investor providing $500k–$5m to high-growth private technology companies with proven business models. Invests at Series A and growth/pre-IPO stages — not early seed. Focus sectors: SaaS, marketplaces, energy, logistics, and fintech.",https://arborcapital.co/,2026-07-09,https://app.notion.com/p/Arbor-Capital-3985de222667817c9e90d165441fce38,investors_public,eb2d8b04-b73b-4d60-998d-d70a349c33ac,Arbor Capital,https://arborcapital.co/,1.000,8,exact normalised name + domain match
Archangel Ventures,Funding,Investor,VIC,,Always open,Open / Rolling,Tech,,Melbourne-based VC investing in pre-seed and seed-stage technology startups across Australia.,https://www.archangel.vc/,2026-07-09,https://app.notion.com/p/Archangel-Ventures-3985de222667812d8527c0dabc604ec5,investors_public,7634e570-e05e-499b-a236-29a73d2ea0d9,Archangel Ventures,https://www.archangel.vc/,1.000,11,exact normalised name + domain match
Arowana Partners,Funding,Investor,National,,,Unspecified,Tech; FinTech; EdTech; CleanTech,,"Global B Corp-certified investment group with offices in Sydney, Brisbane, London, Dubai, Singapore, and Manila. Invests in and actively operates growth-stage SMEs across education, technology, fintech, electric mobility, sovereign AI infrastructure, and circular economy. Takes a hands-on operational role — not a passive VC. Australian-focused Australasian Growth Enterprise Fund targets expansion-stage businesses.",https://arowanaco.com/,2026-07-09,https://app.notion.com/p/Arowana-Partners-3985de2226678141864cec609c7ccf5d,investors_public,62663ae9-951e-46f3-9471-ddbf6baaef74,Arowana Partners,https://arowanaco.com/venture-capital/,1.000,2,exact normalised name + domain match
Artesian Capital Management,Funding,Investor,National,,,Unspecified,AgTech; CleanTech; AI; HealthTech,,"Specialist impact VC and corporate venture firm managing funds across agrifood technology, clean energy, AI/robotics, and medtech. Invests at Series A through Series C in Australian and global companies. Also manages corporate venture programs for strategic partners. Sector-specific — agrifood, cleantech, and deep tech only.",https://www.artesian.vc/,2026-07-09,https://app.notion.com/p/Artesian-Capital-Management-3985de22266781e19068f424b4cc7e73,investors_public,9eb80066-5412-49e5-a4ba-010ff901a59c,Artesian Capital Management,https://www.artesianinvest.com/,1.000,1,exact normalised name match (no domain overlap)
AS1 Growth Partners,Funding,Investor,National,,,Unspecified,Tech,,Growth equity investor focused exclusively on late-stage and pre-IPO opportunities (Series D+). Not suitable for early-stage or seed-stage startups. Sector focus and cheque size not publicly disclosed — verify current mandate on their website.,https://www.as1growthpartners.com/,2026-07-09,https://app.notion.com/p/AS1-Growth-Partners-3985de222667815f8076f07410e83f46,investors_public,af593a9a-f434-4a9a-916c-d714dd7188ca,AS1 Growth Partners,https://www.as1growthpartners.com/,1.000,2,exact normalised name + domain match
Athletic Ventures,Funding,Investor,National,$1m - $4m,,Unspecified,Tech,,"Australian VC fund and co-investment syndicate backed by 500+ elite athletes. Invests at Seed through Series B in technology companies across generalist sectors. Cheque size $1m–$4m. The athletic network provides portfolio companies access to brand ambassadors, distribution, and consumer validation.",https://www.athletic.vc/,2026-07-09,https://app.notion.com/p/Athletic-Ventures-3985de2226678154aeeddeb7d10740da,investors_public,d49e80e9-6db7-4ea8-b80d-49af02ec04cc,Athletic Ventures,https://www.athletic.vc/,1.000,8,exact normalised name + domain match
Aura Ventures,Funding,Investor,National,$500k - $2m,,Unspecified,Tech,,Sydney-based early-stage VC investing $500k–$2m from Angel through Series A. Sector-agnostic but thesis-driven — each deal must fit a defined investment thesis. Backs ambitious Australian founders early and supports through follow-on rounds.,https://www.auraventures.com.au/,2026-07-09,https://app.notion.com/p/Aura-Ventures-3985de222667812bbb4dd1bcff8e49c1,investors_public,6bd289d0-7ed7-4f46-83ae-58ba6f68b6ae,Aura Ventures,https://www.aura.vc/,1.000,32,exact normalised name match (no domain overlap)
Australian Unity Future of Healthcare Fund,Funding,Investor,National,$250k - $7.5m,,Unspecified,HealthTech,,"Healthcare-only VC investing $250k–$7.5m in Series A through Series C companies targeting healthcare, aged care, and disability services in Australia. Managed by Australian Unity, a mutual company. Strictly sector-specific — companies outside healthcare and social care will not qualify.",https://www.australianunity.com.au/wealth/,2026-07-09,https://app.notion.com/p/Australian-Unity-Future-of-Healthcare-Fund-3985de222667819c881cf2d8e11595d3,investors_public,df6a3f3e-37ab-460e-8639-23b1e7d42dbb,Australian Unity Future of Healthcare Fund,https://www.australianunity.com.au/wealth/investment-options/future-of-healthcare-fund,1.000,1,exact normalised name + domain match
Bailador Technology Investments,Funding,Investor,National,$5m - $20m,,Unspecified,Tech; SaaS; FinTech,,"ASX-listed technology investment fund (ASX:BTI) with a concentrated portfolio approach to B2B, SaaS, marketplace, and tech-enabled businesses. Invests $5m–$20m at Series A through late-stage. Actively involved in operations and board governance. Not a closed-end VC — capital is permanent and publicly listed.",https://www.bailador.com.au/,2026-07-09,https://app.notion.com/p/Bailador-Technology-Investments-3985de2226678190a347ebdb7a8beb45,investors_public,d48e1ecf-f09a-4907-bf69-dd347e5c8d3d,Bailador Technology Investments,https://www.bailador.com.au/,1.000,1,exact normalised name + domain match
Barayamal,Programs,Accelerator,National,,,Unspecified,Tech,Indigenous,"World-leading First Nations entrepreneurship organisation. Events, education, mentoring, and research.",https://barayamal.com.au/,2026-07-09,https://app.notion.com/p/Barayamal-3985de22266781e0ae64c043dfabb0d7,innovation_ecosystem,583f72cf-918e-462e-ad77-97544fd72135,Barayamal,https://barayamal.com.au/,1.000,1,exact normalised name + domain match
Beachhead Venture Capital,Funding,Investor,National,$200k - $1m,,Unspecified,FinTech; SaaS,,"Australian early-stage VC investing $200k–$1m in fintech, SaaS, and blockchain startups at Seed and Series A. Sector-focused — not suitable for founders outside these three verticals. Provides hands-on support through its network of founders and operators.",https://beachhead.vc/,2026-07-09,https://app.notion.com/p/Beachhead-Venture-Capital-3985de222667813fb6b7ca2aff030f18,investors_public,60ee5af5-390d-422f-97ad-b3227b9abadf,Beachhead Venture Capital,https://beachhead.vc/,1.000,3,exact normalised name + domain match
Billfolda Ventures,Funding,Investor,National,$200k - $2m,,Unspecified,Tech,,Australian sector-agnostic VC investing $200k–$2m from Angel through Series A. Backs founders from any industry with scalable technology businesses. Open to first-time founders. Cheque size flexible depending on stage and round structure.,https://billfolda.vc/,2026-07-09,https://app.notion.com/p/Billfolda-Ventures-3985de22266781cfa9c8fab5a6411c2e,investors_public,190eab6f-32b4-42e1-8d6a-0d1d555661d8,Billfolda Ventures,https://www.billfolda.vc/,1.000,3,exact normalised name + domain match
Black Nova VC,Funding,Investor,National,~$750k,,Unspecified,SaaS,,"Pre-Seed and Seed VC investing an average of $750k in mission-critical, workflow-led B2B software targeting regulated and operations-heavy industries. Not suitable for consumer businesses or sector-agnostic software. Portfolio companies must serve mid-market or enterprise customers solving persistent, unglamorous business problems.",https://www.blacknovavc.com/,2026-07-09,https://app.notion.com/p/Black-Nova-VC-3985de2226678185a4eecac20cad4f43,investors_public,fb83aa24-f041-4319-b6d4-64428fb7a915,Black Nova VC,https://blacknova.vc/,1.000,1,exact normalised name match (no domain overlap)
Black Sheep Capital,Funding,Investor,National,,,Unspecified,Tech,,Australian early-stage VC investing at Seed and Series A in sector-agnostic technology companies. Backs founders with bold ambitions and unconventional approaches. Cheque size not publicly disclosed.,https://blacksheepcapital.com.au/,2026-07-09,https://app.notion.com/p/Black-Sheep-Capital-3985de2226678106ae14eb9d3eb643ae,investors_public,9366dc26-0231-4370-b6dd-dbdbebd4a940,Black Sheep Capital,https://blacksheepcapital.com.au/,1.000,1,exact normalised name + domain match
Blackbird Ventures,Funding,Investor,National,First cheques from ~$150k (pre-seed) through growth,Always open,Open / Rolling,Tech,,"Australia's largest VC with $10B+ AUM. Pre-seed to growth stage. Portfolio includes Canva, Dovetail, Culture Amp. Hosts Sunrise Festival.",https://blackbird.vc/,2026-07-09,https://app.notion.com/p/Blackbird-Ventures-3985de22266781c09b01d0ab95d746ce,investors_public,c2eb13ea-860d-4a21-8ea0-c1223c3fe5e4,Blackbird Ventures,https://www.blackbird.vc,1.000,5,exact normalised name + domain match
Boson Ventures,Funding,Investor,National,$100k - $300k,,Unspecified,Tech,,Pre-Seed and Seed micro-VC investing $100k–$300k in sector-agnostic technology startups that create real value for society. Invests in Australian and global founders. Does not invest in companies without a clear societal benefit. First-cheque investor.,https://www.boson.vc/,2026-07-09,https://app.notion.com/p/Boson-Ventures-3985de22266781dc8795e8a63b817b4e,investors_public,8cd28bf1-5961-4f3f-877a-bea6d2287496,Boson Ventures,https://www.boson.vc/,1.000,23,exact normalised name + domain match
Brandon Capital Partners,Funding,Investor,National,$2m – $30m+ (life sciences seed to expansion; A$430m Fund 6),Always open,Unspecified,BioTech,,"Life sciences-only VC managing the Medical Research Commercialisation Fund (MRCF). Invests from Seed through Series B exclusively in biotechnology, medical devices, and life sciences. Backed by major Australian superannuation funds and medical research institutes. Not suitable for companies outside life sciences and biotech.",https://brandoncapital.vc/,2026-07-09,https://app.notion.com/p/Brandon-Capital-Partners-3985de2226678178bb78cf11a515768e,investors_public,669353a8-44bd-4963-8fda-8866ee6f1a50,Brandon Capital Partners,https://brandoncapital.vc/,1.000,4,exact normalised name + domain match
Breakthrough Victoria,Funding,Investor,VIC,$500k – $30m+ (patient capital; rebranding to Innovation Victoria),Always open,Open / Rolling,DeepTech; HealthTech; AgTech; CleanTech,,"Victoria's $2B patient capital fund supporting commercialisation of research and deep tech innovation, pre-seed to Series B. Runs the University Innovation Platform ($100M across 6 universities) and Fellowship Program ($7.5M creating 50 startups from researchers, $150K per startup). Focus sectors: advanced manufacturing, agri-food, clean economy, digital technologies, health and life sciences.",https://www.breakthroughvictoria.com/,2026-07-09,https://app.notion.com/p/Breakthrough-Victoria-3985de22266781fbb26ce7d4f6ef1e63,investors_public,cd266f2a-618a-4345-98ff-553cb08ae1b8,Breakthrough Victoria,https://breakthroughvictoria.com/,1.000,1,exact normalised name + domain match
Breyer Capital,Funding,Investor,National,$1m - $25m,,Unspecified,AI/ML; FinTech; HealthTech,,"US-based VC firm founded by Jim Breyer (early Facebook investor). Invests globally including in emerging markets. Sectors: AI, AI Health, Consumer Software, Media and Gaming, FinTech, Enterprise and Data, Security, Defence Tech, and Climate. Early to growth stage. Notable portfolio: Meta, Spotify, Etsy, Grammarly, Epic Games. No confirmed dedicated Australia programme — invests globally on a deal-by-deal basis.",https://www.breyercapital.com/,2026-07-09,https://app.notion.com/p/Breyer-Capital-3985de22266781fb80a1cdf92d5adcd1,investors_public,c379897a-de2d-4818-a642-c7d2c5beb96c,Breyer Capital,https://breyercapital.com/,1.000,4,exact normalised name + domain match
BridgeLane Group,Funding,Investor,National,,,Unspecified,Tech; SaaS; FinTech,,"Sydney-based single family office investing across venture capital, agriculture, and real estate. VC activity focuses on technology companies at Seed through Series A, with a sector-agnostic approach across enterprise software, fintech, and consumer tech. Also incubates new businesses. Cheque size not publicly disclosed.",https://bridgelanegroup.com.au/,2026-07-09,https://app.notion.com/p/BridgeLane-Group-3985de222667810c9db6c218b0e0bb24,investors_public,386f19ee-1d81-4d36-9b66-fc705bee37f4,BridgeLane Group,https://bridgelane.com.au/,1.000,1,exact normalised name match (no domain overlap)
Brisbane Angels,Funding,Investor,QLD,$350k - $3m (syndicated),Monthly pitch nights,Scheduled / Dated,Tech,,Queensland-based angel network supporting local startups.,https://www.brisbanangels.com.au/,2026-07-09,https://app.notion.com/p/Brisbane-Angels-3985de22266781e0aa7aca958ac7b072,investors_public,c8661856-0a51-4b16-bff5-dd385b940d07,Brisbane Angels,https://www.brisbaneangels.com.au,1.000,1,exact normalised name match (no domain overlap)
Cardinia Ventures,Funding,Investor,National,,,Unspecified,Tech; SaaS; EdTech,,"Sydney-based VC investing in software and hardware companies from Pre-Seed through Series A. Backs ambitious technology founders across enterprise applications, SaaS, edtech, logistics, and AI in Australia, the US, and Southeast Asia. Cheque size not publicly disclosed.",https://www.cardiniaventures.com/,2026-07-09,https://app.notion.com/p/Cardinia-Ventures-3985de22266781c4a220cedc3701e4b5,investors_public,3b98dc91-6cc6-47c2-9043-461a1e669c4d,Cardinia Ventures,https://www.cardiniaventures.com/,1.000,13,exact normalised name + domain match
Carthona Capital,Funding,Investor,National,$1m - $3m initial (Pre-seed to Series A),Always open,Open / Rolling,Tech,,"VC with ~$360M under management. Pre-seed to Series A in consumer, fintech, AI, and enterprise software. Carbon neutral certified.",https://www.carthonaCapital.com.au/,2026-07-09,https://app.notion.com/p/Carthona-Capital-3985de222667814dbd02d6f02cf3a775,investors_public,e8f1e91b-6673-4e70-bb86-85d363dd51b0,Carthona Capital,https://www.carthonacapital.com/,1.000,5,exact normalised name match (no domain overlap)
CERI,Programs,University,WA,,,Unspecified,,,"WA social enterprise since 2016. 1,150+ graduates, $114M combined valuations. Programs include Entrepreneurial Mindset Bootcamp.",https://www.ceri.org.au/,2026-07-09,https://app.notion.com/p/CERI-3985de222667815faed4c159cbfb9712,innovation_ecosystem,cc0d9827-8ce6-4624-8593-338acb5eb662,CERI,https://www.ceri.org.au/,1.000,1,exact normalised name + domain match
Cicada Innovations,Programs,Accelerator,NSW,,Apply anytime,Open / Rolling,DeepTech; HealthTech,,"Australia's leading deep tech incubator with 25+ year track record. 400+ startups, $6.1B+ raised. Custom labs in Eveleigh, Westmead HealthTechHub.",https://www.cicadainnovations.com/,2026-07-09,https://app.notion.com/p/Cicada-Innovations-3985de222667814fbaa2ea53b8fe7054,investors_public,98c39359-d11b-4c6e-ba6f-7240f5d0b04f,Cicada Innovations,https://www.cicadainnovations.com,1.000,3,exact normalised name + domain match
City of Melbourne Business Growth and Impact Grants,Funding,Grant,VIC,"$10,000 - $50,000 (ex GST)","Annual, opens Oct",Scheduled / Dated,,,"Competitive funding for small businesses, startups and social enterprises operating within the City of Melbourne. Four streams: Expansion (new product/market/relocation), Social Impact (B-Corp or social enterprise), Shopfront Occupancy (activate vacant shopfronts for 6+ months), Social Enterprise. Co-contribution option for larger grants. Annual round typically opens October.",https://www.melbourne.vic.gov.au/business/grants/,2026-07-09,https://app.notion.com/p/City-of-Melbourne-Business-Growth-and-Impact-Grants-3985de22266781a69691d28837bf82e2,investors_public,7e27c6b7-6914-4a34-88be-de2dba1e3c82,City of Melbourne - Small Business & Social Enterprise Grant,https://www.melbourne.vic.gov.au/business/grants-tenders/small-business-grants/Pages/small-business-grants.aspx,0.654,1,full-host match + name similarity 0.65
Clean Energy Finance Corporation (CEFC),Funding,Investor,National,,,Unspecified,CleanTech,,"Australian federal government-backed specialist climate investor deploying debt and equity across renewable energy, energy storage, electrification, clean transport, agriculture, and climate technology. Not a traditional VC — co-finances projects and funds at growth and infrastructure scale. Over $24b deployed. A dedicated clean energy innovation mandate covers earlier-stage climate tech.",https://www.cefc.com.au/,2026-07-09,https://app.notion.com/p/Clean-Energy-Finance-Corporation-CEFC-3985de22266781498be5ee224f263ece,investors_public,d4cd518d-e119-403b-8e7a-0d5d9c91d116,Clean Energy Finance Corporation (CEFC),https://www.cefc.com.au/,1.000,1,exact normalised name + domain match
Climate Tech Partners,Funding,Investor,National,,,Unspecified,CleanTech,,"Melbourne-based climate-focused VC launched 2023. Targets Series A investments in breakthrough climate technologies: grid tech, low-carbon fuels, and climate adaptation. Backed by Australian Ethical, CEFC, Qantas, and Airbus. $50m debut fund. Climate sector only — founders outside this space will not qualify.",https://climatetech.partners/,2026-07-09,https://app.notion.com/p/Climate-Tech-Partners-3985de22266781429dc4e025f6147d39,investors_public,b8f84aed-e903-48a7-83b0-c2ca28633b44,Climate Tech Partners,https://climatetech.partners/,1.000,1,exact normalised name + domain match
Clinton Capital Partners,Funding,Investor,National,,,Unspecified,FinTech; HealthTech; EdTech; SaaS,,"Sydney-based capital advisory firm that raises capital for early-stage companies and co-invests its own capital. Covers Seed through IPO across fintech, healthtech, edtech, and software. Access to a global network of approximately 5,000 family offices and institutional investors. Operates on a success-fee model — note this is an advisory firm, not a direct VC fund.",https://www.clintoncapitalpartners.com.au/,2026-07-09,https://app.notion.com/p/Clinton-Capital-Partners-3985de22266781a6bebdde59ac36ad5e,investors_public,70ad30db-47d4-4c98-bbcf-2713efeb9eeb,Clinton Capital Partners,https://www.clintoncapitalpartners.com.au/,1.000,4,exact normalised name + domain match
Common Sense Ventures,Funding,Investor,National,$100k - $1m,,Unspecified,Tech; SaaS,,"Australian family office investing $100k–$1m in early-stage software, media, and SaaS companies. Backs founders at seed stage and earlier, with a preference for being the first outside money in. Actively helps Australian companies expand to the US. Portfolio includes two ASX IPO exits.",https://www.commonsense.vc/,2026-07-09,https://app.notion.com/p/Common-Sense-Ventures-3985de22266781cea3d3e625cf11b6c7,investors_public,dec52523-ed1c-4e13-81d8-0551fbd45bbf,Common Sense Ventures,https://www.commonsense.vc/,1.000,2,exact normalised name + domain match
CORE Innovation Hub,Programs,Accelerator,National,,,Unspecified,DeepTech; CleanTech,,"Mining, resources, energy and defence innovation hub with coworking and startup programs. Connects startups with industry partners in the resources sector.",https://www.corehub.com.au/,2026-07-09,https://app.notion.com/p/CORE-Innovation-Hub-3985de222667811194a8c36d14d9d910,innovation_ecosystem,e9ba4073-fdd6-42b4-abc3-ad265abaf147,CORE Innovation Hub,https://www.corehub.com.au/adelaide,1.000,1,exact normalised name + domain match
CP Ventures,Funding,Investor,National,$100k - $500k,,Unspecified,Tech; SaaS; AI; FinTech,,"Sydney-based VC investing globally at Pre-Seed and Seed in highly scalable breakthrough technology companies aligned with Industry 4.0. Looks for founders solving massive global problems with potential for rapid revenue growth. Sectors include enterprise software, SaaS, AI, e-commerce, and marketplaces. Sweet spot approximately $300k; range $100k–$500k.",https://cp.ventures/,2026-07-09,https://app.notion.com/p/CP-Ventures-3985de22266781d79be7fabce39725c3,investors_public,a48a1db1-82d9-4b7c-af7a-923284c2d613,CP Ventures,https://cp.ventures/,1.000,34,exact normalised name + domain match
CSIRO Kick-Start Program,Funding,Grant,National,"Up to 50,000",Apply anytime,Open / Rolling,DeepTech,,Matched funding for R&D projects in collaboration with CSIRO. For startups and small businesses with revenue under $10M.,https://www.csiro.au/en/work-with-us/funding-programs/kick-start,2026-07-09,https://app.notion.com/p/CSIRO-Kick-Start-Program-3985de2226678162a22fc121b4d81a9d,investors_public,b892911f-957b-47d1-a29d-a7bdca57f936,CSIRO Kick-Start Program,https://www.csiro.au/en/work-with-us/funding-programs/sme/csiro-kick-start/about,1.000,3,exact normalised name + domain match
Curtin Accelerate,Programs,University,WA,,"Jan-Apr, Pitch Night Apr",Scheduled / Dated,,,"Curtin University's 8-week startup program with weekly sessions, 2-week mentoring period, and Pitch Night. Separate from the week-long Ignition program.",https://accelerate.curtin.edu.au/,2026-07-09,https://app.notion.com/p/Curtin-Accelerate-3985de222667811c8cb9e3e597e98b1c,innovation_ecosystem,85712cdb-4175-4f39-b3a9-63559a204dfe,Curtin Accelerate,https://research.curtin.edu.au/industry-partners/accelerate/,1.000,5,exact normalised name + domain match
Curtin Ignition,Programs,University,WA,,August-September,Scheduled / Dated,,,Curtin University's intensive week-long startup program in Perth. Focus on research commercialisation and early-stage ventures. Scholarships available.,https://www.ignition.curtin.edu.au/,2026-07-09,https://app.notion.com/p/Curtin-Ignition-3985de222667819a9dbbde1741cc0d09,innovation_ecosystem,0c899bff-4249-4565-8c94-80cc01d19fde,Curtin Ignition,https://businesslaw.curtin.edu.au/industry/executive-education/programs/ignition/,1.000,3,exact normalised name + domain match
Darcy Naunton,Funding,Investor,National,,,Unspecified,SaaS,,Individual investor — Partner at Black Nova VC and co-founder of YBF Ventures. Invests personally at Pre-Seed and Seed in B2B SaaS and tech startups. Also Chairman at Tractor Ventures. Not a fund — direct angel/partner-level investments only. CFA-qualified.,https://blacknova.vc/team/darcy-naunton/,2026-07-09,https://app.notion.com/p/Darcy-Naunton-3985de22266781f19c65fcfce91e232d,investors_public,12211b46-e27a-4fad-9980-04720d29f1fa,Darcy Naunton,https://blacknova.vc/,1.000,2,exact normalised name + domain match
