Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL
Australian Network on Disability,Connections,Community,National,,,Unspecified,,Disability,Membership organisation connecting employers and businesses to disability inclusion best practices.,https://www.and.org.au/,2026-07-09,https://app.notion.com/p/Australian-Network-on-Disability-3985de222667815f8b92cda61b30e7d8
Australian Startup VC Directory,Advice,Tool,National,,,Unspecified,,,"Curated database of 150 venture capital firms active in Australia and New Zealand, with details on cheque size, sector focus, investment stage, and how to apply.",https://getsova.com.au/directory.html,2026-07-09,https://app.notion.com/p/Australian-Startup-VC-Directory-3985de2226678179a64ee7889a776247
Australian Technologies Competition,Funding,Competition,National,"100,000","Applications open Mar 2026, Finals Sep 2026",Scheduled / Dated,Tech,,"$100,000 investment package from Scalare Partners. Free entry for tech scale-ups across 12+ sectors. Launch event 10 Mar at Tank Stream Labs Sydney.",https://www.austechcomp.com/,2026-07-09,https://app.notion.com/p/Australian-Technologies-Competition-3985de2226678148b221c714282a0914
AWS Activate,Funding,Corporate,National,"Up to 100,000 credits",Apply anytime,Open / Rolling,Tech,,"Up to $100K AWS credits for startups backed by accelerators or VCs. Cloud infrastructure, technical support.",https://aws.amazon.com/activate/,2026-07-09,https://app.notion.com/p/AWS-Activate-3985de22266781c1beb6e690cd82e124
BHP Xplor,Funding,Corporate,National,"Up to US$500,000",Sep-Oct applications,Scheduled / Dated,DeepTech,,9-month accelerator for critical minerals exploration. Up to US$500K equity-free funding per company. 21 alumni companies since 2023.,https://www.bhp.com/what-we-do/xplor,2026-07-09,https://app.notion.com/p/BHP-Xplor-3985de22266781a29afdc2ef4cbbccfb
Birchal,Funding,Investor,National,"50,000 - 5 million",Apply anytime,Open / Rolling,Tech,,"Australia's largest equity crowdfunding platform. $218M+ raised, 79K+ investors, 300+ companies funded. Great for consumer brands and community-driven businesses.",https://www.birchal.com/,2026-07-09,https://app.notion.com/p/Birchal-3985de22266781b6ab52ca6a601164de
Birchal First,Funding,Investor,National,,Apply anytime,Open / Rolling,Tech,Women; Indigenous; Regional; Migrant,"Birchal's early-stage program for underrepresented founders including women, Indigenous, regional, and migrant entrepreneurs. Activated $6M+ for early-stage startups.",https://www.birchal.com/,2026-07-09,https://app.notion.com/p/Birchal-First-3985de22266781a6851deccb67afe88c
Biztech Lawyers,Advice,Expert,VIC,,,Unspecified,,,"Melbourne-based technology law firm serving the startup community with commercial, IP, and corporate advice.",https://www.biztechlawyers.com.au/,2026-07-09,https://app.notion.com/p/Biztech-Lawyers-3985de22266781749b74c883d66f3908
BlueRock,Advice,Expert,National,,,Unspecified,,,"Entrepreneurial professional services firm offering accounting, legal, finance, insurance, digital marketing, and R&D incentives under one roof. Dedicated startup advisory practice.",https://www.bluerock.com.au/,2026-07-09,https://app.notion.com/p/BlueRock-3985de222667818891eff2c8bd08577d
Brisbane Lord Mayor's Women in Business Grant,Funding,Grant,QLD,"Up to 5,000",Sep-Oct annually,Scheduled / Dated,,Women,"Up to $5,000 for Brisbane women-led businesses for equipment, training, education, or professional services. Includes 12-month development program via Brisbane Business Hub. Over $1M awarded since 2021.",https://www.brisbane.qld.gov.au/,2026-07-09,https://app.notion.com/p/Brisbane-Lord-Mayor-s-Women-in-Business-Grant-3985de2226678137bd46fe82a1b35e2e
Business Innovation Program NT,Funding,Grant,NT,"Up to 30,000",Closed - program under review,Unspecified,,,NT Government grants plus advisor support for product development and market expansion.,https://business.nt.gov.au/,2026-07-09,https://app.notion.com/p/Business-Innovation-Program-NT-3985de22266781bca507d1a1d98c5edb
Business Queensland,Advice,Government,QLD,,,Unspecified,,,Queensland's business support portal featuring Advance Queensland initiatives and Mentoring for Growth program.,https://www.business.qld.gov.au/,2026-07-09,https://app.notion.com/p/Business-Queensland-3985de22266781549704f90f89a28d7f
Business Tasmania,Advice,Government,TAS,,,Unspecified,,,Tasmania's business support portal with Business Growth Loan Scheme and incubator programs.,https://www.business.tas.gov.au/,2026-07-09,https://app.notion.com/p/Business-Tasmania-3985de2226678150ba2df0f037f94ddc
Business Victoria Grants Finder,Advice,Tool,VIC,,Always open,Open / Rolling,,,"Find and apply for Victorian Government grants, funding and financial assistance for businesses, including eligibility criteria and application dates.",https://business.vic.gov.au/grants-and-programs/,2026-07-09,https://app.notion.com/p/Business-Victoria-Grants-Finder-3985de222667811183dcf1bc09b59693
Cartier Women's Initiative,Funding,Competition,National,"USD $100,000",Closes 16 Jun 2026,Scheduled / Dated,,Women,"International award programme backing women-founded, for-profit businesses with social or environmental impact. Fellows receive USD $30,000 to $100,000 equity-free, plus mentoring, global visibility, and a year-long fellowship. Nine regional awards (including Oceania for Australian founders) plus a Science and Technology Pioneer Award. Requires annual revenue USD $50,000–$5 million, team of 5–250 (including contractors), and no more than USD $2 million dilutive funding raised. Science and Tech track excludes AI applications built on third-party models.",https://www.cartierwomensinitiative.com/,2026-07-09,https://app.notion.com/p/Cartier-Women-s-Initiative-3985de2226678145a30bc4e9f5535718
Cohort Innovation Space,Programs,Accelerator,QLD,,,Unspecified,HealthTech; Tech,,"Gold Coast Health and Knowledge Precinct launchpad for health, science and tech ventures. Runs LuminaX healthtech accelerator, InvestFest, NextGen pre-accelerator, Founders Club peer learning and monthly Office Hours mentoring.",https://cohortspace.com.au/,2026-07-09,https://app.notion.com/p/Cohort-Innovation-Space-3985de2226678125b8b0c5b6469c3ff9
Coralus (formerly SheEO),Funding,Investor,National,"50,000 - 100,000",Apply anytime,Open / Rolling,Tech,Women,"Radical generosity model offering 0% interest loans to women-led ventures, funded by a community of women Activators.",https://coralus.world/,2026-07-09,https://app.notion.com/p/Coralus-formerly-SheEO-3985de22266781a1b151fb4a28c2e8d1
Creative Destruction Lab Melbourne,Programs,Accelerator,VIC,"No funding - no fees, no equity",Annual (2026 applications close 24 Jul),Scheduled / Dated,DeepTech,,Nonprofit seed-stage program for deep-tech founders hosted by Monash Business School. Part of a global network connecting founders with experienced mentors.,https://creativedestructionlab.com/locations/melbourne/,2026-07-09,https://app.notion.com/p/Creative-Destruction-Lab-Melbourne-3985de22266781b28aa9d2b5609c385e
Cremorne Digital Hub,Connections,Community,VIC,,,Unspecified,Tech,,"Victorian Government-backed innovation hub connecting startups, scaleups, corporates and investors in Melbourne's Cremorne tech precinct. Coworking, corporate innovation programs, and inbound market support.",https://www.cremornedigitalhub.com.au/,2026-07-09,https://app.notion.com/p/Cremorne-Digital-Hub-3985de222667814ea17ffc5b1e5df3e7
Croc Pitch,Funding,Competition,NT,Up to 1 million,September annually,Scheduled / Dated,Tech,,"Northern Australia's largest startup pitch competition, run by the Darwin Innovation Hub. Winner receives up to $1M in Paspalis venture capital. Annual event each September.",https://crocpitch.com.au/,2026-07-09,https://app.notion.com/p/Croc-Pitch-3985de22266781f9817ef1efa83242aa
CUB (Club of United Business),Connections,Community,National,,,Unspecified,,,"Private business club connecting Australia's most innovative entrepreneurs and business leaders. 23,000+ member network across Sydney, Melbourne, Brisbane and Parramatta with 450+ annual events and physical clubhouses.",https://cub.club/,2026-07-09,https://app.notion.com/p/CUB-Club-of-United-Business-3985de2226678118a85dce03d94472ee
D10x Accelerator,Programs,Accelerator,NSW,"Up to 350,000",,Unspecified,Defence,,UNSW-led defence tech accelerator providing $350k per startup to develop dual-use technologies.,https://dtb.solutions/accelerators/,2026-07-09,https://app.notion.com/p/D10x-Accelerator-3985de22266781d1aba1edbf1d1fe442
Deakin Renewable Energy Pre-Accelerator,Programs,University,VIC,,,Unspecified,CleanTech,,LaunchVic-supported program helping Deakin students and researchers develop business ideas in the renewable energy sector.,https://www.deakin.edu.au/,2026-07-09,https://app.notion.com/p/Deakin-Renewable-Energy-Pre-Accelerator-3985de2226678153abe4f9db7d3e96b3
Defence Industry Development Grants (DIDG),Funding,Grant,National,"Up to 1,000,000",Multiple rounds,Scheduled / Dated,Defence,,"Up to $1M matched funding across four streams: Sovereign Priorities, Skilling, Export, and Security for defence startups.",https://www.defence.gov.au/business-industry/industry-programs,2026-07-09,https://app.notion.com/p/Defence-Industry-Development-Grants-DIDG-3985de222667817ba044c2e190bcc616
Defence Trailblazer,Programs,Accelerator,National,,,Unspecified,Defence,,"National defence innovation program funding collaborative R&D between startups, universities, and Defence.",https://dtb.solutions/,2026-07-09,https://app.notion.com/p/Defence-Trailblazer-3985de22266781759cb3f000671108f6
DEI Australia,Connections,Community,National,,,Unspecified,,Disability,"Diversity, equity, and inclusion charity supporting entrepreneurs and workers with disability.",https://getsova.com.au/directory.html,2026-07-09,https://app.notion.com/p/DEI-Australia-3985de22266781f88ba1d8fb01240d08
Disability Gateway,Advice,Government,National,,,Unspecified,,Disability,"Australian Government's central resource hub for people with disability, including business support.",https://www.disabilitygateway.gov.au/,2026-07-09,https://app.notion.com/p/Disability-Gateway-3985de2226678159a369c29cbf74c815
Earlypay,Funding,Investor,National,,Apply anytime,Open / Rolling,FinTech,,Invoice financing and equipment finance for SMEs. Turns unpaid invoices into working capital within 24 hours.,https://www.earlypay.com.au/,2026-07-09,https://app.notion.com/p/Earlypay-3985de2226678109af59c4f01b194daf
Entrepreneurs' Organisation (EO) Australia,Connections,Community,National,,,Unspecified,,,"Global peer-to-peer network of 18,000+ entrepreneurs with Australian chapters in most capital cities. Monthly forums, learning events, and access to the global EO network. For founders of businesses with US$1M+ revenue.",https://eonetwork.org/australia/,2026-07-09,https://app.notion.com/p/Entrepreneurs-Organisation-EO-Australia-3985de222667810984e0f86ba61fd145
Equity Mates Media,Advice,Expert,National,,,Unspecified,,,Financial media company making investing accessible for young Australians. Podcasts include Equity Mates Investing and Get Started Investing.,https://equitymates.com/,2026-07-09,https://app.notion.com/p/Equity-Mates-Media-3985de22266781ddb8c5cbb05500a3c4
EverestEngineering,Connections,Community,VIC,,,Unspecified,,,Global software engineering company with Melbourne roots. Partners with startups to build and scale products. Active in the Victorian startup community.,https://www.everestengineering.com.au/,2026-07-09,https://app.notion.com/p/EverestEngineering-3985de2226678186a87fdb9f2497eed5
Fearless Innovator Grant,Funding,Grant,SA,"$20,000–$30,000 (4x $20k Launch grants + 1x $30k Elevate grant)",2026 applications close 14 Aug; recipients announced 6 Nov 2026,Open / Rolling,,Women,SA Government grants for women founders to build and scale businesses. Rebranded from Fearless Innovator Grant to FoundHer Grant Program in 2026. Delivered with Women in Innovation (WINN) and Fearless Females Network.,https://business.sa.gov.au/programs/women-in-business/foundher,2026-07-09,https://app.notion.com/p/Fearless-Innovator-Grant-3985de2226678144bb0be28619e3ae26
Flinders NVI,Programs,University,SA,,,Unspecified,,,"Flinders University's New Venture Institute. eNVIsion incubator, Venture Dorm pre-accelerator, and student entrepreneurship programs in Adelaide.",https://www.flinders.edu.au/nvi,2026-07-09,https://app.notion.com/p/Flinders-NVI-3985de2226678198b3d8db46a9bf1172
Foundation for Young Australians,Connections,Community,National,,,Unspecified,,Youth,"National organisation backing young people (up to age 30) with grants, programs, and advocacy. Young Entrepreneurs program supports youth-led ventures.",https://fya.org.au/,2026-07-09,https://app.notion.com/p/Foundation-for-Young-Australians-3985de222667816ba635d5635b193203
Founders Factory Nature Tech,Programs,Accelerator,WA,,"6 startups per cohort, Feb intake",Scheduled / Dated,CleanTech; AgTech,,"Global venture studio's nature tech accelerator backed by BHP. Supports startups in mining rehabilitation, biodiversity monitoring, and environmental markets.",https://www.foundersfactory.com/sectors/nature-tech/,2026-07-09,https://app.notion.com/p/Founders-Factory-Nature-Tech-3985de2226678160b344ef4146abc67f
Foundr,Advice,Expert,National,,,Unspecified,,,"Melbourne-founded global media and education company for entrepreneurs. Magazine, podcasts, and courses from founders like Richard Branson interviews to startup playbooks.",https://foundr.com/,2026-07-09,https://app.notion.com/p/Foundr-3985de222667814faba8db690eed00ab
Game Plus,Connections,Community,National,,,Unspecified,Tech,,"Coworking and community hubs for game developers in Adelaide, Canberra and online. Connects game studios, publishers, and creative tech startups.",https://www.gameplus.com.au/,2026-07-09,https://app.notion.com/p/Game-Plus-3985de22266781999fc1fcb9bef04842
Good Humans Venture Studio,Programs,Accelerator,National,,,Unspecified,Tech,Women; Indigenous; Migrants; Disability,"Venture studio backing underrepresented founders including women, First Nations, migrant, and disabled entrepreneurs. Co-builds ventures from idea stage.",https://goodhumans.ventures/,2026-07-09,https://app.notion.com/p/Good-Humans-Venture-Studio-3985de22266781bb9ffde529565d3f32
Google Cloud for Startups,Funding,Corporate,National,"Up to 200,000 credits",Apply anytime,Open / Rolling,Tech,,"Cloud credits up to US$200K (US$350K for AI startups) over 2 years, technical training, and startup support for eligible companies.",https://cloud.google.com/startup,2026-07-09,https://app.notion.com/p/Google-Cloud-for-Startups-3985de222667819ba830d34ac09dee2a
Google for Startups Accelerator: AI First,Programs,Accelerator,National,Equity-free + $350K credits,Applications currently open; 10-week hybrid program (Sep–Nov),Open / Rolling,AI; Tech,,"10-week equity-free accelerator for AI-first startups in Australia. Technical deep dives, Google mentorship, up to US$350K in Cloud credits.",https://startup.google.com/programs/accelerator/australia-new-zealand/,2026-07-09,https://app.notion.com/p/Google-for-Startups-Accelerator-AI-First-3985de22266781bea7e1fc50e3c610ca
Grapple,Funding,Finance,National,"Line of credit $500,000+",Always open,Open / Rolling,FinTech,,Invoice finance platform for Australian SMEs. Line of credit against unpaid invoices with same-day funding.,https://grapplefinance.com.au/,2026-07-09,https://app.notion.com/p/Grapple-3985de222667810186f5c33cae3fc56a
Growth Summit,Connections,Community,National,,"Melbourne Feb, Sydney May (annual)",Scheduled / Dated,,,"Annual scaleup conference series connecting founders with growth experts, investors, and operators. Practical sessions on scaling revenue, teams, and operations.",https://growth-summit.com.au/,2026-07-09,https://app.notion.com/p/Growth-Summit-3985de22266781dd87c4ed2d0b11b9bb
HCF Catalyst,Funding,Corporate,National,"$50,000 initial investment (past cohorts)",Mar-Apr,Scheduled / Dated,HealthTech,,Australia's largest health insurer's accelerator for healthtech startups. Pilot opportunities with HCF's 1.9M members.,https://www.hcf.com.au/,2026-07-09,https://app.notion.com/p/HCF-Catalyst-3985de2226678109a722c1cac0c0a564
Her Tech Circle,Connections,Community,National,,,Unspecified,Tech,Women,"Community for women in tech and female founders. Events, mentoring circles, and job board across Australia.",https://hertechcircle.com.au/,2026-07-09,https://app.notion.com/p/Her-Tech-Circle-3985de222667810b99cce308cf76fe47
Humans of Australia,Connections,Community,National,,,Unspecified,,,Storytelling community celebrating diverse Australian stories including founder journeys.,https://www.instagram.com/humansofaustraliaaa/,2026-07-09,https://app.notion.com/p/Humans-of-Australia-3985de22266781f5ab15c664bce7e0e3
Impact North,Connections,Community,NT,,,Unspecified,,Indigenous,NT community organisation supporting Indigenous entrepreneurship and social enterprise across Northern Australia.,https://www.impactnorth.org.au/,2026-07-09,https://app.notion.com/p/Impact-North-3985de2226678107b220e4bcc6ebac95
Indiegogo,Funding,Investor,National,"1,000 - 1 million",Apply anytime,Open / Rolling,Tech,,"Global crowdfunding platform for innovative products. Flexible and fixed funding models for hardware, design, and creative projects.",https://www.indiegogo.com/,2026-07-09,https://app.notion.com/p/Indiegogo-3985de222667813c86b8fe26d302b0c7
Indigenous Business Australia,Advice,Government,National,"Up to 100,000",Apply anytime,Open / Rolling,,Indigenous,"Business loans, support packages, and workshops for First Nations entrepreneurs. Start-up finance packages combine a loan with business support.",https://www.iba.gov.au/,2026-07-09,https://app.notion.com/p/Indigenous-Business-Australia-3985de22266781b9b0a3f3bc71e0fe43
InnovationAus Awards for Excellence,Funding,Competition,National,Recognition award (no cash prize),2026 dates TBA,Scheduled / Dated,Tech; CleanTech; HealthTech,,"National awards recognising Australian technology innovation across 20+ categories including startups, cleantech, medtech, and AI.",https://www.innovationaus.com/awards/,2026-07-09,https://app.notion.com/p/InnovationAus-Awards-for-Excellence-3985de22266781f2b878dc9911fd7a8f
Inspiring Rare Birds,Connections,Community,National,,,Unspecified,,Women,"Global entrepreneurship movement supporting women founders through mentoring programs, education, and community. 30,000+ women supported.",https://inspiringrarebirds.com/,2026-07-09,https://app.notion.com/p/Inspiring-Rare-Birds-3985de22266781b4ab08efafc7ee028f
Intersekt Festival,Connections,Community,VIC,,3-4 Sep 2026,Scheduled / Dated,FinTech,,"Australia's premier fintech festival in Melbourne. 2,000+ attendees, international speakers, and startup showcases.",https://www.intersektfintech.com/,2026-07-09,https://app.notion.com/p/Intersekt-Festival-3985de2226678123b7e5fb332d97234d
Jumar Bioincubator,Programs,Accelerator,VIC,,,Unspecified,BioTech; HealthTech,,Melbourne biotech incubator with wet labs and shared facilities. Purpose-built for early-stage biotech and medtech ventures at the Parkville precinct.,https://www.jumarbio.com/,2026-07-09,https://app.notion.com/p/Jumar-Bioincubator-3985de22266781ac8335ed16e27512c8
Kickstarter,Funding,Investor,National,"1,000 - 1 million",Apply anytime,Open / Rolling,Tech,,"Global rewards-based crowdfunding platform for creative projects, hardware, and design. All-or-nothing funding model.",https://www.kickstarter.com/,2026-07-09,https://app.notion.com/p/Kickstarter-3985de2226678110b92ecccf24572107
La Trobe LaunchPad Pre-Accelerator,Programs,University,VIC,,,Unspecified,,,"La Trobe University's pre-accelerator for students, staff, and alumni. Idea validation, mentoring, and pathway to external accelerators.",https://www.latrobe.edu.au/launchpad,2026-07-09,https://app.notion.com/p/La-Trobe-LaunchPad-Pre-Accelerator-3985de22266781e2aa7ce501b01e63f9
Lawpath,Advice,Expert,National,,,Unspecified,,,"Online legal platform for small businesses. Legal documents, company registration, and lawyer marketplace at startup-friendly prices.",https://lawpath.com/,2026-07-09,https://app.notion.com/p/Lawpath-3985de222667819e8122c1805aa5e44d
LGBTQ+ Founders Network,Connections,Community,National,,,Unspecified,,LGBTQ+,"Community connecting LGBTQ+ entrepreneurs across Australia. Events, mentoring, and visibility for queer-led ventures.",https://getsova.com.au/directory.html,2026-07-09,https://app.notion.com/p/LGBTQ-Founders-Network-3985de22266781b49bc5fa43e2b02137
LIFTWOMEN,Funding,Competition,National,40000,Annual (April),Scheduled / Dated,Tech,Women,Grant program for women entrepreneurs. $40K in grants annually plus crowdfunding campaign support.,https://www.liftwomen.com/,2026-07-09,https://app.notion.com/p/LIFTWOMEN-3985de222667815a9374fca1b0f1df38
LiftWomen,Funding,Grant,National,"AU$5,000",Rolling (grant rounds annual),Open / Rolling,Tech,Women,"Crowdfunding platform for women-led ventures with annual grant rounds. AU$5,000 grants plus campaign support for female founders.",https://www.liftwomen.com/,2026-07-09,https://app.notion.com/p/LiftWomen-3985de22266781b88d23edb9630607d9
Little Tokyo Two,Connections,Community,QLD,,,Unspecified,,,"Brisbane coworking with 5 locations across SE QLD. Starting Stage Plan for startups at $160/month includes accelerator and incubator program access, mentoring, workshops. 600+ businesses supported.",https://www.lt2.co/,2026-07-09,https://app.notion.com/p/Little-Tokyo-Two-3985de22266781458171ed0e4c773111
LiveHaus,Connections,Community,National,,,Unspecified,,,Startup community and events platform connecting founders across Australia.,https://thelivehaus.com/,2026-07-09,https://app.notion.com/p/LiveHaus-3985de22266781ac8ec6dba319a0f2d5
Lot Fourteen,Connections,Community,SA,,,Unspecified,Defence; DeepTech,,"Adelaide's innovation precinct home to 1,400+ workers across space, defence, AI, and cyber. Houses Stone & Chalk, Australian Space Agency, and MIT Living Lab.",https://lotfourteen.com.au/,2026-07-09,https://app.notion.com/p/Lot-Fourteen-3985de2226678126bcbefb498527d8b6
Luna Legal,Advice,Expert,National,,,Unspecified,,,"Boutique law firm for startups and scaleups. Capital raising, ESOPs, and commercial contracts with fixed-fee options.",https://lunalegal.com.au/,2026-07-09,https://app.notion.com/p/Luna-Legal-3985de222667816a8fb7cb4dc21375b8
ManuFutures (Deakin University),Programs,University,VIC,,,Unspecified,DeepTech,,Deakin's advanced manufacturing incubator at Waurn Ponds. Purpose-built facilities for hardware and manufacturing startups.,https://manufutures.deakin.edu.au/,2026-07-09,https://app.notion.com/p/ManuFutures-Deakin-University-3985de22266781468e48fb3ad65b884f
Many Rivers,Advice,Government,National,,,Unspecified,,Indigenous,Microenterprise development charity providing business coaching and microloans to Indigenous entrepreneurs and underserved communities.,https://www.manyrivers.org.au/,2026-07-09,https://app.notion.com/p/Many-Rivers-3985de22266781bd9c63d239258ad745
Medical Research Future Fund (MRFF),Funding,Grant,National,Varies,Rolling,Open / Rolling,HealthTech,,$22B federal fund supporting health and medical research commercialisation. Grant opportunities across research translation and medtech.,https://www.health.gov.au/our-work/mrff,2026-07-09,https://app.notion.com/p/Medical-Research-Future-Fund-MRFF-3985de22266781d3b800e4a9a15e6f4c
Mentor Walks,Advice,Expert,National,,Monthly,Scheduled / Dated,,Women,Walking mentorship program connecting women leaders with emerging women professionals and founders. Monthly walks in cities across Australia.,https://www.mentorwalks.com.au/,2026-07-09,https://app.notion.com/p/Mentor-Walks-3985de222667810eb8cec417a993fc25
Meshpoints,Connections,Community,WA,,,Unspecified,,,WA startup ecosystem connector running events and programs across Perth and regional WA.,https://www.meshpoints.com/,2026-07-09,https://app.notion.com/p/Meshpoints-3985de22266781d39492d04381821e0c
NIAA Indigenous Entrepreneurs Fund,Advice,Government,National,Varies,Rolling,Open / Rolling,,Indigenous,National Indigenous Australians Agency funding for First Nations business owners. Capital grants and business support.,https://www.niaa.gov.au/,2026-07-09,https://app.notion.com/p/NIAA-Indigenous-Entrepreneurs-Fund-3985de2226678154b937e60b81990f71
NSW Agriculture Innovation and Growth Program,Funding,Grant,NSW,Varies,Closed (last round closed 23 Jan 2026),Scheduled / Dated,AgTech,,"NSW Government funding for agricultural innovation, agtech adoption, and farm productivity improvements.",https://www.nsw.gov.au/,2026-07-09,https://app.notion.com/p/NSW-Agriculture-Innovation-and-Growth-Program-3985de22266781ad930bca26bfc80f71
NSW Clean Technology Innovation Grants,Funding,Grant,NSW,Varies,Open - closes 8 Sep 2026,Open / Rolling,CleanTech,,NSW Government grants supporting clean technology R&D and commercialisation to reduce emissions.,https://www.nsw.gov.au/,2026-07-09,https://app.notion.com/p/NSW-Clean-Technology-Innovation-Grants-3985de2226678144bc6fca4b60eb2a79
NSW Grants and Funding Finder,Advice,Tool,NSW,,Always open,Open / Rolling,,,"NSW Government's searchable directory of grants, rebates, and funding programs for businesses and individuals.",https://www.nsw.gov.au/grants-and-funding,2026-07-09,https://app.notion.com/p/NSW-Grants-and-Funding-Finder-3985de22266781f7a903d77b3e44ec79
NSW Innovation Ecosystem Navigator,Advice,Tool,NSW,,Always open,Open / Rolling,,,"Interactive directory mapping NSW's innovation ecosystem: accelerators, investors, hubs, and support programs.",https://nswinnovation.notion.site/innovationecosystem-navigator,2026-07-09,https://app.notion.com/p/NSW-Innovation-Ecosystem-Navigator-3985de22266781be8bf4f964c352f206
NSW MVP Ventures Program,Funding,Grant,NSW,"25,000 - 75,000",Round 3 closed 10 Apr 2026; check for Round 4 opening,Inactive,Tech; AgTech; HealthTech; CleanTech,Women; Regional; Indigenous,"Matched grants $25K-$75K for NSW startups commercialising minimum viable products. Priority for women, regional, and Indigenous founders.",https://www.nsw.gov.au/business-and-economy/innovation/grants-and-programs/mvp-ventures-program,2026-07-09,https://app.notion.com/p/NSW-MVP-Ventures-Program-3985de222667815ca09bfd894b7a7f28
NT Business Innovation Support,Funding,Grant,NT,,,Unspecified,,,NT Government innovation support including vouchers and advisory for Territory businesses developing new products.,https://business.nt.gov.au/,2026-07-09,https://app.notion.com/p/NT-Business-Innovation-Support-3985de22266781dd9c25f77cfa7d4649
NT Indigenous Business Network,Connections,Community,NT,,,Unspecified,,Indigenous,"Network supporting Aboriginal and Torres Strait Islander businesses across the Northern Territory. Events, directory, and advocacy.",https://ntibn.org.au/,2026-07-09,https://app.notion.com/p/NT-Indigenous-Business-Network-3985de22266781a09e26e24d40a75370
One Roof Unstoppable Founder Competition,Funding,Competition,National,5000,Annual (March),Scheduled / Dated,,Women,"Annual pitch competition spotlighting women founders. Winners receive cash, coaching, and community access from One Roof's network.",https://www.oneroof.com.au/,2026-07-09,https://app.notion.com/p/One-Roof-Unstoppable-Founder-Competition-3985de222667810496fada76c262f3a4
OnMarket,Funding,Investor,National,"50,000 - 5 million",Apply anytime,Open / Rolling,Tech,,Equity crowdfunding and IPO platform. Retail investors access early-stage deals from $50 minimum investment.,https://www.onmarket.com.au/,2026-07-09,https://app.notion.com/p/OnMarket-3985de22266781bcb5e0f9f4a3c7196d
Out for Australia,Connections,Community,National,,,Unspecified,,LGBTQ+,National LGBTQ+ professional network with mentoring programs supporting queer professionals and founders early in their careers.,https://www.outforaustralia.org/,2026-07-09,https://app.notion.com/p/Out-for-Australia-3985de22266781eba81be734409fd496
