Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL
Birchal First,Funding,Investor,National,,Apply anytime,Open / Rolling,Tech,Women; Indigenous; Regional; Migrant,"Birchal's early-stage program for underrepresented founders including women, Indigenous, regional, and migrant entrepreneurs. Activated $6M+ for early-stage startups.",https://www.birchal.com/,2026-07-09,https://app.notion.com/p/Birchal-First-3985de22266781a6851deccb67afe88c
Biztech Lawyers,Advice,Expert,VIC,,,Unspecified,,,"Melbourne-based technology law firm serving the startup community with commercial, IP, and corporate advice.",https://www.biztechlawyers.com.au/,2026-07-09,https://app.notion.com/p/Biztech-Lawyers-3985de22266781749b74c883d66f3908
BlueRock,Advice,Expert,National,,,Unspecified,,,"Entrepreneurial professional services firm offering accounting, legal, finance, insurance, digital marketing, and R&D incentives under one roof. Dedicated startup advisory practice.",https://www.bluerock.com.au/,2026-07-09,https://app.notion.com/p/BlueRock-3985de222667818891eff2c8bd08577d
Brisbane Lord Mayor's Women in Business Grant,Funding,Grant,QLD,"Up to 5,000",Sep-Oct annually,Scheduled / Dated,,Women,"Up to $5,000 for Brisbane women-led businesses for equipment, training, education, or professional services. Includes 12-month development program via Brisbane Business Hub. Over $1M awarded since 2021.",https://www.brisbane.qld.gov.au/,2026-07-09,https://app.notion.com/p/Brisbane-Lord-Mayor-s-Women-in-Business-Grant-3985de2226678137bd46fe82a1b35e2e
Business Queensland,Advice,Government,QLD,,,Unspecified,,,Queensland's business support portal featuring Advance Queensland initiatives and Mentoring for Growth program.,https://www.business.qld.gov.au/,2026-07-09,https://app.notion.com/p/Business-Queensland-3985de22266781549704f90f89a28d7f
Business Tasmania,Advice,Government,TAS,,,Unspecified,,,Tasmania's business support portal with Business Growth Loan Scheme and incubator programs.,https://www.business.tas.gov.au/,2026-07-09,https://app.notion.com/p/Business-Tasmania-3985de2226678150ba2df0f037f94ddc
Business Victoria Grants Finder,Advice,Tool,VIC,,Always open,Open / Rolling,,,"Find and apply for Victorian Government grants, funding and financial assistance for businesses, including eligibility criteria and application dates.",https://business.vic.gov.au/grants-and-programs/,2026-07-09,https://app.notion.com/p/Business-Victoria-Grants-Finder-3985de222667811183dcf1bc09b59693
Cartier Women's Initiative,Funding,Competition,National,"USD $100,000",Closes 16 Jun 2026,Scheduled / Dated,,Women,"International award programme backing women-founded, for-profit businesses with social or environmental impact. Fellows receive USD $30,000 to $100,000 equity-free, plus mentoring, global visibility, and a year-long fellowship. Nine regional awards (including Oceania for Australian founders) plus a Science and Technology Pioneer Award. Requires annual revenue USD $50,000–$5 million, team of 5–250 (including contractors), and no more than USD $2 million dilutive funding raised. Science and Tech track excludes AI applications built on third-party models.",https://www.cartierwomensinitiative.com/,2026-07-09,https://app.notion.com/p/Cartier-Women-s-Initiative-3985de2226678145a30bc4e9f5535718
Coralus (formerly SheEO),Funding,Investor,National,"50,000 - 100,000",Apply anytime,Open / Rolling,Tech,Women,"Radical generosity model offering 0% interest loans to women-led ventures, funded by a community of women Activators.",https://coralus.world/,2026-07-09,https://app.notion.com/p/Coralus-formerly-SheEO-3985de22266781a1b151fb4a28c2e8d1
Creative Destruction Lab Melbourne,Programs,Accelerator,VIC,"No funding - no fees, no equity",Annual (2026 applications close 24 Jul),Scheduled / Dated,DeepTech,,Nonprofit seed-stage program for deep-tech founders hosted by Monash Business School. Part of a global network connecting founders with experienced mentors.,https://creativedestructionlab.com/locations/melbourne/,2026-07-09,https://app.notion.com/p/Creative-Destruction-Lab-Melbourne-3985de22266781b28aa9d2b5609c385e
Cremorne Digital Hub,Connections,Community,VIC,,,Unspecified,Tech,,"Victorian Government-backed innovation hub connecting startups, scaleups, corporates and investors in Melbourne's Cremorne tech precinct. Coworking, corporate innovation programs, and inbound market support.",https://www.cremornedigitalhub.com.au/,2026-07-09,https://app.notion.com/p/Cremorne-Digital-Hub-3985de222667814ea17ffc5b1e5df3e7
CUB (Club of United Business),Connections,Community,National,,,Unspecified,,,"Private business club connecting Australia's most innovative entrepreneurs and business leaders. 23,000+ member network across Sydney, Melbourne, Brisbane and Parramatta with 450+ annual events and physical clubhouses.",https://cub.club/,2026-07-09,https://app.notion.com/p/CUB-Club-of-United-Business-3985de2226678118a85dce03d94472ee
Defence Trailblazer,Programs,Accelerator,National,,,Unspecified,Defence,,"National defence innovation program funding collaborative R&D between startups, universities, and Defence.",https://dtb.solutions/,2026-07-09,https://app.notion.com/p/Defence-Trailblazer-3985de22266781759cb3f000671108f6
DEI Australia,Connections,Community,National,,,Unspecified,,Disability,"Diversity, equity, and inclusion charity supporting entrepreneurs and workers with disability.",https://getsova.com.au/directory.html,2026-07-09,https://app.notion.com/p/DEI-Australia-3985de22266781f88ba1d8fb01240d08
Disability Gateway,Advice,Government,National,,,Unspecified,,Disability,"Australian Government's central resource hub for people with disability, including business support.",https://www.disabilitygateway.gov.au/,2026-07-09,https://app.notion.com/p/Disability-Gateway-3985de2226678159a369c29cbf74c815
Earlypay,Funding,Investor,National,,Apply anytime,Open / Rolling,FinTech,,Invoice financing and equipment finance for SMEs. Turns unpaid invoices into working capital within 24 hours.,https://www.earlypay.com.au/,2026-07-09,https://app.notion.com/p/Earlypay-3985de2226678109af59c4f01b194daf
Entrepreneurs' Organisation (EO) Australia,Connections,Community,National,,,Unspecified,,,"Global peer-to-peer network of 18,000+ entrepreneurs with Australian chapters in most capital cities. Monthly forums, learning events, and access to the global EO network. For founders of businesses with US$1M+ revenue.",https://eonetwork.org/australia/,2026-07-09,https://app.notion.com/p/Entrepreneurs-Organisation-EO-Australia-3985de222667810984e0f86ba61fd145
Equity Mates Media,Advice,Expert,National,,,Unspecified,,,Financial media company making investing accessible for young Australians. Podcasts include Equity Mates Investing and Get Started Investing.,https://equitymates.com/,2026-07-09,https://app.notion.com/p/Equity-Mates-Media-3985de22266781ddb8c5cbb05500a3c4
EverestEngineering,Connections,Community,VIC,,,Unspecified,,,Global software engineering company with Melbourne roots. Partners with startups to build and scale products. Active in the Victorian startup community.,https://www.everestengineering.com.au/,2026-07-09,https://app.notion.com/p/EverestEngineering-3985de2226678186a87fdb9f2497eed5
Flinders NVI,Programs,University,SA,,,Unspecified,,,"Flinders University's New Venture Institute. eNVIsion incubator, Venture Dorm pre-accelerator, and student entrepreneurship programs in Adelaide.",https://www.flinders.edu.au/nvi,2026-07-09,https://app.notion.com/p/Flinders-NVI-3985de2226678198b3d8db46a9bf1172
Foundation for Young Australians,Connections,Community,National,,,Unspecified,,Youth,"National organisation backing young people (up to age 30) with grants, programs, and advocacy. Young Entrepreneurs program supports youth-led ventures.",https://fya.org.au/,2026-07-09,https://app.notion.com/p/Foundation-for-Young-Australians-3985de222667816ba635d5635b193203
Founders Factory Nature Tech,Programs,Accelerator,WA,,"6 startups per cohort, Feb intake",Scheduled / Dated,CleanTech; AgTech,,"Global venture studio's nature tech accelerator backed by BHP. Supports startups in mining rehabilitation, biodiversity monitoring, and environmental markets.",https://www.foundersfactory.com/sectors/nature-tech/,2026-07-09,https://app.notion.com/p/Founders-Factory-Nature-Tech-3985de2226678160b344ef4146abc67f
Foundr,Advice,Expert,National,,,Unspecified,,,"Melbourne-founded global media and education company for entrepreneurs. Magazine, podcasts, and courses from founders like Richard Branson interviews to startup playbooks.",https://foundr.com/,2026-07-09,https://app.notion.com/p/Foundr-3985de222667814faba8db690eed00ab
Game Plus,Connections,Community,National,,,Unspecified,Tech,,"Coworking and community hubs for game developers in Adelaide, Canberra and online. Connects game studios, publishers, and creative tech startups.",https://www.gameplus.com.au/,2026-07-09,https://app.notion.com/p/Game-Plus-3985de22266781999fc1fcb9bef04842
Google Cloud for Startups,Funding,Corporate,National,"Up to 200,000 credits",Apply anytime,Open / Rolling,Tech,,"Cloud credits up to US$200K (US$350K for AI startups) over 2 years, technical training, and startup support for eligible companies.",https://cloud.google.com/startup,2026-07-09,https://app.notion.com/p/Google-Cloud-for-Startups-3985de222667819ba830d34ac09dee2a
Google for Startups Accelerator: AI First,Programs,Accelerator,National,Equity-free + $350K credits,Applications currently open; 10-week hybrid program (Sep–Nov),Open / Rolling,AI; Tech,,"10-week equity-free accelerator for AI-first startups in Australia. Technical deep dives, Google mentorship, up to US$350K in Cloud credits.",https://startup.google.com/programs/accelerator/australia-new-zealand/,2026-07-09,https://app.notion.com/p/Google-for-Startups-Accelerator-AI-First-3985de22266781bea7e1fc50e3c610ca
Growth Summit,Connections,Community,National,,"Melbourne Feb, Sydney May (annual)",Scheduled / Dated,,,"Annual scaleup conference series connecting founders with growth experts, investors, and operators. Practical sessions on scaling revenue, teams, and operations.",https://growth-summit.com.au/,2026-07-09,https://app.notion.com/p/Growth-Summit-3985de22266781dd87c4ed2d0b11b9bb
HCF Catalyst,Funding,Corporate,National,"$50,000 initial investment (past cohorts)",Mar-Apr,Scheduled / Dated,HealthTech,,Australia's largest health insurer's accelerator for healthtech startups. Pilot opportunities with HCF's 1.9M members.,https://www.hcf.com.au/,2026-07-09,https://app.notion.com/p/HCF-Catalyst-3985de2226678109a722c1cac0c0a564
Her Tech Circle,Connections,Community,National,,,Unspecified,Tech,Women,"Community for women in tech and female founders. Events, mentoring circles, and job board across Australia.",https://hertechcircle.com.au/,2026-07-09,https://app.notion.com/p/Her-Tech-Circle-3985de222667810b99cce308cf76fe47
Humans of Australia,Connections,Community,National,,,Unspecified,,,Storytelling community celebrating diverse Australian stories including founder journeys.,https://www.instagram.com/humansofaustraliaaa/,2026-07-09,https://app.notion.com/p/Humans-of-Australia-3985de22266781f5ab15c664bce7e0e3
Indiegogo,Funding,Investor,National,"1,000 - 1 million",Apply anytime,Open / Rolling,Tech,,"Global crowdfunding platform for innovative products. Flexible and fixed funding models for hardware, design, and creative projects.",https://www.indiegogo.com/,2026-07-09,https://app.notion.com/p/Indiegogo-3985de222667813c86b8fe26d302b0c7
Indigenous Business Australia,Advice,Government,National,"Up to 100,000",Apply anytime,Open / Rolling,,Indigenous,"Business loans, support packages, and workshops for First Nations entrepreneurs. Start-up finance packages combine a loan with business support.",https://www.iba.gov.au/,2026-07-09,https://app.notion.com/p/Indigenous-Business-Australia-3985de22266781b9b0a3f3bc71e0fe43
InnovationAus Awards for Excellence,Funding,Competition,National,Recognition award (no cash prize),2026 dates TBA,Scheduled / Dated,Tech; CleanTech; HealthTech,,"National awards recognising Australian technology innovation across 20+ categories including startups, cleantech, medtech, and AI.",https://www.innovationaus.com/awards/,2026-07-09,https://app.notion.com/p/InnovationAus-Awards-for-Excellence-3985de22266781f2b878dc9911fd7a8f
Inspiring Rare Birds,Connections,Community,National,,,Unspecified,,Women,"Global entrepreneurship movement supporting women founders through mentoring programs, education, and community. 30,000+ women supported.",https://inspiringrarebirds.com/,2026-07-09,https://app.notion.com/p/Inspiring-Rare-Birds-3985de22266781b4ab08efafc7ee028f
Intersekt Festival,Connections,Community,VIC,,3-4 Sep 2026,Scheduled / Dated,FinTech,,"Australia's premier fintech festival in Melbourne. 2,000+ attendees, international speakers, and startup showcases.",https://www.intersektfintech.com/,2026-07-09,https://app.notion.com/p/Intersekt-Festival-3985de2226678123b7e5fb332d97234d
Jumar Bioincubator,Programs,Accelerator,VIC,,,Unspecified,BioTech; HealthTech,,Melbourne biotech incubator with wet labs and shared facilities. Purpose-built for early-stage biotech and medtech ventures at the Parkville precinct.,https://www.jumarbio.com/,2026-07-09,https://app.notion.com/p/Jumar-Bioincubator-3985de22266781ac8335ed16e27512c8
Lawpath,Advice,Expert,National,,,Unspecified,,,"Online legal platform for small businesses. Legal documents, company registration, and lawyer marketplace at startup-friendly prices.",https://lawpath.com/,2026-07-09,https://app.notion.com/p/Lawpath-3985de222667819e8122c1805aa5e44d
LGBTQ+ Founders Network,Connections,Community,National,,,Unspecified,,LGBTQ+,"Community connecting LGBTQ+ entrepreneurs across Australia. Events, mentoring, and visibility for queer-led ventures.",https://getsova.com.au/directory.html,2026-07-09,https://app.notion.com/p/LGBTQ-Founders-Network-3985de22266781b49bc5fa43e2b02137
LIFTWOMEN,Funding,Competition,National,40000,Annual (April),Scheduled / Dated,Tech,Women,Grant program for women entrepreneurs. $40K in grants annually plus crowdfunding campaign support.,https://www.liftwomen.com/,2026-07-09,https://app.notion.com/p/LIFTWOMEN-3985de222667815a9374fca1b0f1df38
LiftWomen,Funding,Grant,National,"AU$5,000",Rolling (grant rounds annual),Open / Rolling,Tech,Women,"Crowdfunding platform for women-led ventures with annual grant rounds. AU$5,000 grants plus campaign support for female founders.",https://www.liftwomen.com/,2026-07-09,https://app.notion.com/p/LiftWomen-3985de22266781b88d23edb9630607d9
Little Tokyo Two,Connections,Community,QLD,,,Unspecified,,,"Brisbane coworking with 5 locations across SE QLD. Starting Stage Plan for startups at $160/month includes accelerator and incubator program access, mentoring, workshops. 600+ businesses supported.",https://www.lt2.co/,2026-07-09,https://app.notion.com/p/Little-Tokyo-Two-3985de22266781458171ed0e4c773111
LiveHaus,Connections,Community,National,,,Unspecified,,,Startup community and events platform connecting founders across Australia.,https://thelivehaus.com/,2026-07-09,https://app.notion.com/p/LiveHaus-3985de22266781ac8ec6dba319a0f2d5
Lot Fourteen,Connections,Community,SA,,,Unspecified,Defence; DeepTech,,"Adelaide's innovation precinct home to 1,400+ workers across space, defence, AI, and cyber. Houses Stone & Chalk, Australian Space Agency, and MIT Living Lab.",https://lotfourteen.com.au/,2026-07-09,https://app.notion.com/p/Lot-Fourteen-3985de2226678126bcbefb498527d8b6
Luna Legal,Advice,Expert,National,,,Unspecified,,,"Boutique law firm for startups and scaleups. Capital raising, ESOPs, and commercial contracts with fixed-fee options.",https://lunalegal.com.au/,2026-07-09,https://app.notion.com/p/Luna-Legal-3985de222667816a8fb7cb4dc21375b8
Many Rivers,Advice,Government,National,,,Unspecified,,Indigenous,Microenterprise development charity providing business coaching and microloans to Indigenous entrepreneurs and underserved communities.,https://www.manyrivers.org.au/,2026-07-09,https://app.notion.com/p/Many-Rivers-3985de22266781bd9c63d239258ad745
Medical Research Future Fund (MRFF),Funding,Grant,National,Varies,Rolling,Open / Rolling,HealthTech,,$22B federal fund supporting health and medical research commercialisation. Grant opportunities across research translation and medtech.,https://www.health.gov.au/our-work/mrff,2026-07-09,https://app.notion.com/p/Medical-Research-Future-Fund-MRFF-3985de22266781d3b800e4a9a15e6f4c
Mentor Walks,Advice,Expert,National,,Monthly,Scheduled / Dated,,Women,Walking mentorship program connecting women leaders with emerging women professionals and founders. Monthly walks in cities across Australia.,https://www.mentorwalks.com.au/,2026-07-09,https://app.notion.com/p/Mentor-Walks-3985de222667810eb8cec417a993fc25
Meshpoints,Connections,Community,WA,,,Unspecified,,,WA startup ecosystem connector running events and programs across Perth and regional WA.,https://www.meshpoints.com/,2026-07-09,https://app.notion.com/p/Meshpoints-3985de22266781d39492d04381821e0c
NIAA Indigenous Entrepreneurs Fund,Advice,Government,National,Varies,Rolling,Open / Rolling,,Indigenous,National Indigenous Australians Agency funding for First Nations business owners. Capital grants and business support.,https://www.niaa.gov.au/,2026-07-09,https://app.notion.com/p/NIAA-Indigenous-Entrepreneurs-Fund-3985de2226678154b937e60b81990f71
NSW Grants and Funding Finder,Advice,Tool,NSW,,Always open,Open / Rolling,,,"NSW Government's searchable directory of grants, rebates, and funding programs for businesses and individuals.",https://www.nsw.gov.au/grants-and-funding,2026-07-09,https://app.notion.com/p/NSW-Grants-and-Funding-Finder-3985de22266781f7a903d77b3e44ec79
NSW Innovation Ecosystem Navigator,Advice,Tool,NSW,,Always open,Open / Rolling,,,"Interactive directory mapping NSW's innovation ecosystem: accelerators, investors, hubs, and support programs.",https://nswinnovation.notion.site/innovationecosystem-navigator,2026-07-09,https://app.notion.com/p/NSW-Innovation-Ecosystem-Navigator-3985de22266781be8bf4f964c352f206
NT Indigenous Business Network,Connections,Community,NT,,,Unspecified,,Indigenous,"Network supporting Aboriginal and Torres Strait Islander businesses across the Northern Territory. Events, directory, and advocacy.",https://ntibn.org.au/,2026-07-09,https://app.notion.com/p/NT-Indigenous-Business-Network-3985de22266781a09e26e24d40a75370
One Roof Unstoppable Founder Competition,Funding,Competition,National,5000,Annual (March),Scheduled / Dated,,Women,"Annual pitch competition spotlighting women founders. Winners receive cash, coaching, and community access from One Roof's network.",https://www.oneroof.com.au/,2026-07-09,https://app.notion.com/p/One-Roof-Unstoppable-Founder-Competition-3985de222667810496fada76c262f3a4
Overnight Success,Advice,Expert,National,,,Unspecified,,,Startup media and podcast platform sharing Australian founder stories and practical startup lessons.,https://www.overnightsuccess.vc/,2026-07-09,https://app.notion.com/p/Overnight-Success-3985de22266781eabcf0e1ae94a97c0d
Pacific Channel,Funding,Investor,National,"1,000,000 - 10,000,000",,Unspecified,DeepTech; HealthTech; CleanTech,,"NZ-based deep tech VC investing NZ$1m–$10m in science-backed ventures: health, climate, and advanced materials. Active across Australasia.",https://www.pacificchannel.com/,2026-07-09,https://app.notion.com/p/Pacific-Channel-3985de22266781049885d8b57ad6118d
Pride in Diversity,Connections,Community,National,,,Unspecified,,LGBTQ+,Australia's national employer support program for LGBTQ+ workplace inclusion. AWEI benchmarking and workplace programs.,https://www.prideinclusionprograms.com.au/,2026-07-09,https://app.notion.com/p/Pride-in-Diversity-3985de2226678165a3dbf842261d0838
Queensland Accelerating Female Founders Program,Funding,Grant,QLD,"50,000 - 200,000",Open,Open / Rolling,,Women,Queensland Government grants $50K-$200K for women-led startups plus capability programs. Part of Advance Queensland.,https://www.business.qld.gov.au/,2026-07-09,https://app.notion.com/p/Queensland-Accelerating-Female-Founders-Program-3985de2226678175a385f379c9d98a5e
Queensland Government Grants Finder,Advice,Tool,QLD,,Always open,Open / Rolling,,,"Searchable directory of Queensland Government grants and programs for business, community, and individuals.",https://www.business.qld.gov.au/,2026-07-09,https://app.notion.com/p/Queensland-Government-Grants-Finder-3985de222667812d976afb98cf36ce44
QUT bluebox,Programs,University,QLD,,,Unspecified,,,"QUT's innovation hub and startup programs. Bluebox Accelerator, student programs, and research commercialisation support.",https://www.qut.edu.au/bluebox,2026-07-09,https://app.notion.com/p/QUT-bluebox-3985de222667818b84afc80891fb0e56
Regional Development Australia,Advice,Government,National,,,Unspecified,,Regional,Federal network of regional committees supporting economic development including regional entrepreneurship programs.,https://www.rda.gov.au/,2026-07-09,https://app.notion.com/p/Regional-Development-Australia-3985de22266781f69e00e4713caff3d4
RSL DefenceCare,Advice,Expert,National,,,Unspecified,,Veterans,Supports veterans and families including employment and small business transition assistance.,https://www.rsldefencecare.org.au/,2026-07-09,https://app.notion.com/p/RSL-DefenceCare-3985de22266781408edfcd0eccf09c09
SCORE Mentoring,Advice,Expert,National,,,Unspecified,,,Volunteer business mentoring network. Free mentoring sessions for small business owners and founders.,https://www.score.org/,2026-07-09,https://app.notion.com/p/SCORE-Mentoring-3985de22266781e48505c72f3efbd749
Service Tasmania Business Grants Finder,Advice,Tool,TAS,,Always open,Open / Rolling,,,Tasmanian Government's directory of grants and support programs for Tasmanian businesses.,https://www.service.tas.gov.au/,2026-07-09,https://app.notion.com/p/Service-Tasmania-Business-Grants-Finder-3985de22266781e6baf0e362ca854253
Smart50 Awards,Funding,Competition,National,"15,000",2026 entries open now; close ~Sep 2026; awards Nov 2026,Scheduled / Dated,Tech,,SmartCompany's annual awards for Australia's fastest-growing SMEs. Categories include innovation and emerging entrepreneur.,https://smart50awards.com.au/,2026-07-09,https://app.notion.com/p/Smart50-Awards-3985de2226678139883fc07ef8d4b655
SMEC AI (National AI Adopt Centre),Advice,Government,VIC,,,Unspecified,AI; Tech,,"Commonwealth-backed SME AI adoption program providing assessments, roadmaps, and implementation support for small businesses adopting AI.",https://www.smecai.au/,2026-07-09,https://app.notion.com/p/SMEC-AI-National-AI-Adopt-Centre-3985de22266781dc9bc7f2485f5fa17b
Soldier On,Connections,Community,National,,,Unspecified,,Veterans,Veteran support organisation with employment programs and pathways for veteran entrepreneurs.,https://www.soldieron.org.au/,2026-07-09,https://app.notion.com/p/Soldier-On-3985de2226678113b8fce33080eb5750
Spark Festival,Connections,Community,NSW,,Oct-Nov 2026 (dates TBA),Scheduled / Dated,,,"Australia's largest event for startups, innovators, and entrepreneurs. Hundreds of events across NSW celebrating startup ecosystem.",https://www.sparkfestival.com.au/,2026-07-09,https://app.notion.com/p/Spark-Festival-3985de2226678191ab7eee4402795dc5
Sprintlaw,Advice,Expert,National,,,Unspecified,,,"Online law firm for startups and small businesses. Fixed-fee legal packages, contracts, and business structuring delivered digitally.",https://sprintlaw.com.au/,2026-07-09,https://app.notion.com/p/Sprintlaw-3985de222667815896bdc029a6fc0c90
StartCon,Connections,Community,NSW,,Inactive since 2019,Inactive,,,INACTIVE. Formerly Australia's largest startup conference. No events since 2019 after Freelancer acquisition wound down.,https://startcon.com/,2026-07-09,https://app.notion.com/p/StartCon-3985de222667813d9e70f1e8361970ab
StartCon - Pitch for $1 Million,Funding,Competition,National,1 million,Inactive since 2019,Inactive,Tech,,INACTIVE. Former pitch competition awarding $1M investment at StartCon conference. No longer running.,https://startcon.com/,2026-07-09,https://app.notion.com/p/StartCon-Pitch-for-1-Million-3985de222667817191c0d1b993d38a40
Startup 2 Scaleup Summit (S2S),Connections,Community,NSW,,August,Scheduled / Dated,,,Annual Sydney summit for founders scaling startups. Practical growth content and investor connections.,https://www.s2ssummit.com/,2026-07-09,https://app.notion.com/p/Startup-2-Scaleup-Summit-S2S-3985de2226678112bcb0c909dcfb92fd
Startup Grind,Connections,Community,National,,,Unspecified,,,Global startup community with Australian chapters. Monthly fireside chats with successful founders and investors.,https://www.startupgrind.com/,2026-07-09,https://app.notion.com/p/Startup-Grind-3985de222667813eac44c5a03d8beee9
Startup News,Advice,Expert,WA,,,Unspecified,,,"WA's startup ecosystem publication covering Perth startup news, events, and founder profiles.",https://startupnews.com.au/,2026-07-09,https://app.notion.com/p/Startup-News-3985de22266781ffab63ea716c0698e4
Startup World Cup - Australia,Funding,Competition,National,US$1 million,"Melbourne 22 Jul, Sydney 7 Aug, SF Finals 18-20 Nov 2026",Scheduled / Dated,Tech,,Regional qualifiers feeding into the US$1M global pitch final in San Francisco. Australian rounds in Melbourne and Sydney.,https://www.startupandangels.com/startup-world-cup-australia/,2026-07-09,https://app.notion.com/p/Startup-World-Cup-Australia-3985de222667818a9331e2d4f2b69a90
Stripe Atlas,Funding,Corporate,National,US$500 one-off incorporation fee,Apply anytime,Open / Rolling,,,"Incorporate a US Delaware company from Australia. Company formation, bank account, and legal templates for global startups.",https://stripe.com/atlas,2026-07-09,https://app.notion.com/p/Stripe-Atlas-3985de22266781c182fcf302c93560de
Student Edge,Connections,Community,National,,,Unspecified,,Youth,Australia's largest student organisation with entrepreneurship resources and youth programs for student founders.,https://www.studentedge.com.au/,2026-07-09,https://app.notion.com/p/Student-Edge-3985de2226678122b27ed0f5476596f8
Supply Nation,Connections,Community,National,,,Unspecified,,Indigenous,Australia's leading database of verified Indigenous businesses. Certification connects Indigenous suppliers with corporate and government buyers.,https://supplynation.org.au/,2026-07-09,https://app.notion.com/p/Supply-Nation-3985de2226678128a0c2e1033b8a965b
Swanson Reed,Advice,Expert,National,,,Unspecified,,,"R&D Tax Incentive specialist advisors. Claim preparation, compliance, and advisory for companies claiming the RDTI.",https://www.swansonreed.com.au/,2026-07-09,https://app.notion.com/p/Swanson-Reed-3985de2226678134a92fc88dfc0d12d6
Switch Start Scale,Connections,Community,SA,,,Unspecified,,,SA startup program series supporting founders from idea (Switch) through launch (Start) to growth (Scale).,https://www.switchstartscale.com.au/,2026-07-09,https://app.notion.com/p/Switch-Start-Scale-3985de222667815aaa9edacea54b7f57
SXSW Sydney Pitch,Funding,Competition,NSW,,SXSW Sydney 2026 not proceeding; next edition TBC,Inactive,Tech,,DISCONTINUED. Startup pitch competition at SXSW Sydney. Ended with the event's cancellation.,https://sxswsydney.com/pitch,2026-07-09,https://app.notion.com/p/SXSW-Sydney-Pitch-3985de22266781b3928dfe703cc81312
TAFE NSW Women in Business Program,Programs,Program,NSW,,Always open,Open / Rolling,,Women,Free online program for NSW women starting or growing a business. Self-paced modules with mentoring support.,https://www.tafensw.edu.au/,2026-07-09,https://app.notion.com/p/TAFE-NSW-Women-in-Business-Program-3985de22266781ba972ad596bbaae769
TEC (The Executive Connection),Advice,Expert,National,,,Unspecified,,,"CEO peer advisory network with 1,200+ Australian members. Monthly peer groups and executive coaching for business leaders.",https://www.tec.com.au/,2026-07-09,https://app.notion.com/p/TEC-The-Executive-Connection-3985de22266781ae93bddc74889f5d2f
