Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL,mes_table,mes_id,mes_name,mes_website,match_score,match_candidate_count,chosen_match_reason
AusAgritech,Connections,Community,National,,,Unspecified,AgTech,,"National peak body for the Australian agritech sector. Runs the National Agritech Awards Gala, National Agritech Meetup and Agritech Showcase connecting founders, investors and ecosystem players.",https://ausagritech.com/,2026-07-09,https://app.notion.com/p/AusAgritech-3985de22266781a5af49dc74f8a66000,innovation_ecosystem,47e22932-774e-4cd0-b5d5-0eecd2a6e8fc,Australian Agritech Association (AusAgritech),https://ausagritech.org/,0.800,2,fuzzy name similarity 0.80 without domain corroboration
AusIndustry,Advice,Government,National,,,Unspecified,Tech,,"Federal government's innovation programs including the R&D Tax Incentive, offering up to 43.5% refundable tax offset.",https://business.gov.au/,2026-07-09,https://app.notion.com/p/AusIndustry-3985de22266781c69e93f424d7db353a,investors_public,3f71888b-b0c3-4c6e-93c8-96026b81a66b,Agrifutures Australia RD&E Investment,https://business.gov.au/grants-and-programs/Agrifutures-Australia-RDE-Investment,0.292,2,domain match but shared/platform domain — possible program-vs-parent-org
Austrade Landing Pads,Advice,Government,National,,Apply anytime,Open / Rolling,Tech,,"Austrade's export acceleration program for export-ready Australian tech scaleups. Virtual and in-market bootcamps for key global hubs (US, UK, SE Asia). Free; apply via Austrade.",https://www.austrade.gov.au/en/how-we-can-help-you/programs-and-services/landing-pads,2026-07-09,https://app.notion.com/p/Austrade-Landing-Pads-3985de2226678185a5d6efa3673f286d,trade_investment_agencies,edd035d6-146f-40b1-b4c4-11df8d97301f,Austrade,https://austrade.gov.au,0.800,4,domain match but shared/platform domain — possible program-vs-parent-org
Australian Investment Network,Funding,Investor,National,,Apply anytime,Open / Rolling,Tech,,Online platform connecting entrepreneurs with angel investors and private equity. Submit a business plan and get matched with investors.,https://www.australianinvestmentnetwork.com/,2026-07-09,https://app.notion.com/p/Australian-Investment-Network-3985de222667812da660dc9b2f1ff905,innovation_ecosystem,b4265fb6-9d2a-4f32-86fa-2edf05fe22c8,Australian Industry & Defence Network (AIDN),https://aidn.org.au/,0.725,1,fuzzy name similarity 0.72 without domain corroboration
Australian Space Agency,Advice,Government,National,,Various,Scheduled / Dated,DeepTech,,Programs and funding supporting Australian space industry growth including Moon to Mars initiative.,https://www.space.gov.au/,2026-07-09,https://app.notion.com/p/Australian-Space-Agency-3985de22266781f8b461e682710ff947,trade_investment_agencies,30ae8cdf-2628-49b4-a0a6-5160f57d6ab5,ITA - Italian Trade Agency,https://www.ice.it/en,0.723,1,fuzzy name similarity 0.72 without domain corroboration
Azure Group,Advice,Expert,National,,,Unspecified,,,"Chartered accounting firm specialising in tech startups. Provides accounting, tax, R&D tax incentive and EMDG claims, corporate advisory and capital raising support. Sydney-based with national client base.",https://www.azuregroup.com.au/,2026-07-09,https://app.notion.com/p/Azure-Group-3985de22266781e4a3aff8a2c3e5aa4a,investors_public,46031cfd-7fe2-4423-b98e-f86772555e65,Macquarie Group,https://www.macquarie.com/au/en/about/company/macquarie-capital/venture-capital.html,0.769,1,fuzzy name similarity 0.77 without domain corroboration
Blackbird Foundry,Programs,Accelerator,National,"$1,000 non-dilutive + $5,000 pitch prize","Applications Jul-Aug, program Sep-Nov",Scheduled / Dated,DeepTech,,Free 8-week program by Blackbird Ventures for researchers and academics launching science-led startup ideas. $1K per team plus $5K pitch prize. Must have university or AU/NZ connection.,https://blackbird.vc/foundry,2026-07-09,https://app.notion.com/p/Blackbird-Foundry-3985de2226678139ad8ce799de438d5b,investors_public,c2eb13ea-860d-4a21-8ea0-c1223c3fe5e4,Blackbird Ventures,https://www.blackbird.vc,0.686,2,domain match but shared/platform domain — possible program-vs-parent-org
Blackbird Giants,Programs,Accelerator,National,,"Sydney: Mar-May, Melbourne: May, Virtual: Aug-Sep",Scheduled / Dated,Tech; AI,,"Free 1-on-1 mentoring program by Blackbird Ventures. 4-week intensive with weekly in-person community events. No equity taken. Cohorts in Sydney, Melbourne, and virtual ANZ.",https://blackbird.vc/giants,2026-07-09,https://app.notion.com/p/Blackbird-Giants-3985de22266781d8a875c79e65c8ebdc,investors_public,c2eb13ea-860d-4a21-8ea0-c1223c3fe5e4,Blackbird Ventures,https://www.blackbird.vc,0.765,2,domain match but shared/platform domain — possible program-vs-parent-org
Boosting Female Founders,Funding,Grant,National,"Was 25,000 - 400,000",Discontinued,Discontinued,,Women,DISCONTINUED. Federal Government grants for women-led startups. Program axed in 2024 federal budget with no future rounds planned.,https://business.gov.au/grants-and-programs/boosting-female-founders,2026-07-09,https://app.notion.com/p/Boosting-Female-Founders-3985de22266781488b9deb0c55453f70,investors_public,3f71888b-b0c3-4c6e-93c8-96026b81a66b,Agrifutures Australia RD&E Investment,https://business.gov.au/grants-and-programs/Agrifutures-Australia-RDE-Investment,0.262,2,domain match but shared/platform domain — possible program-vs-parent-org
Business Research and Innovation Initiative (BRII),Funding,Grant,National,"100,000 - 1 million",No rounds currently open; challenge-based program — check business.gov.au for new rounds,Inactive,Tech; CleanTech; HealthTech; DeepTech,,Innovative solutions for government policy and service delivery challenges. Challenge-based funding rounds.,https://business.gov.au/grants-and-programs/business-research-and-innovation-initiative,2026-07-09,https://app.notion.com/p/Business-Research-and-Innovation-Initiative-BRII-3985de22266781d98914e2d40fb7708c,investors_public,707f761b-20d5-4a45-bfe0-4e78b07b059d,R&D Tax Incentive,https://www.business.gov.au/grants-and-programs/research-and-development-tax-incentive,0.308,2,domain match but shared/platform domain — possible program-vs-parent-org
Business SA,Advice,Expert,SA,,,Unspecified,,,"South Australia's peak employer body. Runs Business Accelerator Program, SAYES (SA Young Entrepreneurs Scheme) and ENCORE programs connecting founders with mentors.",https://business.sa.gov.au/,2026-07-09,https://app.notion.com/p/Business-SA-3985de22266781a59c0fcaa2285d1701,trade_investment_agencies,484ec561-db11-4554-94b2-65aeba46ff7a,Business France,https://www.businessfrance.fr,0.769,2,fuzzy name similarity 0.77 without domain corroboration
Business.gov.au,Advice,Government,National,,,Unspecified,Tech,,"The Australian Government's central hub for business information, grants finder, registration tools and compliance guides.",https://business.gov.au/,2026-07-09,https://app.notion.com/p/Business-gov-au-3985de222667814da33ac5ba3b54ab23,investors_public,707f761b-20d5-4a45-bfe0-4e78b07b059d,R&D Tax Incentive,https://www.business.gov.au/grants-and-programs/research-and-development-tax-incentive,0.250,2,domain match but shared/platform domain — possible program-vs-parent-org
Business.gov.au Grants and Programs Finder,Advice,Tool,National,,Always open,Open / Rolling,,,"Free guided search tool to find grants, funding and support programs from across Australian government. Over 500 grants searchable by industry, location, and business type.",https://business.gov.au/grants-and-programs,2026-07-09,https://app.notion.com/p/Business-gov-au-Grants-and-Programs-Finder-3985de222667817689b8f568dab73f89,investors_public,3f71888b-b0c3-4c6e-93c8-96026b81a66b,Agrifutures Australia RD&E Investment,https://business.gov.au/grants-and-programs/Agrifutures-Australia-RDE-Investment,0.253,2,domain match but shared/platform domain — possible program-vs-parent-org
Catalysr,Programs,Accelerator,National,,Cohort-based (3-month Accelerate program),Scheduled / Dated,Tech,Migrant,"Incubator empowering migrant and refugee entrepreneurs since 2016. 1,045+ migrapreneurs supported.",https://catalysr.com.au/,2026-07-09,https://app.notion.com/p/Catalysr-3985de222667815992c7dee3b9807ffc,innovation_ecosystem,e5683d92-939d-4c3d-ae9c-827fc3edd814,Catalysr Ideate,https://catalysr.com.au/,0.800,1,domain match but shared/platform domain — possible program-vs-parent-org
CBA x15ventures,Funding,Corporate,National,,,Unspecified,FinTech,,"CommBank's venture builder backing startups for 15M customers. Builds, buys, and invests in digital ventures.",https://x15ventures.com.au/,2026-07-09,https://app.notion.com/p/CBA-x15ventures-3985de2226678157a358fbc2e2b922df,investors_public,af83be3e-8a26-4e19-934a-c411595507a9,Co Ventures,https://www.coventures.vc/,0.769,6,fuzzy name similarity 0.77 without domain corroboration
CBR Innovation Network,Advice,Government,ACT,,,Unspecified,Tech,,"ACT's innovation hub running GRIFFIN Accelerator, KILN Incubator, and connecting Canberra's startup community.",https://cbrin.com.au/,2026-07-09,https://app.notion.com/p/CBR-Innovation-Network-3985de22266781d4a41ece8586484ffd,innovation_ecosystem,32dc530a-f57d-4831-82ef-bfc84c9d4317,Canberra Innovation Network,https://cbrin.com.au/coworking/,0.898,4,domain match but shared/platform domain — possible program-vs-parent-org
CFO Centre,Advice,Expert,National,,,Unspecified,,,"Part-time and fractional CFO services for growing businesses. Experienced CFOs providing financial strategy, fundraising support, and board-ready reporting.",https://www.cfocentre.com.au/,2026-07-09,https://app.notion.com/p/CFO-Centre-3985de222667811eb9eecde3e8d4ceff,investors_public,af83be3e-8a26-4e19-934a-c411595507a9,Co Ventures,https://www.coventures.vc/,0.762,2,fuzzy name similarity 0.76 without domain corroboration
Chamber of Commerce NT,Connections,Community,NT,,,Unspecified,,,"NT's peak business body established 1957 with 1,200+ member businesses. Hosts 100+ business events annually including networking, training and industry forums.",https://www.chamberofcommercentnt.com.au/,2026-07-09,https://app.notion.com/p/Chamber-of-Commerce-NT-3985de22266781e2be9bf842ce570e1e,trade_investment_agencies,73a201e5-365a-43a6-9fcf-6134638c5f21,Swan Chamber of Commerce,https://cciwa.com,0.826,7,fuzzy name similarity 0.83 without domain corroboration
CivVic Labs,Programs,Accelerator,VIC,"$15,000 equity-free (+$35,000 for standouts)",,Unspecified,Tech,,LaunchVic pre-accelerator connecting startups with Victorian public sector agencies to solve real-world government challenges. Startups build and pilot solutions with government partners.,https://www.innovationvictoria.com/pathways/programs/civvic-labs,2026-07-09,https://app.notion.com/p/CivVic-Labs-3985de22266781478382f8bd2ca8c14a,innovation_ecosystem,4516f8e6-7dae-4511-a609-f29838932571,Launch VIC - CIVVIC Labs,https://launchvic.org/programs/civvic-labs/,0.800,1,fuzzy name similarity 0.80 without domain corroboration
CSIRO ON Prime,Advice,Government,National,,"Jan/Feb, Jun/Jul",Scheduled / Dated,DeepTech,,Research commercialisation program for deep tech ventures.,https://www.csiro.au/en/work-with-us/services/consultancy-strategic-advice-services/CSIRO-Accelerator-Programs/ONprime,2026-07-09,https://app.notion.com/p/CSIRO-ON-Prime-3985de22266781399e64e97e602f3f65,innovation_ecosystem,6c6693de-67ab-4179-a29e-619d95a00ac5,CSIRO Innovation Centre,https://csiro.au,0.595,3,domain match but shared/platform domain — possible program-vs-parent-org
Cut Through Venture,Funding,Investor,National,,Always open,Open / Rolling,Tech,,Angel investing platform connecting experienced operator-investors with early-stage Australian startups.,https://cutthrough.vc/,2026-07-09,https://app.notion.com/p/Cut-Through-Venture-3985de2226678140b9e4ec66afca6e07,investors_public,2b6a672a-e1e4-4056-9f12-5895e97f7119,Touch Ventures,https://www.touchventures.com/,0.727,1,fuzzy name similarity 0.73 without domain corroboration
Darwin Innovation Hub,Connections,Community,NT,,,Unspecified,,,Northern Territory's main startup hub running the StartNT accelerator program.,https://darwininnovationhub.com.au/,2026-07-09,https://app.notion.com/p/Darwin-Innovation-Hub-3985de2226678101898eeb1bbc84bc9f,innovation_ecosystem,e9ba4073-fdd6-42b4-abc3-ad265abaf147,CORE Innovation Hub,https://www.corehub.com.au/adelaide,0.800,1,fuzzy name similarity 0.80 without domain corroboration
Eaton Square Venture Fund,Funding,Investor,National,$1.5m - $22m,,Unspecified,Tech,,"Growth capital investor writing $1.5m–$22m cheques into expansion-stage technology and services companies across Australia and internationally. Also provides M&A and capital advisory services. Suited to later-stage scaleups, not early-stage startups.",https://eatonsq.com/,2026-07-09,https://app.notion.com/p/Eaton-Square-Venture-Fund-3985de2226678178a3f5ceaa9afc0e43,investors_public,d3166d64-5988-48b9-811c-b9217f685605,Eaton Square,https://eatonsquare.com/,0.800,1,fuzzy name similarity 0.80 without domain corroboration
EnergyLab,Programs,Accelerator,National,"$80,000 - $100,000 (Climate Solutions Accelerator)",2026: applications closed 15 Mar; program 3 Aug – 11 Dec 2026,Scheduled / Dated,CleanTech,,"Australia and New Zealand's largest climate tech startup accelerator and community. Programs for founders from idea to scale-up, plus a dedicated angel network.",https://energylab.org.au/,2026-07-09,https://app.notion.com/p/EnergyLab-3985de2226678171a0dcc0398658f570,investors_public,6144fca2-718b-4bb3-b3f8-c5b1d13389cc,EnergyLab Cleantech Angel Network,https://energylab.org.au/angel-group/,0.800,3,domain match but shared/platform domain — possible program-vs-parent-org
Enterprize Incubator,Programs,Accelerator,TAS,,,Unspecified,Tech,,"Tasmania's startup incubator with spaces in Hobart and Launceston. Free coworking for early-stage founders, mentoring, and community events.",https://www.enterprize.org.au/,2026-07-09,https://app.notion.com/p/Enterprize-Incubator-3985de222667810b9ae8fe3bb1c025ca,trade_investment_agencies,0f827ee8-d4dc-4252-84ec-867f577e6e2d,Enterprise Singapore,https://www.enterprisesg.gov.sg,0.750,1,fuzzy name similarity 0.75 without domain corroboration
Entrepreneur's Programme,Funding,Grant,National,Was up to 1 million,Discontinued,Discontinued,,,DISCONTINUED. Former flagship federal business growth program offering advisory and matched grants. Closed to new applications; replaced in part by Industry Growth Program.,https://business.gov.au/grants-and-programs/entrepreneurs-programme,2026-07-09,https://app.notion.com/p/Entrepreneur-s-Programme-3985de2226678180ad5de33cee545bba,investors_public,707f761b-20d5-4a45-bfe0-4e78b07b059d,R&D Tax Incentive,https://www.business.gov.au/grants-and-programs/research-and-development-tax-incentive,0.195,2,domain match but shared/platform domain — possible program-vs-parent-org
EVP (Equity Venture Partners),Funding,Investor,National,0.5M - 5M,Always open,Open / Rolling,Tech,,B2B software specialist VC with $500M FUM across 4 funds. Invests $500k-$5M in seed and Series A rounds. Portfolio of 45+ companies including Deputy and Shippit. Offices in Sydney.,https://www.evp.vc/,2026-07-09,https://app.notion.com/p/EVP-Equity-Venture-Partners-3985de2226678152be19d132afea9af4,investors_public,ae5bdca5-738e-406e-a9fb-36629578a55d,EVP,https://www.evp.com.au,0.800,2,fuzzy name similarity 0.80 without domain corroboration
Federation University Regional Pre-Accelerator,Programs,University,VIC,,,Unspecified,,Regional,"LaunchVic-backed program supporting regional Victorian founders through Federation University campuses in Ballarat, Berwick and Gippsland.",https://federation.edu.au/,2026-07-09,https://app.notion.com/p/Federation-University-Regional-Pre-Accelerator-3985de22266781d2b9e7e01acca94dbd,innovation_ecosystem,e0bc60e7-2d49-4950-8613-015c31f85b38,Curtin University Accelerator,https://www.curtin.edu.au/engage/entrepreneurs/accelerate/,0.720,1,fuzzy name similarity 0.72 without domain corroboration
FinTech Awards (Ashurst Startup of the Year),Funding,Competition,National,Recognition award (no cash prize),Annual,Scheduled / Dated,FinTech,,Australia's premier fintech industry awards including the Ashurst Startup of the Year category recognising emerging fintech companies.,https://fintechawards.com.au/,2026-07-09,https://app.notion.com/p/FinTech-Awards-Ashurst-Startup-of-the-Year-3985de222667819f9651e97848dd131e,innovation_ecosystem,9d48a56d-6c25-4ee7-a6f4-b0e2c10749e3,FinTech Australia,https://www.fintechaustralia.org.au,0.800,2,fuzzy name similarity 0.80 without domain corroboration
FundWA,Funding,Investor,WA,,Always open,Open / Rolling,Tech,,WA-focused angel investment network connecting local startups with WA investors.,https://www.fundwa.com.au/,2026-07-09,https://app.notion.com/p/FundWA-3985de22266781cb963dc21a893b5338,investors_public,459ece59-70de-4147-bc51-93f5e5713612,Glenn Butcher,https://www.fundwa.com.au,0.105,1,domain match but low name similarity 0.11 — possible program-vs-parent-org
Giant Leap,Funding,Investor,National,$100k - $1m,Always open,Open / Rolling,CleanTech,,"Australia's first 100% impact VC fund. Invests in startups tackling climate change, health, and empowerment challenges. B-Corp certified.",https://www.giantleap.com.au/,2026-07-09,https://app.notion.com/p/Giant-Leap-3985de2226678148b5cdfd195fa29c18,investors_public,7c51b22c-8b22-4bb4-a0d5-9f75e3e20998,Giant Leap Fund,https://giantleap.com.au,0.800,2,domain match but shared/platform domain — possible program-vs-parent-org
GrantConnect,Advice,Tool,National,,Always open,Open / Rolling,,,"Official source of Australian Government grant opportunities. All Commonwealth grants are published here, searchable by category, agency, and eligibility.",https://www.grants.gov.au/,2026-07-09,https://app.notion.com/p/GrantConnect-3985de2226678166aa89f7d4d938eda7,service_providers,6716079f-1e59-46b6-a6a1-7fa078ac2968,Granton,https://granton.io/,0.737,1,fuzzy name similarity 0.74 without domain corroboration
Grants and Programs Finder,Advice,Government,National,,,Unspecified,,,Australian Government tool to discover grants and support programs matched to your business.,https://business.gov.au/grants-and-programs,2026-07-09,https://app.notion.com/p/Grants-and-Programs-Finder-3985de22266781c38dc1e9d6885bf83a,investors_public,3f71888b-b0c3-4c6e-93c8-96026b81a66b,Agrifutures Australia RD&E Investment,https://business.gov.au/grants-and-programs/Agrifutures-Australia-RDE-Investment,0.381,2,domain match but shared/platform domain — possible program-vs-parent-org
GrantsNT,Advice,Tool,NT,,Always open,Open / Rolling,,,"Northern Territory Government's grants directory covering business, community, and industry funding opportunities.",https://grantsnt.nt.gov.au/,2026-07-09,https://app.notion.com/p/GrantsNT-3985de22266781e78200e30ae1e00926,service_providers,6716079f-1e59-46b6-a6a1-7fa078ac2968,Granton,https://granton.io/,0.800,1,fuzzy name similarity 0.80 without domain corroboration
Greyrock Investments,Funding,Investor,NSW,,Always open,Open / Rolling,Tech; EdTech,,Sydney family office investing in early-stage tech and edtech ventures. Patient capital with founder-friendly terms.,https://www.greyrock.com.au/,2026-07-09,https://app.notion.com/p/Greyrock-Investments-3985de222667819f8859f9f46cb052a7,investors_public,479db27b-33ed-447b-9873-ab99c1002944,Marbruck Investments,https://www.marbruck.com,0.800,2,fuzzy name similarity 0.80 without domain corroboration
GRIFFIN Accelerator,Programs,Accelerator,ACT,"Up to $100,000 on SAFE terms",Applications open July annually; 12-week program (~Aug–Nov),Scheduled / Dated,,,Canberra's flagship accelerator run by CBR Innovation Network. Seed funding and mentoring for ACT startups.,https://griffinaccelerator.com.au/,2026-07-09,https://app.notion.com/p/GRIFFIN-Accelerator-3985de2226678101bf1ecf7fcecd0e8e,innovation_ecosystem,f9610295-92de-46e1-a767-620d54301d9f,Griffin Accelerator Program,https://cbrin.com.au/griffinaccelerator/,0.826,4,fuzzy name similarity 0.83 without domain corroboration
Hub Australia,Connections,Community,National,,,Unspecified,,,"Premium coworking spaces across Sydney, Melbourne, Brisbane, Adelaide, and Canberra. B-Corp certified with business networking community.",https://www.hubaustralia.com/,2026-07-09,https://app.notion.com/p/Hub-Australia-3985de222667817eb996ece220f0e6d4,innovation_ecosystem,80e28efc-1e44-4e5b-83fa-c6a39b1fb1b7,"The Hub, Bentley Tech Park, powered by Spacecubed",https://developmentwa.com.au/projects/industrial-and-commercial/bentley-technology-park/the-hub,0.800,6,fuzzy name similarity 0.80 without domain corroboration
Hugh Victor McKay Fund,Funding,Grant,VIC,"$100,000 - $200,000 co-investment (up to $30k as grant)",Not currently accepting new applications,Inactive,AgTech,,Agriculture Victoria fund supporting agtech innovation and on-farm technology adoption in Victoria.,https://business.gov.au/grants-and-programs/hugh-victor-mckay-fund,2026-07-09,https://app.notion.com/p/Hugh-Victor-McKay-Fund-3985de22266781dc9f50fe766bb42b3c,investors_public,707f761b-20d5-4a45-bfe0-4e78b07b059d,R&D Tax Incentive,https://www.business.gov.au/grants-and-programs/research-and-development-tax-incentive,0.205,2,domain match but shared/platform domain — possible program-vs-parent-org
ilab Accelerator,Programs,Accelerator,QLD,"15,000 via SAFE","Annual cohort, Pitch Night May",Scheduled / Dated,Tech; DeepTech,,"University of Queensland's accelerator for students, staff, and alumni. $15K via SAFE note, 6-month program, and Pitch Night showcase.",https://ventures.uq.edu.au/programs/ilab-accelerator,2026-07-09,https://app.notion.com/p/ilab-Accelerator-3985de22266781c5a716f85582be0e27,innovation_ecosystem,d1abbda3-a232-4871-ab38-3c1d671954f9,ilab,https://ventures.uq.edu.au/programs/ilab-accelerator,0.800,4,domain match but shared/platform domain — possible program-vs-parent-org
Industry Growth Program,Funding,Grant,National,"50,000 - 5 million",Currently paused; check business.gov.au for reopening,Inactive,Tech; CleanTech; HealthTech,,"Federal support for innovative SMEs commercialising and growing. Advisory services plus matched grants: $50K-$250K early-stage, up to $5M commercialisation.",https://business.gov.au/grants-and-programs/industry-growth-program,2026-07-09,https://app.notion.com/p/Industry-Growth-Program-3985de222667813da312f72b99e63cb9,investors_public,3f71888b-b0c3-4c6e-93c8-96026b81a66b,Agrifutures Australia RD&E Investment,https://business.gov.au/grants-and-programs/Agrifutures-Australia-RDE-Investment,0.300,2,domain match but shared/platform domain — possible program-vs-parent-org
Innovation Bay,Connections,Community,National,,,Unspecified,,,Australia's longest-running tech investor community. Angel dinners connecting founders with investors since 2003. Curated pitch events in Sydney and Melbourne.,https://innovationbay.com/,2026-07-09,https://app.notion.com/p/Innovation-Bay-3985de22266781909dc6de6027594618,innovation_ecosystem,e9ba4073-fdd6-42b4-abc3-ad265abaf147,CORE Innovation Hub,https://www.corehub.com.au/adelaide,0.727,1,fuzzy name similarity 0.73 without domain corroboration
Innovation Booster Grant,Funding,Grant,WA,"Up to 40,000",Closed; next round planned Aug/Sep 2026,Scheduled / Dated,,,WA Government matched grants up to $40K for innovative WA startups and SMEs commercialising new products.,https://www.jtsi.wa.gov.au/,2026-07-09,https://app.notion.com/p/Innovation-Booster-Grant-3985de22266781b8b5fbf914d6a77899,investors_public,d0cb636b-b271-47b9-9f60-2374a9e63b69,Innovation Connect Grants,https://cbrin.com.au/icon,0.776,1,fuzzy name similarity 0.78 without domain corroboration
