Investor or Fund name	Website	About	Sector Focus	Standard investment	Cohort size	Country or Region	Usual cohort intake	How to apply or pitch
River City Labs	https://rivercitylabs.acs.org.au/	As a NFP we help local Aussie tech brands create global businesses.	Early Stage Startups, Scaleup Tech	Currently no investment taken	128	Australia	Individual businesses for a period of 12 months	info@rivercitylabs.net
Rocket Seeder	https://www.rocketseeder.com	Rocket Seeder is an accelerator for early stage food and agriculture startups.	Food and agriculture	N/A	10 teams per cohort	Australia	Various	marketing@rocketseeder.com
Runway HQ		12-week Accelerator program with a further 12-week Incubation period.	General	$30,000	5	Australia	February
SBE Australia	https://www.sbeaustralia.org	Since 2012, SBE Australia has been providing women with access to tools and networks.	Tech & Life Science for female founders	Nil	10	Australia	April	info@sbeaustralia.org
Slingshot	https://www.slingshotters.com	Slingshot has a wide variety of programs for both early and late stage businesses.	All sectors	usually up to 150K	170+ startup alumni	Australia	Multiple intakes	info@slingshotters.com
Sparklabs Cultiv8	https://www.sparklabscultiv8.com/	SparkLabs Cultiv8 is a leading global Agriculture and Food Technology Accelerator.	Ag, Food and Sustainability	$100000 (variable equity)	10	Australia		jonathon@sparklabscultiv8.com
SproutX	https://www.sproutx.com.au	National six month accelerator for food and agtech.	Agtech and Foodtech	$40,000 (5%)	5-10 startups	Australia	April	info@sproutx.com.au
Startmate	https://www.startmate.com	Oldest startup accelerator in ANZ.	Agnostic		10-20	Australia	Jan-April, Jul-Oct	michael@startmate.com.au
Startupbootcamp	https://startupbootcamp.com.au	Over 150 investments made from the Melbourne office.	Energy, CleanTech, Sustainability, Fintech	25000 to 100000	10	Australia	Ongoing
Stone & Chalk	https://www.stoneandchalk.com.au/	Founded in Fintech, Stone & Chalk is a not-for-profit organisation.	Emerging tech	N/A	N/A	Australia	N/A
Sydney Genesis program	https://www.sydney.edu.au/business/study/student-experience/sydney-genesis.html	The Genesis program supports the most promising startups.	Sector agnostic	0	15	Australia	Ongoing	sydney.genesis@sydney.edu.au
Sydney Knowledge Hub	https://www.sydney.edu.au/engage/industry-business-partnerships/sydney-knowledge-hub.html	The Sydney Knowledge Hub is a coworking space for innovative startups.	Research-based orgs	N/A	N/A	Australia	N/A	knowledge.hub@sydney.edu.au
Tech Ready Women	https://www.techreadywomen.academy/femalefounderprogram	The Tech Ready Women Accelerator supports female founders.	All sectors, women in tech	N/A	50	Australia	Ongoing	info@techreadywomen.com
The Melt	https://www.meltaccelerator.com	The Melt combines capital with an advanced prototyping lab for hardware startups.	Hardware startups in IoT, Cleantech, Automation	Up to $150K	12 startups per annum	Australia	Rolling intake	info@meltaccelerator.com
The Moonshine Lab	https://moonshinelab.com.au/	The Moonshine Lab.	Agnostic / Software	Variable	Variable	Australia	Always Open
THRIVE APAC Accelerator	https://thriveagrifood.com/apac-accelerator/	The THRIVE APAC Accelerator program supports Seed to Series A companies.	FoodTech and AgriTech		10	Australia	November	hugo.bieber@svgventures.com
Unearthed	https://unearthed.solutions/news/accelerator	6 month accelerator with seed funding and mentors.	Resources sector	$70,000	up to 10	Australia
UNSW Founders 10x	https://www.founders.unsw.edu.au/programs-services/10x-accelerator	Founders 10x is a 10-week flagship accelerator.	Industry agnostic	N/A	10	Australia	Varies
UNSW Health 10X	https://www.founders.unsw.edu.au/	UNSW Founders and The George Institute health startup program.	Health	$20,000 seed funding as a SAFE agreement	6	Australia		d.titkova@unsw.edu.au
Venture Dorm	https://www.nviflinders.com.au/	Early stage accelerator, 8 weeks at Flinders University.	Early stage acceleration		20	Australia	May, September	carla.diaswadewitz@flinders.edu.au
Wolfpack Space Hub	https://wolfpackspacehub.com/	Space Industry focused incubator/accelerator.	Space Industry		6	Australia	Rolling admission	jheld@saberastro.com
Xccelerate	https://www.xccelerate.com/	Xccelerate is a program run by x15 Ventures (powered by CommBank).	Banking and Supporting Services	Case by case basis	1	USA & North America	Twice per year	info@x15.com.au
Y Combinator	https://www.ycombinator.com/	Y Combinator is an American technology startup accelerator.	Agnostic	$125k USD for 7% + $375k uncapped SAFE	300+	USA & North America		info@ycombinator.com
ygap First Gens		Program consists of a live-in one-week intensive accelerator.	Migrant and refugee-led social impact	Up to $25,000 in seed funding	12	Australia	September
